ancestry	pgsMethod	BAGenigma_estimate	BAGenigma_R2	BAGenigma_statistic	BAGenigma_df	BAGenigma_p.value	BAGenigma_n	BAGenigma_gp	BAGenigma_Method
EUR	brainageFactor	0.20014866086602	0.0400594864464609	8.51148598892575	1718	5.30922567757403e-17	1738	18	pearson
EUR	enigma	0.288053055562489	0.0829745628188863	12.5330466309156	1718	3.21923983127245e-34	1738	18	pearson
EUR	jawinski	0.104847810632022	0.0109930633943283	4.39273048288836	1718	1.31740674875205e-05	1738	18	pearson
EUR	kaufmann	0.107875841606738	0.0116371972023621	4.52106614740802	1718	7.33393419935517e-06	1738	18	pearson
EUR	leonardsen	0.0391709735110703	0.00153436516580497	1.6333252071769	1718	0.104381053088773	1738	18	pearson
EUR	smith	0.0518752567963124	0.00269104226768335	2.16431395704026	1718	0.0314524567781438	1738	18	pearson
EUR	wen	0.110477108226483	0.012205191442086	4.63141596805663	1718	4.3788914415293e-06	1738	18	pearson

AFR	brainageFactor	0.0855151945072672	0.00731284849161574	1.52090438322096	297	0.140157249421272	316	17	pearson
AFR	enigma	0.111356159291995	0.0124001942122642	1.98558539489278	297	0.0544237140725418	316	17	pearson
AFR	jawinski	0.109159438559907	0.0119157830267141	1.94593861491592	297	0.0593928265124564	316	17	pearson
AFR	kaufmann	0.0161311411970795	0.000260213716320116	0.285881747875557	297	0.781178770125615	316	17	pearson
AFR	leonardsen	-0.00541395001759083	2.93108547929718e-05	-0.0959368447392865	297	0.925725207519615	316	17	pearson
AFR	smith	-0.0134348630793146	0.000180495545959931	-0.238087868174312	297	0.817044559901251	316	17	pearson
AFR	wen	0.0804947958849059	0.00647941216455267	1.43101501939192	297	0.165043050413113	316	17	pearson

CSA	brainageFactor	0.0889739857084312	0.00791637013284413	2.15871509118437	567	0.0338458659345002	586	17	pearson
CSA	enigma	0.16399741681137	0.0268951527208021	4.01757148521051	567	8.49512965839967e-05	586	17	pearson
CSA	jawinski	0.0563495095209394	0.00317526722325044	1.36391454650209	567	0.179512918551196	586	17	pearson
CSA	kaufmann	0.0605991757056259	0.00367226009620132	1.46714159248144	567	0.148833501047026	586	17	pearson
CSA	leonardsen	0.0746576147567491	0.00557375944116716	1.80923194010145	567	0.0751693543692426	586	17	pearson
CSA	smith	0.0312238076878635	0.000974926166528684	0.754925495572511	567	0.457271393316994	586	17	pearson
CSA	wen	0.000262690812245115	6.90064628379982e-08	0.00634821054143103	567	0.995011360002514	586	17	pearson

EAS	brainageFactor	0.174503764517933	0.0304515638309302	2.90667305827214	252	0.00528964490227357	271	17	pearson
EAS	enigma	0.12526451405336	0.0156911984810243	2.07080170412428	252	0.0461080175506874	271	17	pearson
EAS	jawinski	0.152081283655621	0.0231287168383415	2.52367391083666	252	0.01526839729071	271	17	pearson
EAS	kaufmann	0.118225905508246	0.0139773647332447	1.95274415542199	252	0.0599010840508435	271	17	pearson
EAS	leonardsen	0.242557092136725	0.0588339429458239	4.10069047516156	252	9.41738430434909e-05	271	17	pearson
EAS	smith	0.0647037211751465	0.0041865715339111	1.06344836747053	252	0.304327224253551	271	17	pearson
EAS	wen	0.118601699763969	0.0140663631869026	1.9590395844958	252	0.0590871789307078	271	17	pearson

