ancestry	pgsMethod	BAGjawinski_estimate	BAGjawinski_R2	BAGjawinski_statistic	BAGjawinski_df	BAGjawinski_p.value	BAGjawinski_n	BAGjawinski_gp	BAGjawinski_Method
EUR	brainageFactor	0.24454391807127	0.0598017278656483	11.2731395655237	1980	2.23393602551529e-28	2000	18	pearson
EUR	enigma	0.0639330590577648	0.00408743604048364	2.86360176412093	1980	0.00440785497276131	2000	18	pearson
EUR	jawinski	0.297873525558027	0.0887286372283688	13.9478024088549	1980	6.73820174270165e-42	2000	18	pearson
EUR	kaufmann	0.089622496960676	0.00803219196146637	4.02222158526714	1980	6.45610705505093e-05	2000	18	pearson
EUR	leonardsen	0.200557658212138	0.0402233742675369	9.15064921948808	1980	1.97106436131057e-19	2000	18	pearson
EUR	smith	0.0865341479066771	0.00748815875393467	3.88255319832903	1980	0.000114656982741025	2000	18	pearson
EUR	wen	0.191260929441925	0.0365807431309892	8.70996364897863	1980	8.78021235031838e-18	2000	18	pearson

AFR	brainageFactor	0.0711283412213687	0.00505924092490346	1.30516816707426	318	0.204437105182006	337	17	pearson
AFR	enigma	-0.012671691175822	0.000160571757255404	-0.231948652657431	318	0.821356889650702	337	17	pearson
AFR	jawinski	0.136842838714978	0.0187259625075736	2.52842062341456	318	0.0142905790309652	337	17	pearson
AFR	kaufmann	0.0214722862435094	0.000461059076523205	0.39309799829922	318	0.70198008515918	337	17	pearson
AFR	leonardsen	0.0903462678905162	0.00816244812174492	1.66039855598731	318	0.106714272895011	337	17	pearson
AFR	smith	0.0572150437819456	0.00327356123496995	1.04892551318924	318	0.307574526074003	337	17	pearson
AFR	wen	0.0504078813515348	0.00254095450235041	0.9237901162183	318	0.368777105050917	337	17	pearson

CSA	brainageFactor	0.145509814702995	0.0211731061748998	3.7090945037585	619	0.000274591824906724	638	17	pearson
CSA	enigma	0.0446727745360006	0.00199565678474434	1.12773035029991	619	0.266330875110391	638	17	pearson
CSA	jawinski	0.201195316739487	0.0404795554779027	5.17987534931564	619	4.29388418075912e-07	638	17	pearson
CSA	kaufmann	0.0337022450383929	0.00113584132062788	0.850421389164369	619	0.401805132820192	638	17	pearson
CSA	leonardsen	0.175015573449755	0.0306304509499467	4.48291564298702	619	1.15200713363037e-05	638	17	pearson
CSA	smith	0.0728359340068865	0.00530507328265552	1.84174415448099	619	0.0697062293324648	638	17	pearson
CSA	wen	0.0231077197140304	0.000533966710382189	0.582910165709358	619	0.565454989186351	638	17	pearson

EAS	brainageFactor	0.241345842333031	0.05824781561144	4.22785831688819	272	5.42429139476522e-05	291	17	pearson
EAS	enigma	0.101684027708284	0.0103396414909791	1.73763507465409	272	0.0929900066483944	291	17	pearson
EAS	jawinski	0.268752132620653	0.0722277087881492	4.7432950664605	272	6.4347006393774e-06	291	17	pearson
EAS	kaufmann	0.0639321503008023	0.00408731984208437	1.08907453203042	272	0.2916510805846	291	17	pearson
EAS	leonardsen	0.159695666723601	0.0255027059702955	2.75012057035192	272	0.00808817949952965	291	17	pearson
EAS	smith	0.116087811466629	0.0134763799711115	1.9869264960854	272	0.0549458412872764	291	17	pearson
EAS	wen	0.188577326590898	0.0355614081041703	3.26438298719823	272	0.00171609347750641	291	17	pearson

