varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271066	-0.0395955124202177	-0.0424425921072722	-0.0367484327331633	2.21475158847272e-163	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
50	CONTINUOUS	271211	-0.0341558443394051	-0.0367963438331809	-0.0315153448456293	1.2201599564843e-141	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271066	-0.0336350939499787	-0.0365882239221651	-0.0306819639777922	2.75602884018793e-110	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20153	CONTINUOUS	158339	-0.0195329357701278	-0.0216118610662158	-0.0174540104740399	1.18740816801119e-75	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.023378538860842	-0.0264005988759507	-0.0203564788457333	6.70774200193177e-52	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	246968	-0.0217910150343922	-0.0246369881735404	-0.018945041895244	6.94708821298048e-51	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3063	CONTINUOUS	246968	-0.0216371568592662	-0.0245412303623436	-0.0187330833561889	2.81428737977392e-48	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20150	CONTINUOUS	203826	-0.0231216885208113	-0.026232809888339	-0.0200105671532837	4.85549352182083e-48	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
1697	CAT-SIN	267453	-0.047795436452949	-0.055070560055851	-0.040520312850047	5.95903300516072e-38	ORDERED-LOGISTIC	Comparative height size at age 10		100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	100033	UK Biobank Assessment Centre > Touchscreen > Early life factors
30000	CONTINUOUS	263827	0.0242881090255604	0.0204856465654534	0.0280905714856674	5.9971368600391e-36	LINEAR	White blood cell (leukocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
