varName,varType,n,beta,lower,upper,pvalue
"20100#1",CAT-MUL,37795/226(38021),-0.0112031104511464,-0.142415257748721,0.119909628122857,0.867047779961501
"20100#2",CAT-MUL,37769/252(38021),0.0785545310959929,-0.0455776130218079,0.202584004274658,0.214664115525349
"20100#3",CAT-MUL,38000/21(38021),0.00162594828140468,-0.430220073171914,0.431816579243404,0.994102332851851
"20101#1",CAT-MUL,36739/1282(38021),-0.00671902205515573,-0.0625042602416721,0.0490566137096852,0.813360724984092
"20101#2",CAT-MUL,36610/1411(38021),-0.00625919054773504,-0.059585090501701,0.0470527585238633,0.818022775987334
"20101#3",CAT-MUL,37889/132(38021),0.104252349239893,-0.066952025341464,0.275300868715867,0.232477255162263
"20102#2",CAT-MUL,37405/616(38021),-0.023771411734625,-0.103582262796371,0.0560145013087002,0.559306178369902
"20102#1",CAT-MUL,37262/759(38021),0.0503930817452284,-0.0216796664410706,0.122468338920119,0.170559889054562
"20102#3",CAT-MUL,37952/69(38021),0.0163011867572304,-0.220546786355653,0.252907010875751,0.892645184450409
"20103#1",CAT-MUL,37921/100(38021),0.0924622468502638,-0.104664434995213,0.289285342396969,0.357586567554636
"20103#2",CAT-MUL,37912/109(38021),0.0451814397934234,-0.143393839376848,0.23356349049744,0.638478119035588
"20104#2",CAT-MUL,37698/323(38021),0.0633247749241042,-0.0462859988665971,0.172895069277416,0.25737269404284
"20104#1",CAT-MUL,37762/259(38021),0.0622930217068492,-0.0598840504955886,0.184426086069259,0.317557768097127
"20104#3",CAT-MUL,37977/44(38021),0.0535952202195443,-0.242999511196352,0.349896197594538,0.723081494928964
"20105#79",CAT-MUL,34215/3806(38021),0.00393210066662651,-0.0296293620608338,0.0374913823535214,0.818367687410508
"20105#78",CAT-MUL,35883/2138(38021),-0.0315749444543676,-0.0755595726481585,0.0123977878861152,0.159363331264554
"20106#210",CAT-MUL,28929/9092(38021),-0.0328904333662416,-0.0566710134435031,-0.00911787381895459,0.00670169065367117
"20106#211",CAT-MUL,36141/1880(38021),-0.00691973234390234,-0.0533240201726983,0.0394773787714577,0.770060269317774
"20107#8",CAT-MUL,184018/52467(236485),0.0110255675812162,0.00122849348017027,0.0208227543329769,0.0274029977303059
"20107#1",CAT-MUL,161288/77916(239204),0.016703044192895,0.00814052133000725,0.0252659771550772,0.000131700618285024
"20107#10",CAT-MUL,223461/11255(234716),0.0384348835846152,0.0194780668580291,0.0573914421801483,7.07154753203026e-05
"20107#100",CAT-MUL,148689/87746(236435),-0.0216857652181234,-0.0300407218540694,-0.0133316061641356,3.62887520048334e-07
"20107#2",CAT-MUL,199368/37004(236372),0.0144572382714019,0.00334297860905179,0.0255715518598545,0.0107879693536319
"20107#6",CAT-MUL,208652/27672(236324),0.0247868189185877,0.0121733426410927,0.0374005525266534,0.000117389279397473
"20107#3",CAT-MUL,213422/22441(235863),0.00388980015331994,-0.00990725242973768,0.0176862230284659,0.580545933507977
