varName,varType,n,beta,lower,upper,pvalue
"20115-320",CAT-SIN,567/4434,-999,-999,-999,0.552639641283155
"20115-320#354",CAT-SIN,567#269,0.00705426948133836,-0.149523453992193,0.16363199295487,0.929636710397097
"20115-320#502",CAT-SIN,567#304,-0.0386295919424089,-0.186430268244648,0.10917108435983,0.608467945697519
"20115-320#212",CAT-SIN,567#261,0.0791604228114764,-0.0828629107616088,0.241183756384562,0.338270621821325
"20115-320#505",CAT-SIN,567#257,-0.00389341260511566,-0.161455546775542,0.153668721565311,0.961372466750477
"20115-320#115",CAT-SIN,567#67,0.0632434989548539,-0.206561321913576,0.333048319823284,0.645929263995415
"20115-320#202",CAT-SIN,567#17,-0.00999084650818097,-0.520886033214794,0.500904340198432,0.969425996908
"20115-320#333",CAT-SIN,567#143,-0.0127856924850456,-0.20439523071223,0.178823845742138,0.895946036165141
"20115-320#355",CAT-SIN,567#84,-0.0832668323152161,-0.332927918354278,0.166394253723846,0.513314032454184
"20115-320#434",CAT-SIN,567#144,0.056508498680309,-0.139402965806273,0.252419963166891,0.571849347837126
"20115-320#124",CAT-SIN,567#196,0.0109712079968267,-0.159674670633993,0.181617086627646,0.899723612793955
"20115-320#109",CAT-SIN,567#73,-0.047772458669173,-0.3036358311999,0.208090913861554,0.714405018385051
"20115-320#241",CAT-SIN,567#43,0.111466089338943,-0.221546798313667,0.444478976991553,0.511798878960161
"20115-320#143",CAT-SIN,567#293,-0.134844148938134,-0.285765834426781,0.0160775365505144,0.0799164631301146
"20115-320#304",CAT-SIN,567#25,0.55909497729436,0.12846968822558,0.989720266363141,0.0109376133984005
"20115-320#239",CAT-SIN,567#199,-0.0747514110696754,-0.243289376968965,0.0937865548296141,0.384682998860579
"20115-320#226",CAT-SIN,567#139,0.105297486487958,-0.0884681898386085,0.299063162814525,0.286831941869073
"20115-320#211",CAT-SIN,567#90,0.0292260510785043,-0.204266055648268,0.262718157805277,0.806202950793808
"20115-320#207",CAT-SIN,567#18,0.106403264463369,-0.387743154370848,0.600549683297586,0.673000235441542
"20115-320#409",CAT-SIN,567#277,0.0650199372293428,-0.0875775609255809,0.217617435384267,0.403651945149422
"20115-320#312",CAT-SIN,567#86,-0.00766736673481135,-0.244950403848501,0.229615670378878,0.949501619966829
"20115-320#129",CAT-SIN,567#18,0.0856721428458726,-0.407657962082269,0.579002247774014,0.733578599929708
"20115-320#146",CAT-SIN,567#63,-0.0466784324772879,-0.322430814760037,0.229073949805462,0.740058341918471
"20115-320#151",CAT-SIN,567#77,-0.0516510428344849,-0.302170529452326,0.198868443783357,0.686141359445471
"20115-320#232",CAT-SIN,567#33,-0.321786573778725,-0.695199586107736,0.0516264385502856,0.0912217304198486
"20115-320#152",CAT-SIN,567#161,-0.0735011391967806,-0.256861720219583,0.109859441826022,0.432065068263772
"20115-320#612",CAT-SIN,567#12,-0.190768767791322,-0.799074712058892,0.417537176476248,0.538780820358608
"20115-320#136",CAT-SIN,567#69,-0.0813463563527262,-0.342676388213638,0.179983675508186,0.541799428788808
"20115-320#601",CAT-SIN,567#40,-0.093549597564169,-0.435290265037503,0.248191069909165,0.591592870703289
"20115-320#214",CAT-SIN,567#10,0.171094358386538,-0.489538271903193,0.831726988676269,0.611732131005965
"20115-320#251",CAT-SIN,567#31,-0.436011149434958,-0.818842139223814,-0.0531801596461023,0.025599881321547
"20115-320#127",CAT-SIN,567#27,0.0217442145799374,-0.376812449155807,0.420300878315682,0.91484408830338
"20115-320#616",CAT-SIN,567#11,-0.0711999794915368,-0.702229579285633,0.559829620302559,0.824979094993343
"20115-320#609",CAT-SIN,567#10,0.162248787987396,-0.48048389381577,0.804981469790561,0.620765852969865
"20115-320#321",CAT-SIN,567#27,0.009183551055055,-0.40038921363903,0.418756315749141,0.96494677733397
"20115-320#149",CAT-SIN,567#51,-0.0612459892854884,-0.356738839701423,0.234246861130446,0.684568957337012
"20115-320#307",CAT-SIN,567#29,-0.0801586462537333,-0.47636442381537,0.316047131307904,0.691712996177015
"20115-320#407",CAT-SIN,567#14,-0.201441300648669,-0.762701598041871,0.359818996744533,0.48177631284306
"20115-320#340",CAT-SIN,567#13,0.410731924835388,-0.167155270756259,0.988619120427034,0.163607799264082
