description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0395955124202177	-0.0424425921072722	-0.0367484327331633	0.00145261836927201	2.21475158847272e-163	1.46993062926934e-159	-27.2394723967754	271066	-0.0522479410394839
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271211	-0.0341558443394051	-0.0367963438331809	-0.0315153448456293	0.00134721837472715	1.2201599564843e-141	4.04910081559315e-138	-25.3379505847601	271211	-0.0485966137130223
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0336350939499787	-0.0365882239221651	-0.0306819639777922	0.00150672665185706	2.75602884018793e-110	6.09725447077576e-107	-22.3131174325538	271066	-0.0428179481219299
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0195329357701278	-0.0216118610662158	-0.0174540104740399	0.00106069566200514	1.18740816801119e-75	1.97020700277257e-72	-18.4054741377026	158339	-0.0462052914584783
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.023378538860842	-0.0264005988759507	-0.0203564788457333	0.00154189568734238	6.70774200193177e-52	8.90385673336423e-49	-15.1580035965269	203826	-0.0335559624329489
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0217910150343922	-0.0246369881735404	-0.018945041895244	0.00145205379363951	6.94708821298048e-51	7.68463741159191e-48	-15.0036686876993	246968	-0.0301773459457273
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0216371568592662	-0.0245412303623436	-0.0187330833561889	0.00148169738116839	2.81428737977392e-48	2.66834647707993e-45	-14.5998585322969	246968	-0.0293658600858388
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0231216885208113	-0.026232809888339	-0.0200105671532837	0.00158733598783844	4.85549352182083e-48	4.02823881304061e-45	-14.5626277008716	203826	-0.0322393495974776
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.047795436452949	-0.055070560055851	-0.040520312850047	0.00371186596299077	5.95903300516072e-38	4.39445578391686e-35	-12.878357395572	267453	-0.0248945192807936
White blood cell (leukocyte) count	30000	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263827	0.0242881090255604	0.0204856465654534	0.0280905714856674	0.00194006751659742	5.9971368600391e-36	3.98029973400795e-33	12.5173948649847	263827	0.0243627918060683
Diastolic blood pressure, automated reading	4079	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256017	0.0241246299806451	0.0203117063070425	0.0279375536542476	0.00194540496849861	2.64566950583433e-35	1.59630077365659e-32	12.3990115609138	256017	0.0244976261475398
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266562	-0.0140541427206896	-0.0164159031620977	-0.0116923822792816	0.0012050019592387	1.99951365523561e-31	1.10589767748323e-28	-11.6617243867328	266562	-0.0225815903927765
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266533	-0.0138999547084376	-0.0162532850327358	-0.0115466243841394	0.0012007008000458	5.50930258031324e-31	2.812710863503e-28	-11.5751216976913	266533	-0.0224151975262397
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0489678266103952	-0.0574019284410552	-0.0405350836667871	0.00430284558984543	5.23721876629765e-30	2.48281578227982e-27	-11.3803780802916	271436	-0.0218384082958293
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.045712226129988	0.0376653711190671	0.0537603837137482	0.00410594600758905	8.64560204464356e-29	3.82539071801995e-26	11.1332188510763	271879	0.0213469354576831
Education score (England)	26414	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0228544170322783	0.0188017800477699	0.0269070540167866	0.00206770992552671	2.15364015420091e-28	8.93356856464465e-26	11.0515909313394	230475	0.0230144037926267
Neutrophill count	30140	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263361	0.0214360167146084	0.0176269158597868	0.0252451175694299	0.00194345451491316	2.78101991161916e-28	1.08574289137743e-25	11.0286192027002	263361	0.0214855657896124
Average total household income before tax	738	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	CAT-SIN	ORDERED-LOGISTIC	231740	-0.0409746434436116	-0.0483096424929378	-0.0336396443942854	0.00374241522149577	6.63777303501981e-28	2.44749442407925e-25	-10.9500953178179	231740	-0.0227408632340207
Whole body fat-free mass	23101	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266754	-0.0129164412131359	-0.0152772408156362	-0.0105556416106357	0.001204511726298	8.00179154542099e-27	2.79515213089259e-24	-10.7222666883963	266754	-0.0207557865139456
Vascular/heart problems diagnosed by doctor: High blood pressure	6150#4	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	194404/77032(271436)	0.0466910552203627	0.0381054267380114	0.0552779445564749	0.00438082484012924	1.59844172334933e-26	5.30442885893475e-24	10.6580913009631	271436	0.0204529735130774
Whole body water mass	23102	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266777	-0.0127776565159963	-0.0151433710875178	-0.0104119419444749	0.00120701940963299	3.49593937238749e-26	1.10488331497789e-23	-10.5850500320116	266777	-0.020489396649961
Peak expiratory flow (PEF)	3064	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	INTEGER	LINEAR	246968	-0.0165908699801441	-0.0197893018175928	-0.0133924381426954	0.00163188296452257	2.82148368635725e-24	8.51190328470594e-22	-10.1656792853154	246968	-0.0204515851955518
High light scatter reticulocyte count	30300	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259553	0.0195622852189129	0.0157514843180886	0.0233730861197371	0.00194432190126113	8.2750621125664e-24	2.30122099456797e-21	10.060294277783	259553	0.0197430694544956
Age first had sexual intercourse	2139	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	INTEGER	LINEAR	237025	-0.0200291384083986	-0.0239310625274985	-0.0161272142892987	0.00199081419346365	8.32142592581458e-24	2.30122099456797e-21	-10.0597442239956	237025	-0.020658510283988
