varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
50	CONTINUOUS	271211	-0.0252300657163397	-0.0278716130445221	-0.0225885183881573	3.79849800831262e-78	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20015	CONTINUOUS	271066	-0.0242743589371894	-0.027123609464772	-0.0214251084096069	1.45421418102391e-62	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20153	CONTINUOUS	158339	-0.0154645686757108	-0.0175472471870504	-0.0133818901643713	5.96125928271142e-48	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
51	CONTINUOUS	271066	-0.0212927815524744	-0.0242472644613324	-0.0183382986436164	2.7487043158019e-45	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3063	CONTINUOUS	246968	-0.0179042673300387	-0.0208072238441207	-0.0150013108159567	1.24434574412756e-33	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20150	CONTINUOUS	203826	-0.0189298230218618	-0.0220420295542167	-0.015817616489507	9.38371433874222e-33	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.0183144333509423	-0.0213376872027335	-0.0152911794991512	1.67091777662093e-32	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	246968	-0.016808573759318	-0.019653590419818	-0.013963557098818	5.32190769663484e-31	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
4079	INTEGER	256017	0.0217309772965321	0.0179167402270549	0.0255452143660094	6.03217701931931e-29	LINEAR	"Diastolic blood pressure, automated reading"		100000	UK Biobank Assessment Centre	100006	Physical measures	100011	Blood pressure	100011	UK Biobank Assessment Centre > Physical measures > Blood pressure
30000	CONTINUOUS	263827	0.0188864125579828	0.0150836277608	0.0226891973551657	2.17504314785301e-22	LINEAR	White blood cell (leukocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
3064	INTEGER	246968	-0.0147542873491256	-0.0179511941963746	-0.0115573805018765	1.49850861664763e-19	LINEAR	Peak expiratory flow (PEF)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30830	CONTINUOUS	235243	-0.0168628410964312	-0.0205601573947389	-0.0131655247981234	3.95040958972037e-19	LINEAR	SHBG		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
1697	CAT-SIN	267453	-0.0324844949124284	-0.0397525999040523	-0.0252163899208045	1.94001330599615e-18	ORDERED-LOGISTIC	Comparative height size at age 10		100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	100033	UK Biobank Assessment Centre > Touchscreen > Early life factors
23129	CONTINUOUS	266562	-0.010446884463728	-0.0128084007541386	-0.00808536817331729	4.32439827577638e-18	LINEAR	Trunk fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23130	CONTINUOUS	266533	-0.0103403952840463	-0.0126934885167365	-0.00798730205135597	7.16302714890831e-18	LINEAR	Trunk predicted mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
6150#4	CAT-MUL	194404/77032(271436)	0.0370283461590109	0.0284460200261679	0.0456117798201078	2.77351175766369e-17	LOGISTIC-BINARY	Vascular/heart problems diagnosed by doctor: High blood pressure		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
30140	CONTINUOUS	263361	0.0163514056094179	0.0125419848238479	0.0201608263949878	4.0192247301486e-17	LINEAR	Neutrophill count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
6150#100	CAT-MUL	84940/186496(271436)	-0.0360297641093626	-0.0444593974765527	-0.027601212080866	5.3923358869438e-17	LOGISTIC-BINARY	Vascular/heart problems diagnosed by doctor		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
26414	CONTINUOUS	230475	0.0169822598240508	0.0129268364067775	0.0210376832413241	2.27033024417506e-16	LINEAR	Education score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
26413	CONTINUOUS	230475	0.0163855465210757	0.0124117737229169	0.0203593193192345	6.41210132034816e-16	LINEAR	Health score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
