varName,varType,n,beta,lower,upper,pvalue
"22650#9",CAT-MUL,41011/14408(55419),0.0274226454834206,0.00822417944523736,0.0466254929919754,0.00512137659274326
"22650#1",CAT-MUL,54676/743(55419),0.0806911257111043,0.00821441670677587,0.153188673994192,0.0291212300225663
"22650#0",CAT-MUL,54950/469(55419),0.0538045928821096,-0.0372815796800466,0.144916561283563,0.247024172305597
"22660#101",CAT-MUL,43908/9145(53053),-0.0110113844872164,-0.0340004737435443,0.0119771776579943,0.34782329332341
"22660#108",CAT-MUL,20064/33892(53956),0.0077644914211523,-0.0175835640140055,0.0331149005748385,0.548258292322394
"22660#105",CAT-MUL,37943/15527(53470),-0.019009774552324,-0.0414236517623182,0.00339919406963634,0.0964074113438399
"22660#103",CAT-MUL,45978/7129(53107),-0.00759478557203674,-0.0326376255842816,0.0174490178072994,0.552235474632506
"22660#107",CAT-MUL,50534/2097(52631),0.0215272533705462,-0.022408308656141,0.0654742884402856,0.336938346960615
"22660#106",CAT-MUL,51191/1374(52565),-0.00272045785013899,-0.0563978724374756,0.0509670496841471,0.92087492334978
"22660#102",CAT-MUL,51115/1449(52564),0.0276669720015862,-0.0246762646703565,0.0800257226618567,0.300240728722244
"23050",CAT-SIN,1594/3613(5207),0.00496056846355701,-0.0556300767965738,0.0655636715628591,0.872504989097595
"23051",CAT-SIN,4403/804(5207),0.0129504502195077,-0.0634260830491926,0.0893393199187106,0.739611410725715
"23052",CAT-SIN,397/4810(5207),-0.0540472985452295,-0.158632483751218,0.0504433611956873,0.310815854410406
"23053",CAT-SIN,288/4919(5207),0.00238977487896076,-0.118141780611317,0.122998347820929,0.969006515045262
"23054",CAT-SIN,2301/2906(5207),-0.0256424676620903,-0.0821213079671788,0.0308085527481196,0.373331597196736
"23055",CAT-SIN,491/4716(5207),-0.000301307380436918,-0.0947886401328643,0.0941864208552905,0.995012345023175
"23056",CAT-SIN,1187/4020(5207),-0.010155557284354,-0.0760865335825277,0.0557648917608169,0.762666548626838
"23057",CAT-SIN,1127/4080(5207),-0.0330393278399969,-0.100136604580929,0.0340136134782028,0.334241715700766
"23058",CAT-SIN,263/4944(5207),-0.037215686420723,-0.163633876160393,0.089161692227797,0.56381989189349
"23059",CAT-SIN,4803/404(5207),-0.0115420439626928,-0.114710851278429,0.0915925512285309,0.826381055558232
"23060",CAT-SIN,5130/77(5207),-0.0441094313146149,-0.274489380152497,0.18628499605524,0.707458423613493
"23061",CAT-SIN,5195/12(5207),0.101331216705176,-0.500352098743161,0.704141934415287,0.741600984877604
"23062",CAT-SIN,3817/1390(5207),0.00659355538447141,-0.0560444031788526,0.0692388486186442,0.836523635796784
"23063",CAT-SIN,5123/84(5207),0.0232963826627626,-0.195643964100372,0.241982324947294,0.834673966519824
"23065",CAT-SIN,249/4958(5207),-0.052432737179409,-0.181513883292904,0.0767055390367013,0.425972751690048
"23066",CAT-SIN,2259/2948(5207),0.0168777734897687,-0.0389195577222053,0.0727012804450135,0.553294149638133
"23067",CAT-SIN,1759/3448(5207),-0.0309553047387665,-0.0895617998947524,0.0276100959152493,0.300299291033486
"23068",CAT-SIN,4992/215(5207),0.0107765934767626,-0.129155009324362,0.150807736491577,0.880038423233305
"23069",CAT-SIN,5083/124(5207),-0.175620190677715,-0.357109292545763,0.00558404984139634,0.0576403022008364
"23070",CAT-SIN,4164/1043(5207),0.0632744355340655,-0.00685876891804226,0.133504198416965,0.077157205303742
"23071",CAT-SIN,4025/139(4164),-0.0197010330622154,-0.193824198441869,0.154284547809684,0.824394376669326
"23073",CAT-SIN,1790/856(2646),0.0149187415168631,-0.0700783236759618,0.0999418021241717,0.730777749883436
"23074",CAT-SIN,3691/1516(5207),0.0235977085959285,-0.0382515117036052,0.0854821749950871,0.454623894194677
"23075",CAT-SIN,4998/209(5207),0.0272458332346551,-0.11298330001942,0.167441495138168,0.703269742682242
