varName,varType,n,beta,lower,upper,pvalue
"1647-1",CAT-SIN,227049/271838,-999,-999,-999,0.000204161748480326
"1647-1#3",CAT-SIN,227049#24641,-0.038762683675981,-0.0556771685322594,-0.0218481988197025,7.06829563590361e-06
"1647-1#6",CAT-SIN,227049#4497,-0.0259488465714214,-0.0555707289451522,0.00367303580230938,0.0859913074635088
"1647-1#2",CAT-SIN,227049#14122,0.00697393316431483,-0.0151288006398269,0.0290766669684565,0.536301940549785
"1647-1#4",CAT-SIN,227049#1378,-0.0288232059363436,-0.0826355519485437,0.0249891400758564,0.293807984059891
"1647-1#5",CAT-SIN,227049#151,-0.0916734669797091,-0.251595705781862,0.0682487718224436,0.261214429063546
"1747-3",CAT-SIN,111964/271299,-999,-999,-999,0.000139285014644456
"1747-3#2",CAT-SIN,111964#12268,-0.0361274269554902,-0.0548006483932694,-0.0174542055177111,0.000149451808131307
"1747-3#4",CAT-SIN,111964#100430,0.00211811597948529,-0.00641768887554264,0.0106539208345132,0.626715517895168
"1747-3#1",CAT-SIN,111964#31371,-0.00511459624180923,-0.0176452425079237,0.00741605002430521,0.423715077988584
"1747-3#5",CAT-SIN,111964#11668,0.0264765507270149,0.00710347496301782,0.0458496264910119,0.00739264920887428
"1747-3#6",CAT-SIN,111964#3598,-0.00176274332691201,-0.0350356623367819,0.0315101756829579,0.917299816217801
"2247-0",CAT-SIN,191977/261182,-999,-999,-999,0.542765209205581
"2247-0#1",CAT-SIN,191977#69127,0.00489202584485673,-0.0039617187063733,0.0137457703960868,0.278829022275782
"2247-0#99",CAT-SIN,191977#78,0.0270879588851979,-0.195097261055904,0.2492731788263,0.811143427235138
"2395-1",CAT-SIN,39452/123519,-999,-999,-999,0.000931725030641529
"2395-1#4",CAT-SIN,39452#22658,-0.0321611109922743,-0.0486387804151171,-0.0156834415694315,0.000130529607927921
"2395-1#2",CAT-SIN,39452#28223,-0.00237844445313439,-0.0176953661852646,0.0129384772789958,0.760863228729129
"2395-1#3",CAT-SIN,39452#33186,-0.0119689653569512,-0.0267384552472466,0.00280052453334418,0.112213004861856
"2654-7",CAT-SIN,49097/145395,-999,-999,-999,0.00314140691929725
"2654-7#8",CAT-SIN,49097#14854,-0.00409342450704293,-0.022483302703015,0.0142964536889291,0.662640354353961
"2654-7#6",CAT-SIN,49097#35049,-0.0210417996709118,-0.0347607398989611,-0.00732285944286251,0.00264579881994975
"2654-7#2",CAT-SIN,49097#22261,-0.000489307882253952,-0.016421049842099,0.0154424340775911,0.951999597087419
