varName,varType,n,beta,lower,upper,pvalue
"100300",CAT-SIN,38011,-0.00694200160301516,-0.0543113342850661,0.0404273310790358,0.773978763264777
"100310",CAT-SIN,38004,-0.00374694764189446,-0.0822821686103783,0.0747882733265894,0.925435512473106
"100330",CAT-SIN,38013,0.076269339798832,-0.0334000609507307,0.185938740548395,0.172940796056717
"100360",CAT-SIN,38021,-0.010324812576158,-0.038428628394933,0.0177790032426171,0.471474584511887
"100370",CAT-SIN,38021,-0.0162834082421357,-0.0442771631483471,0.0117103466640757,0.254179948433319
"100380",CAT-SIN,38021,-0.022967888695336,-0.0620037863831704,0.0160680089924983,0.248836622541887
"100400",CAT-SIN,38021,0.0191626782070727,0.00142205904721556,0.0369032973669299,0.0342277456785578
"100410",CAT-SIN,38021,-0.0298056446885581,-0.0840455446713553,0.0244342552942392,0.281421626632719
"100420",CAT-SIN,38021,-0.00327080450460013,-0.0494540480244602,0.0429124390152599,0.889619300308245
"100430",CAT-SIN,38021,-0.011895461900206,-0.0487614015403571,0.024970477739945,0.527084091891545
"100440",CAT-SIN,38021,-0.00862183570099383,-0.0738623621287503,0.0566186907267626,0.79549797479381
"100460",CAT-SIN,38021,-0.00615859511114081,-0.0273702447613646,0.015053054539083,0.569321039000831
"100470",CAT-SIN,38021,0.0296619162739176,-0.0132994539960897,0.072623286543925,0.176004550891073
"100480",CAT-SIN,38021,-0.0876581773758757,-0.163330224703211,-0.0119861300485403,0.0229456396687058
"100490",CAT-SIN,38021,0.0037355640457933,-0.0273326103545324,0.034803738446119,0.813757311358869
"100500",CAT-SIN,38021,0.0169718361769682,-0.0247730237275958,0.0587166960815322,0.425557659215153
"100520",CAT-SIN,38010,-0.00590769791501288,-0.054640548937842,0.0428251531078163,0.812237804524795
"100530",CAT-SIN,38014,-0.00497015894997595,-0.0727032842501585,0.0627629663502066,0.885713860758277
"100540",CAT-SIN,38009,-0.00814704665345059,-0.0953077333405222,0.079013640033621,0.854608469351346
"100550",CAT-SIN,38003,0.0233790585470012,-0.0260112990430689,0.0727694161370712,0.35358691240452
"100560",CAT-SIN,38021,0.00650777089404689,-0.0638273027215255,0.0768428445096193,0.856121287287909
"100590",CAT-SIN,38021,-0.00430796648601587,-0.0308142146295468,0.0221982816575151,0.750057692478866
"100630",CAT-SIN,38016,0.0657219499479257,0.00699916156741274,0.124444738328439,0.0282689341969038
"100670",CAT-SIN,38021,-0.0230973384857354,-0.0524282838421434,0.0062336068706726,0.122715684151714
"100710",CAT-SIN,38021,-0.0162697300047612,-0.0440632556806226,0.0115237956711002,0.251237838946739
"100720",CAT-SIN,38011,0.0567546450033816,-0.0181626988809489,0.131671988887712,0.13766913182039
"100730",CAT-SIN,38021,-0.0160697055447793,-0.0552952467722328,0.0231558356826741,0.421971012450786
"100740",CAT-SIN,38012,0.0212143044091608,-0.0754494650187163,0.117878073837038,0.667116878016065
"100770",CAT-SIN,38021,0.0201571499472803,-0.008019368275217,0.0483336681697777,0.160848861542609
"100800",CAT-SIN,38021,-0.0225634302988879,-0.0503951225686731,0.00526826197089734,0.112033963132668
"100810",CAT-SIN,38021,-0.0219706647581453,-0.0782559793035731,0.0343146497872826,0.444171407326844
"100820",CAT-SIN,38021,-0.0247038700679991,-0.0828640927377372,0.0334563526017389,0.404983784582065
"100830",CAT-SIN,38021,-0.0270678144918585,-0.0605116337736836,0.00637600478996651,0.112604616953187
"100840",CAT-SIN,38021,-0.035785672136628,-0.0687854826844218,-0.00278586158883416,0.0335539373816067
"100850",CAT-SIN,38021,-0.00552415507743351,-0.0344343842128762,0.0233860740580092,0.707568885971472
"100860",CAT-SIN,38021,0.0604826787345698,-0.0117117308711598,0.1326770883403,0.100647687942459
"100880",CAT-SIN,38021,-0.00895194594415174,-0.0312015684010548,0.0132976765127513,0.430084882568273
"100890",CAT-SIN,38021,-0.0194508705795955,-0.0397964540259974,0.000894712866806497,0.0609454334449232
"100900",CAT-SIN,38021,-0.00958413230300324,-0.0382666080955636,0.0190983434895571,0.512904467042128
"100910",CAT-SIN,38021,-0.0258719691013058,-0.0880199138404472,0.0362759756378356,0.414537210417526
"100950",CAT-SIN,38021,0.00480350649654803,-0.0133574539451787,0.0229644669382748,0.604169933801512
