description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271211	-0.0252300657163397	-0.0278716130445221	-0.0225885183881573	0.00134775299394203	3.79849800831262e-78	2.52106312811709e-74	-18.7141190891697	271211	-0.0359117950555994
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0242743589371894	-0.027123609464772	-0.0214251084096069	0.00145372596132229	1.45421418102391e-62	4.82580975972785e-59	-16.6937967441751	271066	-0.0320476407865953
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0154645686757108	-0.0175472471870504	-0.0133818901643713	0.00106261060293324	5.96125928271142e-48	1.31882926197852e-44	-14.5485976492297	158339	-0.0365375853703743
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0212927815524744	-0.0242472644613324	-0.0183382986436164	0.00150741693835325	2.7487043158019e-45	4.5607876359943e-42	-14.1227947437227	271066	-0.0271159612200282
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0179042673300387	-0.0208072238441207	-0.0150013108159567	0.00148112747835172	1.24434574412756e-33	1.65174454075492e-30	-12.086528315953	246968	-0.0243138975293052
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0189298230218618	-0.0220420295542167	-0.015817616489507	0.00158788965353626	9.38371433874222e-33	1.03799520110387e-29	-11.9193505606258	203826	-0.0263920805500415
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0183144333509423	-0.0213376872027335	-0.0152911794991512	0.00154250479888314	1.67091777662093e-32	1.58426875477616e-29	-11.8711811191822	203826	-0.026285496586335
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.016808573759318	-0.019653590419818	-0.013963557098818	0.00145156578536194	5.32190769663484e-31	4.41518767282068e-28	-11.5780891968751	246968	-0.0232916616423665
Diastolic blood pressure, automated reading	4079	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256017	0.0217309772965321	0.0179167402270549	0.0255452143660094	0.00194607508074815	6.03217701931931e-29	4.44839543080247e-26	11.1652492457415	256017	0.0220612443913431
White blood cell (leukocyte) count	30000	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263827	0.0188864125579828	0.0150836277608	0.0226891973551657	0.00194023197731118	2.17504314785301e-22	1.44357613723004e-19	9.73326179246224	263827	0.018946215388624
Peak expiratory flow (PEF)	3064	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	INTEGER	LINEAR	246968	-0.0147542873491256	-0.0179511941963746	-0.0115573805018765	0.00163110489400104	1.49850861664763e-19	9.04145608062756e-17	-9.0448645308548	246968	-0.018197493076056
SHBG	30830	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood biochemistry	CONTINUOUS	LINEAR	235243	-0.0168628410964312	-0.0205601573947389	-0.0131655247981234	0.00188642052990346	3.95040958972037e-19	2.18490570391451e-16	-8.93834531711713	235243	-0.0184258225348236
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.0324844949124284	-0.0397525999040523	-0.0252163899208045	0.00370828497306776	1.94001330599615e-18	9.90451408607419e-16	-8.76072338795827	267453	-0.0169377434067467
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266562	-0.010446884463728	-0.0128084007541386	-0.00808536817331729	0.00120487739011431	4.32439827577638e-18	2.05007366830913e-15	-8.66991585819038	266562	-0.0167902115426734
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266533	-0.0103403952840463	-0.0126934885167365	-0.00798730205135597	0.00120057983271691	7.16302714890831e-18	3.1694007458203e-15	-8.61226620876278	266533	-0.0166795051265835
Vascular/heart problems diagnosed by doctor: High blood pressure	6150#4	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	194404/77032(271436)	0.0370283461590109	0.0284460200261679	0.0456117798201078	0.00437910082260216	2.77351175766369e-17	1.15048734597587e-14	8.45572811488091	271436	0.0162278765377807
Neutrophill count	30140	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263361	0.0163514056094179	0.0125419848238479	0.0201608263949878	0.00194361774788628	4.0192247301486e-17	1.56915261964684e-14	8.4123366129764	263361	0.0163901986813246
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0360297641093626	-0.0444593974765527	-0.027601212080866	0.00430063652410501	5.3923358869438e-17	1.98827407120256e-14	-8.37780615518175	271436	-0.0160783708403921
Education score (England)	26414	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0169822598240508	0.0129268364067775	0.0210376832413241	0.0020691316010202	2.27033024417506e-16	7.93062201609993e-14	8.20686794958117	230475	0.0170924362577444
Health score (England)	26413	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0163855465210757	0.0124117737229169	0.0203593193192345	0.00202747235638176	6.41210132034816e-16	2.12785582315754e-13	8.0812218980098	230475	0.0168308280476096
Age first had sexual intercourse	2139	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	INTEGER	LINEAR	237025	-0.0159740672113164	-0.019871254206069	-0.0120768802165637	0.00198839724887455	9.50203897870114e-16	3.00309679531617e-13	-8.03312548949112	237025	-0.0164979580227936
Employment score (England)	26412	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0164250178942032	0.012408441538424	0.0204415942499823	0.00204931130748391	1.10701727295148e-15	3.33966983662681e-13	8.01437139237775	230475	0.0166916368963656
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.0327179920196074	0.024675020548704	0.0407619258051938	0.00410387777106652	1.55512134216173e-15	4.48753928170757e-13	7.97248736950721	271879	0.0152882172543377
Average total household income before tax	738	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	CAT-SIN	ORDERED-LOGISTIC	231740	-0.0291326219802732	-0.0364602060310696	-0.0218050379294768	0.00373863198946279	6.54845897110089e-15	1.81092175796653e-12	-7.79290744646389	231740	-0.0161861661012216
Leg fat percentage (left)	23115	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266749	0.00916983083723576	0.00685047241340918	0.0114891892610623	0.00118336787926787	9.29708658213852e-15	2.46819054582613e-12	7.74851844740061	266749	0.0150009937231759
Qualifications	6138#100	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education	CAT-MUL	LOGISTIC-BINARY	218063/51145(269208)	0.0388363434295291	0.0288127777609531	0.0488612411984833	0.00511449791824491	3.11577330876804e-14	7.95361055780518e-12	7.5934171933711	269208	0.0146335059662034
Qualifications: College or University degree	6138#1	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education	CAT-MUL	LOGISTIC-BINARY	189384/79824(269208)	-0.0322330408612703	-0.0405901583466768	-0.0238768637665213	0.00426367390217061	4.03217414393477e-14	9.9116814049241e-12	-7.55995223081234	269208	-0.0145690283347672
Whole body fat-free mass	23101	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266754	-0.00886487176101497	-0.0112254767186804	-0.00650426680334958	0.00120441241588395	1.83935133718428e-13	4.3599195803186e-11	-7.35998192428948	266754	-0.0142488171703865
Hand grip strength (left)	46	Physical measures	UK Biobank Assessment Centre > Physical measures > Hand grip strength	INTEGER	LINEAR	270690	-0.00979573550838502	-0.0124064070454019	-0.00718506397136819	0.00133199974979617	1.92626942979258e-13	4.40850007087357e-11	-7.35381593778287	270690	-0.0141330168281002
