varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271066	-0.0320235094900568	-0.0348720530534098	-0.0291749659267039	1.68635035972305e-107	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
50	CONTINUOUS	271211	-0.0245714009446589	-0.0272134934814548	-0.0219293084078629	3.44630443498645e-74	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271066	-0.026421513380587	-0.0293758013263107	-0.0234672254348633	9.4097342166794e-69	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3148	CONTINUOUS	156637	-0.0321217673757562	-0.0369251780078377	-0.0273183567436748	3.15152631029603e-39	LINEAR	Heel bone mineral density (BMD)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
78	CONTINUOUS	156711	-0.031878900057177	-0.0366834408107616	-0.0270743593035924	1.20361735834019e-38	LINEAR	"Heel bone mineral density (BMD) T-score, automated"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3147	CONTINUOUS	156711	-0.0318778555773596	-0.0366823981487627	-0.0270733130059566	1.21041496626206e-38	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3146	CONTINUOUS	156711	-0.0315336748791836	-0.036383846310556	-0.0266835034478111	3.56217496911338e-37	LINEAR	Speed of sound through heel		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
20153	CONTINUOUS	158339	-0.0129616490218018	-0.0150406891680102	-0.0108826088755934	2.53869014982048e-34	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3144	CONTINUOUS	156699	-0.0293557852624689	-0.0340726761645523	-0.0246388943603855	3.30076462898205e-34	LINEAR	"Heel Broadband ultrasound attenuation, direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
20151	CONTINUOUS	203826	-0.0186623576450889	-0.0216846999568816	-0.0156400153332962	1.05266894149035e-33	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	246968	-0.0170804353814672	-0.0199282506520655	-0.0142326201108688	6.7559266005365e-32	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3063	CONTINUOUS	246968	-0.0172875741697102	-0.0201934701923269	-0.0143816781470935	2.07581690664372e-31	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20150	CONTINUOUS	203826	-0.0182259942921826	-0.0213373829667229	-0.0151146056176423	1.6755572324198e-30	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
4105	CONTINUOUS	86061	-0.0365558236463296	-0.0429990349082153	-0.0301126123844439	1.04788948802534e-28	LINEAR	Heel bone mineral density (BMD) (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4104	CONTINUOUS	86117	-0.0362390421741802	-0.0426827525861937	-0.0297953317621667	3.09624269823117e-28	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry (left)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4106	CONTINUOUS	86117	-0.0362382578595273	-0.0426819680908498	-0.0297945476282048	3.10443934211425e-28	LINEAR	"Heel bone mineral density (BMD) T-score, automated (left)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4103	CONTINUOUS	86117	-0.0365150401820806	-0.0430266676565737	-0.0300034127075875	4.40882545809988e-28	LINEAR	Speed of sound through heel (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4124	CONTINUOUS	86057	-0.0355299401866782	-0.0419535575563987	-0.0291063228169578	2.29231601773792e-27	LINEAR	Heel bone mineral density (BMD) (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4125	CONTINUOUS	86102	-0.035124107613737	-0.0415486963707257	-0.0286995188567483	8.94661925343722e-27	LINEAR	"Heel bone mineral density (BMD) T-score, automated (right)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4123	CONTINUOUS	86102	-0.0351236374378314	-0.0415482287314121	-0.0286990461442507	8.9608895827491e-27	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry (right)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4122	CONTINUOUS	86102	-0.0351485175168626	-0.0416475927761297	-0.0286494422575955	3.08994301616441e-26	LINEAR	Speed of sound through heel (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4101	CONTINUOUS	86112	-0.0321846543588933	-0.0385008297986021	-0.0258684789191846	1.78380975341436e-23	LINEAR	Heel broadband ultrasound attenuation (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
