varName,varType,n,beta,lower,upper,pvalue
"20001#1072",CAT-MUL,270900/940(271840),-0.0453157003851447,-0.109441065378562,0.018775666934149,0.165920647467796
"20001#1040",CAT-MUL,271120/720(271840),0.0369199573826307,-0.0364089930457204,0.110224381642862,0.323648574670985
"20001#1002",CAT-MUL,265495/6345(271840),-0.00407315702567939,-0.0293482997634939,0.0211985498230548,0.752094708908137
"20001#1073",CAT-MUL,271453/387(271840),-0.056684395613989,-0.156616877766247,0.043203033927971,0.266138939779843
"20001#1022",CAT-MUL,270845/995(271840),-0.0263730591426609,-0.0888134089770152,0.036051612789479,0.407701689460023
"20001#1035",CAT-MUL,271142/698(271840),-0.00399770070807349,-0.0785552677183798,0.0705375862963979,0.916282886999599
"20001#1061",CAT-MUL,269370/2470(271840),-0.0291761493460881,-0.0688779660933769,0.0105177635635732,0.149728404759173
"20001#1032",CAT-MUL,271696/144(271840),0.0678670968742541,-0.0955652709781193,0.231151333546296,0.415475350182305
"20001#1001",CAT-MUL,271663/177(271840),-0.127307090736679,-0.275168104304006,0.0204514679307947,0.0913904296526687
"20001#1044",CAT-MUL,269794/2046(271840),0.0157139910804856,-0.0284632814230897,0.0598881497335945,0.485674826183131
"20001#1048",CAT-MUL,271715/125(271840),0.0993498791091624,-0.0759811356760453,0.274529101036858,0.266499987897267
"20001#1015",CAT-MUL,271783/57(271840),0.171903968161362,-0.087722792168061,0.43117429408942,0.194036808278775
"20001#1059",CAT-MUL,269625/2215(271840),-0.0194384790961838,-0.0613091456471598,0.0224229349264371,0.362812903730913
"20001#1020",CAT-MUL,271406/434(271840),-0.0496783316535426,-0.144051759201439,0.0446627016509677,0.302115326964497
"20001#1041",CAT-MUL,270710/1130(271840),0.0256990204132109,-0.0328045233920224,0.0841811085842221,0.389168191924003
"20001#1053",CAT-MUL,271308/532(271840),-0.0293506669060576,-0.114524461092947,0.0557915602789494,0.499338503133825
"20001#1068",CAT-MUL,271684/156(271840),-0.0411921988104375,-0.198326697255711,0.115818287939929,0.607243215485481
"20001#1050",CAT-MUL,271732/108(271840),-0.0382223963949466,-0.227213437180246,0.150619237021609,0.691700863430388
"20001#1023",CAT-MUL,271624/216(271840),0.140910607404056,0.00736990889045302,0.274380974096642,0.0385729794172231
"20001#1021",CAT-MUL,271800/40(271840),-0.0890671365425095,-0.39994734074494,0.221462361089657,0.574225942101152
"20001#1065",CAT-MUL,271576/264(271840),-0.017759154908679,-0.138525789737439,0.10292057216251,0.773096140021915
"20001#1056",CAT-MUL,271774/66(271840),0.00882674518916531,-0.232806757802417,0.250186569446772,0.942889873997155
"20001#1010",CAT-MUL,271830/10(271840),0.111568619536027,-0.511327803867191,0.733206395839086,0.725282973493673
"20001#1034",CAT-MUL,271450/390(271840),0.0107788293381709,-0.0886812332417747,0.110197415678065,0.831753620172417
"20001#1045",CAT-MUL,271337/503(271840),-0.0327996551120293,-0.120411596020021,0.054787354914142,0.463027792096385
"20001#1003",CAT-MUL,270962/878(271840),-0.0284194352257598,-0.0948463192343225,0.0379871095616128,0.401656696510025
"20001#1039",CAT-MUL,271334/506(271840),-0.00843687120940884,-0.0958110221299614,0.0788981552824043,0.849858929543626
"20001#1062",CAT-MUL,271510/330(271840),-0.0146859433187286,-0.122861290361681,0.0934390931347382,0.790124551614398
"20001#1067",CAT-MUL,271823/17(271840),-0.451203259799045,-0.928494678581626,0.0247543779723333,0.0635214834550114
"20001#1046",CAT-MUL,271820/20(271840),-0.317182282499892,-0.756737577720962,0.121698025627385,0.15694516463654
"20001#1052",CAT-MUL,271572/268(271840),-0.0674088297149475,-0.187274820989043,0.0523832290898212,0.270217620625587
"20001#1007",CAT-MUL,271810/30(271840),-0.00962294980520015,-0.368108460620897,0.348718111421506,0.95803425337366
"20001#1019",CAT-MUL,271692/148(271840),0.110531187910977,-0.0509709572368912,0.271952527871988,0.17968342873807
"20001#1047",CAT-MUL,271757/83(271840),0.146419687293669,-0.0688532772555211,0.361534048584923,0.182338766913681
"20001#99999",CAT-MUL,271530/310(271840),0.0547882819137385,-0.0566305796447727,0.166147689872748,0.335026075677127
"20001#1017",CAT-MUL,271698/142(271840),0.0431767755141637,-0.121652941731867,0.207895499743634,0.607541540202488
"20001#1060",CAT-MUL,271449/391(271840),0.025080916820763,-0.0742702299045988,0.124389369311939,0.620673913431873
"20001#1016",CAT-MUL,271827/13(271840),-0.254652496340256,-0.801306909527849,0.290838682885949,0.360724003739962
"20001#1006",CAT-MUL,271624/216(271840),0.0481555247645558,-0.0855337344676222,0.18177072276512,0.480069843318397
"20001#1011",CAT-MUL,271747/93(271840),-0.0684908523212727,-0.272179158148284,0.135004031934213,0.509663553968238
"20001#1043",CAT-MUL,271791/49(271840),-0.162392425199119,-0.443384959755581,0.118130584213586,0.256924467837786
"20001#1063",CAT-MUL,271762/78(271840),0.107931080361845,-0.114276017682787,0.329917138452322,0.340850169428723
"20001#1030",CAT-MUL,271755/85(271840),-0.101575243419005,-0.31456024997722,0.111201051610604,0.349693480910107
"20001#1055",CAT-MUL,271653/187(271840),0.0543815112535496,-0.0892002966036832,0.197876274910489,0.457707294436721
"20001#1042",CAT-MUL,271817/23(271840),-0.0192212203484163,-0.428837216037075,0.389522984008419,0.926641562433333
"20001#1074",CAT-MUL,271821/19(271840),0.129756757259406,-0.320168227054289,0.578323756562147,0.57132736349644
"20001#1037",CAT-MUL,271814/26(271840),0.0337989971350631,-0.350478721406712,0.417224567207318,0.862981507752818
"20001#1058",CAT-MUL,271812/28(271840),-0.222849328463114,-0.595484760002056,0.148541835938426,0.240306156348017
"20001#1018",CAT-MUL,271725/115(271840),0.202837272833461,0.0199867459462966,0.385559944902297,0.0296324261035105
"20001#1005",CAT-MUL,271828/12(271840),0.208560551215327,-0.358658251430766,0.773860402872528,0.470231633334782
"20001#1028",CAT-MUL,271797/43(271840),-0.191412620894733,-0.491224695666483,0.107928027032772,0.21045891769644
"20001#1066",CAT-MUL,271828/12(271840),-0.22909604685771,-0.797264256453793,0.336237182336902,0.428112621292006
"20001#1070",CAT-MUL,271764/76(271840),-0.166011625497169,-0.391564144123449,0.0592841538821476,0.148902002863301
"20001#1026",CAT-MUL,271783/57(271840),-0.0341796098868545,-0.294078351712237,0.225464237439133,0.796477501787575
"20001#1027",CAT-MUL,271795/45(271840),-0.0244767880225327,-0.317179438700141,0.267813837525946,0.869720828832681
"20001#1036",CAT-MUL,271820/20(271840),0.321286906440141,-0.117839769202206,0.759965686707186,0.151332843737238
"20001#1012",CAT-MUL,271827/13(271840),0.238571393213499,-0.303436741414186,0.778820742730604,0.387247844692369
"20001#1004",CAT-MUL,271775/65(271840),-0.0188481351313697,-0.26219508739536,0.224409281498329,0.879304250639501
"20001#1077",CAT-MUL,271820/20(271840),-0.254522352282288,-0.695451002721138,0.185170614196265,0.257181727717272
"20001#1051",CAT-MUL,271826/14(271840),0.361054735768584,-0.163694413063904,0.884919520281362,0.17705853989967
"20001#1024",CAT-MUL,271730/110(271840),0.130737652184498,-0.0563470247664928,0.317657611789078,0.170603527687095
"20001#1033",CAT-MUL,271816/24(271840),-0.158207987486796,-0.559420356648608,0.242176000963948,0.439104198940465
"20001#1031",CAT-MUL,271821/19(271840),0.0540619662237863,-0.396629530758915,0.503711981531519,0.813941289267382
"20001#1008",CAT-MUL,271829/11(271840),0.399650929054467,-0.19110520443751,0.988306325417963,0.18407106293858
"20001#1078",CAT-MUL,271817/23(271840),0.0758437362961264,-0.333348916153782,0.484217039851317,0.716113810036283
"20001#1071",CAT-MUL,271819/21(271840),-0.202703241330112,-0.6316257185926,0.225314327770185,0.353793281898009
"20001#1025",CAT-MUL,271820/20(271840),0.192544840274582,-0.246535529302402,0.631032919614395,0.389740267541349
"20001#1085",CAT-MUL,271826/14(271840),0.273293764334609,-0.251983544725619,0.796789797529906,0.307041214398159
"20003#1140852976",CAT-MUL,263575/8265(271840),-0.00189160271081443,-0.0238045914212647,0.0200187775383521,0.865637653794935
"20003#1140922174",CAT-MUL,268502/3338(271840),0.0540585045546616,0.0196609379242159,0.0884543180984159,0.00206758655545025
"20003#1140879406",CAT-MUL,267247/4593(271840),0.0114043695255908,-0.017799716019502,0.0406049470791814,0.444017550104054
"20003#1141146234",CAT-MUL,263091/8749(271840),0.038446170842958,0.0169315202623349,0.0599606420252716,0.000461013193777946
"20003#1140909674",CAT-MUL,255902/15938(271840),-0.0124819474050553,-0.0285573492121642,0.00359196297467512,0.128030328694713
"20003#1140864566",CAT-MUL,271780/60(271840),-0.00221351749971085,-0.255261541725403,0.250430126614292,0.986309710267765
"20003#1140866738",CAT-MUL,260416/11424(271840),0.0290219290364285,0.010083201743153,0.0479605330241709,0.00266790902836762
"20003#1140860696",CAT-MUL,263865/7975(271840),0.040548494386802,0.0181510738001801,0.0629455283789216,0.000387603934892888
"20003#1140861958",CAT-MUL,239023/32817(271840),0.0225007031418152,0.0105687143763659,0.0344331363382568,0.000218992218108536
"20003#2038460150",CAT-MUL,220395/51445(271840),0.0253069438693755,0.0156496254723254,0.0349647053782648,2.80681647501492e-07
"20003#1140868226",CAT-MUL,234020/37820(271840),0.0220215880282898,0.0107830550809623,0.0332605682358652,0.000122810075182201
"20003#1140852948",CAT-MUL,270683/1157(271840),0.00815555911679983,-0.0496659995827542,0.0659562443310047,0.782161117680564
"20003#1140879616",CAT-MUL,266298/5542(271840),0.0347191336040645,0.00807103284132478,0.0613648742849226,0.0106581495185628
"20003#1141166006",CAT-MUL,271373/467(271840),0.0167715212480687,-0.0742175405202883,0.107735955639836,0.717861015825427
"20003#1140862168",CAT-MUL,271194/646(271840),-0.0412210195254174,-0.118520782040657,0.036046018268675,0.295837973995392
"20003#1141194794",CAT-MUL,255383/16457(271840),0.0082418089257452,-0.00774122958125615,0.0242242695344095,0.312159380811343
"20003#1140883504",CAT-MUL,268721/3119(271840),0.0239468531251014,-0.0113520411197105,0.0592398842321707,0.183593972811041
"20003#1140871310",CAT-MUL,237922/33918(271840),-0.000682963674639499,-0.0121541301877462,0.0107876571833667,0.907102205040822
"20003#1140921600",CAT-MUL,266973/4867(271840),-0.00322345258058576,-0.0315987881360006,0.0251470755068819,0.823790182832064
"20003#1140875628",CAT-MUL,271830/10(271840),0.045559637513526,-0.577735654704203,0.66585893643715,0.88576879464285
"20003#1140879802",CAT-MUL,260046/11794(271840),0.0247851657368909,0.00610125861607806,0.0434688482789573,0.00931928059554747
"20003#1141164828",CAT-MUL,269875/1965(271840),0.0539337574897701,0.00934423549227008,0.0985174457202326,0.0177463650575059
"20003#1140883066",CAT-MUL,268894/2946(271840),0.0091113279932208,-0.0272538104929397,0.0454715109800191,0.623338282314494
"20003#1140865634",CAT-MUL,254967/16873(271840),0.0233412793288632,0.00766351059428833,0.0390188620206235,0.00352226955580619
"20003#1140884600",CAT-MUL,264472/7368(271840),0.0238943024967932,0.000610295794337884,0.0471772302519432,0.0442840256099604
"20003#1140909786",CAT-MUL,269228/2612(271840),0.0164925425276576,-0.0220653368007158,0.0550440641984494,0.401781846263817
"20003#1140865752",CAT-MUL,271596/244(271840),0.0978337767441259,-0.0279072599218696,0.223517667613788,0.127167089607155
"20003#1140879428",CAT-MUL,270396/1444(271840),-0.0278302156006104,-0.0796084644854743,0.0239323808813088,0.292048997132436
"20003#1140881856",CAT-MUL,268417/3423(271840),0.0489538599439417,0.015214950316155,0.0826891518240504,0.00445497473825669
"20003#1187",CAT-MUL,268402/3438(271840),-0.0103669456470152,-0.044096621522688,0.0233568126067259,0.546853098880061
"20003#1141180342",CAT-MUL,271659/181(271840),0.0344005865762655,-0.111367440684479,0.180045208688415,0.643550404647043
"20003#1140868550",CAT-MUL,270861/979(271840),-0.00246198914618014,-0.0657901066155512,0.0608568619572368,0.939257125664741
"20003#1140864184",CAT-MUL,271686/154(271840),-0.0930060007051351,-0.251357787787893,0.0652254438765336,0.249452701341928
"20003#1140923346",CAT-MUL,264934/6906(271840),0.0113455084862395,-0.0126148859300565,0.0353037329080181,0.353308471795428
"20003#1140926994",CAT-MUL,271828/12(271840),-0.150980921975659,-0.722887328004924,0.420637042982066,0.604728592281049
"20003#1140869164",CAT-MUL,271769/71(271840),-0.020797279689573,-0.253435986186478,0.211218015792018,0.860711239890419
"20003#1140884412",CAT-MUL,271145/695(271840),-0.009512608614262,-0.0839678499997968,0.0649073723733441,0.802218051821406
"20003#1140868372",CAT-MUL,271516/324(271840),-0.0308762895137602,-0.140003377443439,0.0781603903735147,0.579041474279182
"20003#1140884516",CAT-MUL,268618/3222(271840),0.0195630507362672,-0.0152850415833749,0.054405250309916,0.271162143527547
"20003#1140911736",CAT-MUL,271454/386(271840),0.102606055576427,0.00273818065538394,0.202423355257626,0.0439804253635863
"20003#1203",CAT-MUL,271587/253(271840),-0.0499787442297133,-0.17333065361004,0.0732953523236314,0.426973178010272
"20003#1141146606",CAT-MUL,271397/443(271840),0.0598902477894065,-0.0334602658297356,0.153201901184551,0.208496571613875
"20003#1140871050",CAT-MUL,269143/2697(271840),0.0105801651986508,-0.0275680696708693,0.048722339450215,0.58668984323464
"20003#1141176832",CAT-MUL,268450/3390(271840),0.0189371835640824,-0.0149732438357158,0.0528428628469674,0.273681209295471
"20003#99999",CAT-MUL,262479/9361(271840),0.0135193982015912,-0.00715242343240792,0.034189688514835,0.199885626278498
"20003#1140888266",CAT-MUL,268815/3025(271840),0.0221900642615871,-0.0138704862184611,0.0582470619540683,0.227762430206415
"20003#1140862382",CAT-MUL,270179/1661(271840),-0.00627725672688486,-0.0545292860973966,0.0419612528643728,0.798711746216992
"20003#1141171932",CAT-MUL,271701/139(271840),-0.0167288785447937,-0.183113290058899,0.14950550928153,0.843702497131739
"20003#1140879778",CAT-MUL,268533/3307(271840),0.0196659631375422,-0.0148296233145788,0.0541583458837819,0.263808085673221
"20003#1140923348",CAT-MUL,271603/237(271840),0.110617921548729,-0.0168282957234898,0.237995583300542,0.0888239639590121
"20003#1140865350",CAT-MUL,271444/396(271840),0.103844480138555,0.00519518480974657,0.202453379307755,0.0390548219228569
"20003#1141188442",CAT-MUL,253679/18161(271840),0.000644434970598481,-0.014534130668877,0.0158220532152852,0.933679030305024
"20003#1140865762",CAT-MUL,271778/62(271840),-0.257203878488519,-0.507122253697382,-0.00750402131290199,0.0435926928944332
"20003#1140862772",CAT-MUL,269886/1954(271840),-0.0280266177630875,-0.0725459447731736,0.0164808125680515,0.217187519591588
"20003#1141163146",CAT-MUL,271796/44(271840),-0.0162193016917156,-0.312249362920243,0.279358733252978,0.914419362438493
"20003#1140860806",CAT-MUL,258190/13650(271840),0.022591732458754,0.0051844220523953,0.0399988021758091,0.0109673033429069
"20003#1140911732",CAT-MUL,268136/3704(271840),-0.00822066384297852,-0.0407355717215118,0.024289092168797,0.620186574113687
"20003#1140923022",CAT-MUL,271336/504(271840),-0.106026737334417,-0.193727688137873,-0.0183706139912527,0.0177814742535192
"20003#1141167594",CAT-MUL,270768/1072(271840),-0.000714024833367732,-0.0607664777764166,0.059319017295472,0.981403905904862
"20003#1141156836",CAT-MUL,268755/3085(271840),-0.00411450191599744,-0.039731572433712,0.0314976064505492,0.820864767227342
"20003#1140875408",CAT-MUL,268655/3185(271840),0.0188365748440693,-0.0164193025215284,0.0540896194153804,0.294996416570273
"20003#1140923350",CAT-MUL,269972/1868(271840),0.0302519995431677,-0.0153320432920717,0.0758283586669149,0.193308621598744
"20003#1141191044",CAT-MUL,260391/11449(271840),0.0208204350046151,0.00190026138674127,0.0397397920617657,0.0310156441465543
"20003#1140872112",CAT-MUL,271633/207(271840),-0.0460588465670097,-0.1825485791641,0.0903438909187181,0.508219897555171
"20003#1140864752",CAT-MUL,261490/10350(271840),0.0231956427748082,0.00347868009649701,0.0429117541092954,0.0211196840848301
"20003#1140874790",CAT-MUL,271405/435(271840),-0.0681109912249193,-0.162281815221671,0.0260304576913385,0.156229826752848
"20003#1140872200",CAT-MUL,271315/525(271840),-0.00873369329293782,-0.094403050416577,0.0768964620233391,0.841591759219633
"20003#1140884488",CAT-MUL,265733/6107(271840),-0.00889384087930143,-0.0342951468476706,0.0165041969046396,0.492495462430879
"20003#1141156644",CAT-MUL,271303/537(271840),0.017102209888406,-0.0675913713749439,0.10174032092053,0.692170649228995
"20003#1140926592",CAT-MUL,271426/414(271840),0.0165677043032944,-0.0799572825696228,0.113045351804767,0.736496530070189
"20003#1140865354",CAT-MUL,270269/1571(271840),0.0243661623190867,-0.0253073783083108,0.0740290829098259,0.336283523129049
"20003#1141177526",CAT-MUL,270870/970(271840),-0.0241092975068761,-0.0872472216651879,0.0390091245229171,0.454138594450386
"20003#1140861998",CAT-MUL,263807/8033(271840),0.0206539310607659,-0.00155887996285185,0.0428648590382742,0.0683776374870635
"20003#1140861138",CAT-MUL,271580/260(271840),0.100942149192795,-0.0208171623758527,0.222637096341667,0.104089535159663
"20003#1140868472",CAT-MUL,271106/734(271840),-0.00130763694060694,-0.0738998595066906,0.071253646818447,0.971829637076249
"20003#1140926780",CAT-MUL,271627/213(271840),-0.00787983893109665,-0.142569960396322,0.126729649210334,0.908683594608774
"20003#1141188836",CAT-MUL,271772/68(271840),0.126305771358941,-0.111653900315991,0.363951595102335,0.297872166703286
"20003#1141157418",CAT-MUL,271759/81(271840),-0.0143729486805022,-0.232418870782478,0.203464309111268,0.89715531433985
"20003#1140863268",CAT-MUL,271785/55(271840),0.0805772124229134,-0.183939924957469,0.344662728703815,0.550129906198947
