varName,varType,n,beta,lower,upper,pvalue
"4979-4",CAT-SIN,41251/69829,-999,-999,-999,0.198858634049548
"4979-4#5",CAT-SIN,41251#3587,0.0194551372778867,-0.0146008669827928,0.0535111415385663,0.262855889671287
"4979-4#1",CAT-SIN,41251#8271,0.0167622613687741,-0.00682136232469946,0.0403458850622476,0.163601317370059
"4979-4#3",CAT-SIN,41251#10340,0.0229024527923639,0.00133442372182753,0.0444704818629002,0.0374130561399713
"4979-4#2",CAT-SIN,41251#6380,0.00531509722663536,-0.0210909214886087,0.0317211159418794,0.693205644424391
"4990-69",CAT-SIN,51415/67440,-999,-999,-999,0.717559735685855
"4990-69#70",CAT-SIN,51415#14851,0.0036151463780523,-0.0146630618194769,0.0218933545755815,0.698274685737569
"4990-69#68",CAT-SIN,51415#375,-0.0343788182568224,-0.135933701006683,0.0671760644930381,0.507013021598479
"4990-69#71",CAT-SIN,51415#369,0.0194182389709607,-0.0829503243661781,0.121786802308099,0.710053276711526
"4990-69#72",CAT-SIN,51415#430,0.0569127627860997,-0.0378916016428649,0.151717127215064,0.239354565416486
"5001-3",CAT-SIN,54827/62891,-999,-999,-999,0.090163159792642
"5001-3#1",CAT-SIN,54827#5638,-0.00461557040810142,-0.0320392477081935,0.0228081068919907,0.741495345048613
"5001-3#2",CAT-SIN,54827#1096,0.0255016306072788,-0.0342890980197445,0.0852923592343021,0.403180981462229
"5001-3#4",CAT-SIN,54827#586,0.0250661120603264,-0.056227614075743,0.106359838196396,0.545620672287841
"5001-3#5",CAT-SIN,54827#744,-0.096336797153516,-0.1688107930348,-0.0238628012722317,0.00917932876868877
"5012-26",CAT-SIN,35775/47120,-999,-999,-999,0.0426494275368749
"5012-26#25",CAT-SIN,35775#5462,0.0368503241165852,0.00824709748270746,0.065453550750463,0.0115673420420241
"5012-26#27",CAT-SIN,35775#2351,-0.00193331315962688,-0.043717931991489,0.0398513056722353,0.927743155923492
"5012-26#28",CAT-SIN,35775#1334,-0.0133464713891201,-0.0680809146820771,0.0413879719038369,0.632708210830173
"5012-26#29",CAT-SIN,35775#2198,0.0418525512420581,-0.00129682381165091,0.0850019262957671,0.0572943296851804
