description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0320235094900568	-0.0348720530534098	-0.0291749659267039	0.00145336525865878	1.68635035972305e-107	1.11906209871222e-103	-22.0242616792285	271066	-0.0422646425273852
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271211	-0.0245714009446589	-0.0272134934814548	-0.0219293084078629	0.00134803116671349	3.44630443498645e-74	1.1434838115285e-70	-18.2221062597115	271211	-0.034968808295389
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.026421513380587	-0.0293758013263107	-0.0234672254348633	0.00150731746553852	9.4097342166794e-69	2.08143320872948e-65	-17.5239286551901	271066	-0.033639512109795
Heel bone mineral density (BMD)	3148	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156637	-0.0321217673757562	-0.0369251780078377	-0.0273183567436748	0.00245076474362291	3.15152631029603e-39	5.22838214878111e-36	-13.1033226937976	156637	-0.0330901802552959
Heel bone mineral density (BMD) T-score, automated	78	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.031878900057177	-0.0366834408107616	-0.0270743593035924	0.00245134134682178	1.20361735834019e-38	1.33871895268584e-35	-13.0012487329659	156711	-0.0328249444747341
Heel quantitative ultrasound index (QUI), direct entry	3147	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0318778555773596	-0.0366823981487627	-0.0270733130059566	0.00245134227429722	1.21041496626206e-38	1.33871895268584e-35	-13.00081807364	156711	-0.0328238583377104
Speed of sound through heel	3146	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0315336748791836	-0.036383846310556	-0.0266835034478111	0.00247462273267774	3.56217496911338e-37	3.37694187071948e-34	-12.7395997713685	156711	-0.0321650358788805
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0129616490218018	-0.0150406891680102	-0.0108826088755934	0.00106075426008213	2.53869014982048e-34	2.10584347927609e-31	-12.2164705739329	158339	-0.0306866845702316
Heel Broadband ultrasound attenuation, direct entry	3144	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156699	-0.0293557852624689	-0.0340726761645523	-0.0246388943603855	0.00240662121308842	3.30076462898205e-34	2.4337637864361e-31	-12.1951054457812	156699	-0.0307928029535734
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0186623576450889	-0.0216846999568816	-0.0156400153332962	0.0015420397189094	1.05266894149035e-33	6.98551109572996e-31	-12.1002680432576	203826	-0.0267923864945004
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0170804353814672	-0.0199282506520655	-0.0142326201108688	0.0014529936738948	6.7559266005365e-32	4.07566626556002e-29	-11.753742201303	246968	-0.0236448270076214
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0172875741697102	-0.0201934701923269	-0.0143816781470935	0.00148262725516287	2.07581690664372e-31	1.14792674937398e-28	-11.6585356404954	246968	-0.0234534071772542
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0182259942921826	-0.0213373829667229	-0.0151146056176423	0.00158747237147342	1.6755572324198e-30	8.55307522641369e-28	-11.4793394388957	203826	-0.0254184400647414
Heel bone mineral density (BMD) (left)	4105	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86061	-0.0365558236463296	-0.0429990349082153	-0.0301126123844439	0.00328741309162257	1.04788948802534e-28	4.96699617324011e-26	-11.1160682117232	86061	-0.0378653076991578
Heel quantitative ultrasound index (QUI), direct entry (left)	4104	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86117	-0.0362390421741802	-0.0426827525861937	-0.0297953317621667	0.0032876677647348	3.09624269823117e-28	1.28756621714189e-25	-11.0189574580731	86117	-0.037522792638391
Heel bone mineral density (BMD) T-score, automated (left)	4106	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86117	-0.0362382578595273	-0.0426819680908498	-0.0297945476282048	0.00328766767254382	3.10443934211425e-28	1.28756621714189e-25	-11.0187194537138	86117	-0.0375219833045903
Speed of sound through heel (left)	4103	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86117	-0.0365150401820806	-0.0430266676565737	-0.0300034127075875	0.00332231996396668	4.40882545809988e-28	1.72099798470299e-25	-10.9870962914922	86117	-0.0374144480885086
Heel bone mineral density (BMD) (right)	4124	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86057	-0.0355299401866782	-0.0419535575563987	-0.0291063228169578	0.00327741602416632	2.29231601773792e-27	8.45100505206047e-25	-10.8372609758413	86057	-0.0369177582054377
Heel bone mineral density (BMD) T-score, automated (right)	4125	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86102	-0.035124107613737	-0.0415486963707257	-0.0286995188567483	0.00327791163902247	8.94661925343722e-27	2.97322316355615e-24	-10.7119408702335	86102	-0.0364818951637924
Heel quantitative ultrasound index (QUI), direct entry (right)	4123	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86102	-0.0351236374378314	-0.0415482287314121	-0.0286990461442507	0.00327791293322584	8.9608895827491e-27	2.97322316355615e-24	-10.7117933478367	86102	-0.0364813934121578
Speed of sound through heel (right)	4122	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86102	-0.0351485175168626	-0.0416475927761297	-0.0286494422575955	0.00331591565484416	3.08994301616441e-26	9.76421993107954e-24	-10.596605037181	86102	-0.0360896077422101
Heel broadband ultrasound attenuation (left)	4101	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86112	-0.0321846543588933	-0.0385008297986021	-0.0258684789191846	0.0032225977056364	1.78380975341436e-23	5.38061887438986e-21	-9.98439776901647	86112	-0.0340050828572878
Heel broadband ultrasound attenuation (right)	4120	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	86098	-0.0320015252297042	-0.0382886205068645	-0.0257144299525439	0.00320776061537462	1.99063430549096e-23	5.74341271792957e-21	-9.97351166640141	86098	-0.0339708079901545
Diastolic blood pressure, automated reading	4079	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256017	0.0185225833221589	0.0147078690748257	0.022337297569492	0.00194631854331158	1.80109073759442e-21	4.98001588944857e-19	9.51592170751656	256017	0.0188036155332537
Haematocrit percentage	30030	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263830	0.0144933847972558	0.0113542078509926	0.0176325617435189	0.0016016503216511	1.45127961512714e-19	3.85227661039348e-17	9.0483627381452	263830	0.0176133588697563
Mean time to correctly identify matches	20023	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Reaction time	INTEGER	LINEAR	270030	0.0160247742465231	0.0124896575923341	0.019559890900712	0.00180366408876566	6.45277281624028e-19	1.6469461695604e-16	8.88394926320632	270030	0.0170937839502358
Haemoglobin concentration	30020	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263830	0.0135121219402714	0.0104516830529247	0.0165725608276181	0.0015614771044198	5.0233176547918e-18	1.23461985026661e-15	8.65284056964959	263830	0.0168436668839719
Hair/balding pattern	2395-1	Maternity and sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors	CAT-SIN	MULTINOMIAL-LOGISTIC	39452/123519	-999	-999	-999	-999	1.59970243980725e-17	3.79129478234318e-15	-8.51969775369615	123519	-0.024234454612419
White blood cell (leukocyte) count	30000	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263827	0.0163969773987858	0.0125937459394715	0.0202002088581001	0.00194045987034135	2.92537424251039e-17	6.69406326665481e-15	8.44950621674822	263827	0.0164480569779993
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.0311241155768928	-0.0383969533682635	-0.0238512777855222	0.00371069971118749	4.93834384625384e-17	1.09236165879135e-14	-8.38815415792076	267453	-0.0162176218867283
High light scatter reticulocyte count	30300	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259553	0.015690978631858	0.011881382538015	0.019500574725701	0.0019437071925263	6.90255960926189e-16	1.47759308280845e-13	8.07223016659806	259553	0.0158426444229572
Education score (England)	26414	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0165869528397673	0.0125357637689549	0.0206381419105797	0.00206697118047457	1.02160199238287e-15	2.11854713170398e-13	8.02423544378128	230475	0.0167121751518478
Average total household income before tax	738	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	CAT-SIN	ORDERED-LOGISTIC	231740	-0.0297977505848422	-0.037131525323133	-0.0224639758465513	0.00374179056153007	1.66443806786817e-15	3.34703364193127e-13	-7.96409020682449	231740	-0.016541622982859
Duration to first press of snap-button in each round	404	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Reaction time	INTEGER	LINEAR	269992	0.0143232667012707	0.0107830507118036	0.0178634826907377	0.00180626583824592	2.20325620326657e-15	4.30023769555205e-13	7.92933322700111	269992	0.0152585149396222
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0340926525513881	-0.0425241514492473	-0.025662045851363	0.00430163659406256	2.27162226167047e-15	4.30699580812721e-13	-7.92553714823078	271436	-0.0152105996985832
Neutrophill count	30140	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263361	0.0152728478808389	0.0114635979949488	0.0190820977667291	0.00194353055256986	3.90723848561649e-15	7.20234294181973e-13	7.85786892553984	263361	0.0153101622250632
Reticulocyte count	30250	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259553	0.0149728260383003	0.0111815795291288	0.0187640725474718	0.00193434498749792	9.93411697445274e-15	1.7816973038505e-12	7.74009677656746	259553	0.0151909495642623
Peak expiratory flow (PEF)	3064	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	INTEGER	LINEAR	246968	-0.0125690001352477	-0.0157692244664514	-0.00936877580404408	0.00163279751895781	1.38863020522316e-14	2.42498685312129e-12	-7.69739969016398	246968	-0.0154872163149632
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.0314714535969012	0.023427373879196	0.0395163771410527	0.00410441298635197	1.75053517868113e-14	2.97860293480205e-12	7.66773981944543	271879	0.0147039555040256
Number of self-reported non-cancer illnesses	135	Medical history and conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions	INTEGER	ORDERED-LOGISTIC	271840	0.0275720265076275	0.0203756746020308	0.0347683784132242	0.00367167558300081	5.89889238984732e-14	9.7862624747567e-12	7.51030686367992	271840	0.0144031521025665
