varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
50	CONTINUOUS	271211	-0.0305500219097762	-0.0331912739956342	-0.0279087698239182	1.13065594055448e-113	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20015	CONTINUOUS	271066	-0.0309840092288492	-0.0338326857937094	-0.028135332663989	9.37610939701943e-101	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271066	-0.0271967269188553	-0.0301508841399233	-0.0242425696977873	9.7007140954935e-73	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20153	CONTINUOUS	158339	-0.0162270400374964	-0.0183097181563326	-0.0141443619186603	1.30037567799817e-52	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
1697	CAT-SIN	267453	-0.049559485021327	-0.0568379770757776	-0.0422809929668763	1.22462664653257e-40	ORDERED-LOGISTIC	Comparative height size at age 10		100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	100033	UK Biobank Assessment Centre > Touchscreen > Early life factors
3062	CONTINUOUS	246968	-0.01733052987117	-0.0201766594896818	-0.0144844002526582	7.97898503533361e-33	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.0175322802592363	-0.0205548579762209	-0.0145097025422518	6.11164073297133e-30	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
23129	CONTINUOUS	266562	-0.0130886028329219	-0.015451137565663	-0.0107260681001808	1.84370246177762e-27	LINEAR	Trunk fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23130	CONTINUOUS	266533	-0.0130050854251354	-0.0153592057888046	-0.0106509650614662	2.57937021006446e-27	LINEAR	Trunk predicted mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23101	CONTINUOUS	266754	-0.0120059101500427	-0.0143675152956751	-0.00964430500441031	2.20929431809879e-23	LINEAR	Whole body fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
