varName,varType,n,beta,lower,upper,pvalue
"5992",INTEGER,9143/31127(40270),-0.019243730821106,-0.0430550954677224,0.00456509685641993,0.113166800710884
"6034",CAT-SIN,35885/4385(40270),-0.0100973321711176,-0.0417837991501077,0.0215827854013012,0.532201234479159
"6138#100",CAT-MUL,218063/51145(269208),0.0236069493390456,0.0135844546542335,0.0336301323975144,3.90539728933231e-06
"6138#2",CAT-MUL,199436/69772(269208),-0.0187079159159715,-0.0274614864349037,-0.00995498313180192,2.80241133213972e-05
"6138#1",CAT-MUL,189384/79824(269208),-0.0210765619531282,-0.029433568745237,-0.0127202484866208,7.68115424391582e-07
"6138#6",CAT-MUL,193895/75313(269208),-0.00540411882898622,-0.0138330193104307,0.00302456059069386,0.208885373506968
"6138#3",CAT-MUL,143783/125425(269208),-0.0126344376357885,-0.0203670377184138,-0.00490222409458489,0.00136234156471013
"6138#4",CAT-MUL,234171/35037(269208),0.00138453836782858,-0.0105498941414764,0.0133189801220449,0.820125622151289
"6138#5",CAT-MUL,219380/49828(269208),0.00788157376788689,-0.00199860003241396,0.0177618917188305,0.117936942666225
"6139#1",CAT-MUL,83119/188143(271262),0.000254968734911494,-0.00794650345485654,0.00845649248731633,0.951413573073201
"6139#100",CAT-MUL,222456/48806(271262),-0.00262541563701596,-0.0124425142246801,0.00719147259232899,0.600162725201313
"6139#2",CAT-MUL,161139/110123(271262),0.00581736385125133,-0.00187678884622732,0.0135116671813532,0.138374229960749
"6139#3",CAT-MUL,247715/23547(271262),-0.00435653407420294,-0.0177589810884098,0.00904550540387764,0.524053587416594
"6140#1",CAT-MUL,7374/82926(90300),-0.0169376451341939,-0.0407852825288446,0.00690955041492478,0.163897681426481
"6140#3",CAT-MUL,88036/2264(90300),-0.0183980070824434,-0.0601496713934781,0.0233480624115522,0.387726310731011
"6140#2",CAT-MUL,87562/2738(90300),0.0410803331685693,0.00300274666153898,0.0791593509749873,0.0344713136614262
"6140#100",CAT-MUL,88488/1812(90300),0.0275016511541304,-0.0190554809623557,0.0740568680854173,0.246945491405508
"6140#5",CAT-MUL,89732/568(90300),0.000973468365048275,-0.0815879480769873,0.0835246216712974,0.981561604590402
"6140#6",CAT-MUL,89951/349(90300),0.0437834830839766,-0.061350363018235,0.148897744824682,0.414307293423673
