varName,varType,n,beta,lower,upper,pvalue
"1647-1",CAT-SIN,227049/271838,-999,-999,-999,0.600927030765872
"1647-1#3",CAT-SIN,227049#24641,-0.00963533127550149,-0.0265260667344551,0.00725540418345212,0.263540190618165
"1647-1#6",CAT-SIN,227049#4497,0.0189735495560227,-0.0106629746107921,0.0486100737228375,0.209556723573041
"1647-1#2",CAT-SIN,227049#14122,0.00253683427983728,-0.0196626109079457,0.0247362794676202,0.82277734900777
"1647-1#4",CAT-SIN,227049#1378,0.00682314725827852,-0.0469413050948566,0.0605875996114137,0.803565459297072
"1647-1#5",CAT-SIN,227049#151,-0.058787223885385,-0.218859356409917,0.101284908639148,0.471644603518938
"1747-3",CAT-SIN,111964/271299,-999,-999,-999,2.02772660019941e-08
"1747-3#2",CAT-SIN,111964#12268,-0.0579242047962206,-0.0766058910066284,-0.0392425185858127,1.22421206505408e-09
"1747-3#4",CAT-SIN,111964#100430,-0.00967328830288816,-0.018211248453572,-0.0011353281522043,0.0263788409630739
"1747-3#1",CAT-SIN,111964#31371,-0.0176229081369457,-0.0301567870942178,-0.00508902917967355,0.00585573309335596
"1747-3#5",CAT-SIN,111964#11668,0.00944609140729439,-0.00990342667202368,0.0287956094866125,0.338658296616966
"1747-3#6",CAT-SIN,111964#3598,-0.0141427351774103,-0.0473866971177991,0.0191012267629785,0.404386301502863
"2247-0",CAT-SIN,191977/261182,-999,-999,-999,0.511314046626467
"2247-0#1",CAT-SIN,191977#69127,0.00518928086978036,-0.00366254326814811,0.0140411050077088,0.250553293940428
"2247-0#99",CAT-SIN,191977#78,-0.0178193788860331,-0.239803674226117,0.204164916454051,0.874982819638309
"2395-1",CAT-SIN,39452/123519,-999,-999,-999,0.472385074786362
"2395-1#4",CAT-SIN,39452#22658,-0.00408037378808693,-0.0205132122267721,0.0123524646505983,0.626491510275876
"2395-1#2",CAT-SIN,39452#28223,0.00633482381427648,-0.0089444333873467,0.0216140810158997,0.416443598288478
"2395-1#3",CAT-SIN,39452#33186,-0.00594415630428057,-0.0206750960770701,0.00878678346850898,0.42901692717965
"2654-7",CAT-SIN,49097/145395,-999,-999,-999,0.0792052148515504
"2654-7#8",CAT-SIN,49097#14854,0.00547616057303268,-0.0129192335264191,0.0238715546724845,0.559579987051061
"2654-7#6",CAT-SIN,49097#35049,-0.00824741867962839,-0.0219619343228587,0.00546709696360193,0.238536709954889
"2654-7#2",CAT-SIN,49097#22261,0.00503243789533081,-0.0108864807868481,0.0209513565775098,0.535519718313074
"2654-7#4",CAT-SIN,49097#18725,0.0152223836915438,-0.00167057680355263,0.0321153441866403,0.0773724580329005
"2654-7#9",CAT-SIN,49097#5235,-0.0215947963482541,-0.0501638477442799,0.00697425504777169,0.138473632349179
"2654-7#5",CAT-SIN,49097#174,-0.0851141546824223,-0.233625368873874,0.06339705950903,0.261315733270861
"2664-5",CAT-SIN,52819/101698,-999,-999,-999,0.107430515339657
"2664-5#1",CAT-SIN,52819#7693,0.0140023494048546,-0.00998017266394307,0.0379848714736523,0.252483676616278
"2664-5#3",CAT-SIN,52819#33079,0.00649729373430646,-0.00736224748189304,0.020356834950506,0.358188293135961
"2664-5#4",CAT-SIN,52819#5716,0.0329956858629319,0.00551248211153438,0.0604788896143294,0.0186183020606894
"2664-5#2",CAT-SIN,52819#2391,-0.0171854019466029,-0.0585319076336607,0.024161103740455,0.415274924494316
"2877-1",CAT-SIN,59885/67528,-999,-999,-999,0.743833595699324
"2877-1#2",CAT-SIN,59885#4441,0.0116837722204752,-0.0192842203993536,0.042651764840304,0.459624173652978
"2877-1#3",CAT-SIN,59885#3202,0.00519196704087325,-0.03167116325184,0.0420550973335865,0.78250963627461
"3446-1",CAT-SIN,15336/22226,-999,-999,-999,0.236848213391023
"3446-1#2",CAT-SIN,15336#5289,0.0244201309791626,-0.00801169767477187,0.056851959633097,0.140000203175063
"3446-1#3",CAT-SIN,15336#1601,0.0314573653030782,-0.0235050471623173,0.0864197777684736,0.261959334769542
"3859-5",CAT-SIN,4325/9566,-999,-999,-999,0.247235605295714
"3859-5#1",CAT-SIN,4325#2560,0.0231676784618434,-0.0260146327856177,0.0723499897093046,0.355874326165996
"3859-5#2",CAT-SIN,4325#582,0.0383603195604678,-0.0494366434445579,0.126157282565493,0.391804744563291
"3859-5#3",CAT-SIN,4325#1901,-0.0376660936416832,-0.0921904311317712,0.0168582438484047,0.175746711201613
"3859-5#4",CAT-SIN,4325#198,0.0542882617565318,-0.0891484322442187,0.197724955757282,0.45820134624166
"4092-1",CAT-SIN,86120/90310,-999,-999,-999,0.887067676405822
"4092-1#6",CAT-SIN,86120#1799,0.00504782465327913,-0.0416362834450287,0.051731932751587,0.83216513005291
"4092-1#2",CAT-SIN,86120#702,-0.00368899294894604,-0.07912337497555,0.0717453890776579,0.923640676604353
"4092-1#7",CAT-SIN,86120#1689,0.0189574036270673,-0.029217467766917,0.0671322750210516,0.440546968386805
"4095-1",CAT-SIN,86105/90310,-999,-999,-999,0.988104570151015
"4095-1#6",CAT-SIN,86105#1740,0.00439618041389581,-0.0430650145821641,0.0518573754099557,0.855939606096312
"4095-1#7",CAT-SIN,86105#1733,-0.00232042566578162,-0.0498869694062258,0.0452461180746626,0.923828427784446
"4095-1#2",CAT-SIN,86105#732,0.0107666308610011,-0.0631995289834324,0.0847327907054346,0.775417799849518
"4186-1",CAT-SIN,89385/90455,-999,-999,-999,0.942297729166479
"4186-1#6",CAT-SIN,89385#502,-0.0153026155763147,-0.103113836944328,0.0725086057916985,0.73268397573434
"4186-1#2",CAT-SIN,89385#85,-0.0206105903713417,-0.233236602313016,0.192015421570332,0.849319919336031
"4186-1#7",CAT-SIN,89385#483,-0.0224143429837636,-0.112022410802229,0.0671937248347012,0.623949504457162
