description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271211	-0.0305500219097762	-0.0331912739956342	-0.0279087698239182	0.00134760235733506	1.13065594055448e-113	7.50303282151953e-110	-22.6592594491867	271211	-0.0434693311225039
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0309840092288492	-0.0338326857937094	-0.028135332663989	0.00145343311781757	9.37610939701943e-101	3.11099309793105e-97	-21.3089568185253	271066	-0.0408943038036047
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0271967269188553	-0.0301508841399233	-0.0242425696977873	0.00150725076806003	9.7007140954935e-73	2.14579795792316e-69	-18.0385785607737	271066	-0.0346262834221925
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0162270400374964	-0.0183097181563326	-0.0141443619186603	0.00106261040267273	1.30037567799817e-52	2.15732324979896e-49	-15.2653952193404	158339	-0.0383351789852811
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.049559485021327	-0.0568379770757776	-0.0422809929668763	0.00371358459229989	1.22462664653257e-40	1.62532448527803e-37	-13.3475173395056	267453	-0.0258008361821975
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.01733052987117	-0.0201766594896818	-0.0144844002526582	0.00145213363151655	7.97898503533361e-33	8.82475744907897e-30	-11.9328543483189	246968	-0.0240049381582622
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0175322802592363	-0.0205548579762209	-0.0145097025422518	0.00154215982580612	6.11164073297133e-30	5.79383541485682e-27	-11.3669050216091	203826	-0.0251696375923656
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266562	-0.0130886028329219	-0.015451137565663	-0.0107260681001808	0.0012053970130964	1.84370246177762e-27	1.52935119204454e-24	-10.8571721904143	266562	-0.0210243815786444
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266533	-0.0130050854251354	-0.0153592057888046	-0.0106509650614662	0.00120110388876439	2.57937021006446e-27	1.90185563488753e-24	-10.826459349682	266533	-0.0209660738622484
Whole body fat-free mass	23101	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266754	-0.0120059101500427	-0.0143675152956751	-0.00964430500441031	0.00120492272524416	2.20929431809879e-23	1.46608770949036e-20	-9.96315876797736	266754	-0.019286899545949
