varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271066	-0.0141474997773135	-0.0169980161836923	-0.0112969833709347	2.31876756353282e-22	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
30300	CONTINUOUS	259553	0.0183628438196857	0.0145542117616107	0.0221714758777608	3.4226658108903e-21	LINEAR	High light scatter reticulocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30250	CONTINUOUS	259553	0.017937847104503	0.0141475745533348	0.0217281196556711	1.77630825821951e-20	LINEAR	Reticulocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
2395-1	CAT-SIN	39452/123519	-999	-999	-999	1.79300421204057e-19	MULTINOMIAL-LOGISTIC	Hair/balding pattern		100000	UK Biobank Assessment Centre	100025	Touchscreen	100068	Sex-specific factors	100070	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
30290	CONTINUOUS	259553	0.0176305946692483	0.0137948662269622	0.0214663231115344	2.09591336285454e-19	LINEAR	High light scatter reticulocyte percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30240	CONTINUOUS	259553	0.0171443551909624	0.0133071004331263	0.0209816099487985	2.01854004954074e-18	LINEAR	Reticulocyte percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
3148	CONTINUOUS	156637	-0.0194057177138227	-0.0242028186165522	-0.0146086168110932	2.22886760996316e-15	LINEAR	Heel bone mineral density (BMD)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
78	CONTINUOUS	156711	-0.0192419455916503	-0.0240402890888354	-0.0144436020944651	3.8730650044527e-15	LINEAR	"Heel bone mineral density (BMD) T-score, automated"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3147	CONTINUOUS	156711	-0.0192407371429682	-0.0240390824036217	-0.0144423918823147	3.8884404688166e-15	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
51	CONTINUOUS	271066	-0.011736102887663	-0.0146916520691343	-0.00878055370619176	7.11862799456558e-15	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3146	CONTINUOUS	156711	-0.0189923531795286	-0.0238362063880718	-0.0141484999709855	1.53977637482488e-14	LINEAR	Speed of sound through heel		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
26414	CONTINUOUS	230475	0.015121002307336	0.0110642146163041	0.0191777899983679	2.77168278620981e-13	LINEAR	Education score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
3144	CONTINUOUS	156699	-0.0174919496486376	-0.0222026678364002	-0.0127812314608751	3.40784319205815e-13	LINEAR	"Heel Broadband ultrasound attenuation, direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4105	CONTINUOUS	86061	-0.0239510828889642	-0.0304146593364387	-0.0174875064414896	3.82238383195742e-13	LINEAR	Heel bone mineral density (BMD) (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4104	CONTINUOUS	86117	-0.0235981424706239	-0.0300630801459074	-0.0171332047953403	8.47625069134027e-13	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry (left)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4106	CONTINUOUS	86117	-0.0235954503657477	-0.0300603881010126	-0.0171305126304829	8.52679868638083e-13	LINEAR	"Heel bone mineral density (BMD) T-score, automated (left)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
6138#1	CAT-MUL	189384/79824(269208)	-0.0304235977223557	-0.0387821555945212	-0.0220661493748274	9.72053043589986e-13	LOGISTIC-BINARY	Qualifications: College or University degree		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100063	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education
738	CAT-SIN	231740	-0.0266476209581544	-0.0339772282921808	-0.019318013624128	1.03283684526804e-12	ORDERED-LOGISTIC	Average total household income before tax		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100066	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
4125	CONTINUOUS	86102	-0.0232836636626187	-0.0297271266493445	-0.0168402006758928	1.42662688606589e-12	LINEAR	"Heel bone mineral density (BMD) T-score, automated (right)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4123	CONTINUOUS	86102	-0.0232820445031364	-0.0297255101781229	-0.01683857882815	1.43173535736245e-12	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry (right)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4124	CONTINUOUS	86057	-0.0230713666017584	-0.0295143274233965	-0.0166284057801203	2.25972316763509e-12	LINEAR	Heel bone mineral density (BMD) (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4103	CONTINUOUS	86117	-0.0233776478703899	-0.02991077539323	-0.0168445203475497	2.34158319694519e-12	LINEAR	Speed of sound through heel (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4120	CONTINUOUS	86098	-0.022484618407873	-0.0287897457842544	-0.0161794910314915	2.77871857605961e-12	LINEAR	Heel broadband ultrasound attenuation (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4122	CONTINUOUS	86102	-0.0224528487179141	-0.0289710972908798	-0.0159346001449484	1.47335712951232e-11	LINEAR	Speed of sound through heel (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4101	CONTINUOUS	86112	-0.0215848680747114	-0.0279211923024629	-0.0152485438469599	2.45747445233749e-11	LINEAR	Heel broadband ultrasound attenuation (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
30210	CONTINUOUS	263364	-0.0127630793547333	-0.0165626572232563	-0.00896350148621033	4.59730978635498e-11	LINEAR	Eosinophill percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
26412	CONTINUOUS	230475	0.0133113056784753	0.00929330765554365	0.0173293037014069	8.41806700131846e-11	LINEAR	Employment score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
30260	CONTINUOUS	259553	-0.0123558464269061	-0.0161775341700651	-0.00853415868374711	2.35026181875672e-10	LINEAR	Mean reticulocyte volume		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30280	CONTINUOUS	259553	0.0120761823144723	0.00824321805396335	0.0159091465749812	6.62130503503104e-10	LINEAR	Immature reticulocyte fraction		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
20150	CONTINUOUS	203826	-0.00974491852458204	-0.0128631145511476	-0.00662672249801644	9.06927835534891e-10	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.00938821336471088	-0.012417281588332	-0.00635914514108977	1.24441423305413e-09	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30020	CONTINUOUS	263830	0.00946783376196954	0.00640796389354874	0.0125277036303903	1.32512013607065e-09	LINEAR	Haemoglobin concentration		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
6138#2	CAT-MUL	199436/69772(269208)	-0.0267952734645815	-0.0355499229572327	-0.0180417011518043	1.98248635616816e-09	LOGISTIC-BINARY	Qualifications: A levels/AS levels or equivalent		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100063	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education
26410	CONTINUOUS	230475	0.0122092717567555	0.00816806130184021	0.0162504822116708	3.19549357039906e-09	LINEAR	Index of Multiple Deprivation (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
26413	CONTINUOUS	230475	0.0119910047225408	0.00801575396145769	0.0159662554836239	3.38256526016753e-09	LINEAR	Health score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
30730	CONTINUOUS	259076	0.0106293112685217	0.00704864630055806	0.0142099762364853	5.95404659577697e-09	LINEAR	Gamma glutamyltransferase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
1070	INTEGER	258756	0.0224665617848532	0.0148401525023243	0.0300929710673822	7.71982504285737e-09	ORDERED-LOGISTIC	Time spent watching television (TV)		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100054	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
30000	CONTINUOUS	263827	0.0108323798543654	0.00702982646409741	0.0146349332446333	2.36094209824775e-08	LINEAR	White blood cell (leukocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
3063	CONTINUOUS	246968	-0.00814860574522646	-0.0110572612403515	-0.00523995025010145	4.00348744182791e-08	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30880	CONTINUOUS	258878	0.00912710826386157	0.0058430652040593	0.0124111513236638	5.12111504081078e-08	LINEAR	Urate		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
2139	INTEGER	237025	-0.0107736699590568	-0.0146749981164805	-0.00687234180163308	6.21954085850451e-08	LINEAR	Age first had sexual intercourse		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100056	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors
6138#100	CAT-MUL	218063/51145(269208)	0.0275250077252734	0.0175021444402436	0.0375483789450202	7.3505845184215e-08	LOGISTIC-BINARY	Qualifications		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100063	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education
26411	CONTINUOUS	230475	0.0111097678903323	0.00705471172209314	0.0151648240585715	7.88979827002888e-08	LINEAR	Income score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
20154	CONTINUOUS	158339	-0.0130533687738909	-0.0178698481436448	-0.00823688940413689	1.08674804062938e-07	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted percentage"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	246968	-0.00768314034885799	-0.0105336857408228	-0.00483259495689314	1.27358288214134e-07	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
1100	CAT-SIN	244510	-0.0205600286931061	-0.0282380709238578	-0.0128819864623543	1.53167772960363e-07	ORDERED-LOGISTIC	Drive faster than motorway speed limit		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100054	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
