varName,varType,n,beta,lower,upper,pvalue
"4979-4",CAT-SIN,41251/69829,-999,-999,-999,0.812370252153807
"4979-4#5",CAT-SIN,41251#3587,0.00376295759280479,-0.0303893926049811,0.0379153077905907,0.829025322276101
"4979-4#1",CAT-SIN,41251#8271,0.00515897278388007,-0.0184915492505113,0.0288094948182714,0.668990470405579
"4979-4#3",CAT-SIN,41251#10340,0.0135677855337153,-0.00805600795733369,0.0351915790247642,0.218781885959499
"4979-4#2",CAT-SIN,41251#6380,0.00114202846253721,-0.0253237632178701,0.0276078201429445,0.932599565602467
"4990-69",CAT-SIN,51415/67440,-999,-999,-999,0.877591934181089
"4990-69#70",CAT-SIN,51415#14851,-0.00469050855598236,-0.0230464999137251,0.0136654828017604,0.616490897353907
"4990-69#68",CAT-SIN,51415#375,-0.0483675467429647,-0.150323153845259,0.0535880603593296,0.352472989731018
"4990-69#71",CAT-SIN,51415#369,-0.0191265703804034,-0.121894210394351,0.0836410696335442,0.715277020366999
"4990-69#72",CAT-SIN,51415#430,-0.00580959032353932,-0.100962041710487,0.0893428610634085,0.904747114159724
"5001-3",CAT-SIN,54827/62891,-999,-999,-999,0.250133089779449
"5001-3#1",CAT-SIN,54827#5638,-0.0011241409479623,-0.028585064590871,0.0263367826949464,0.936051843620384
"5001-3#2",CAT-SIN,54827#1096,0.00889132356044699,-0.0510160536060694,0.0687987007269634,0.771132679080262
"5001-3#4",CAT-SIN,54827#586,-0.0134830256679316,-0.0949760368954891,0.068009985559626,0.74572893008737
"5001-3#5",CAT-SIN,54827#744,-0.0842415484954931,-0.156780691133867,-0.0117024058571189,0.0228366773999436
"5012-26",CAT-SIN,35775/47120,-999,-999,-999,0.518283583736304
"5012-26#25",CAT-SIN,35775#5462,-0.00347212051204499,-0.0321510248268761,0.0252067838027861,0.812431442142025
"5012-26#27",CAT-SIN,35775#2351,-0.0169717399854798,-0.0588560214564532,0.0249125414854936,0.427085918415184
"5012-26#28",CAT-SIN,35775#1334,0.00215699468432702,-0.0526507784799577,0.0569647678486118,0.938515651916591
"5012-26#29",CAT-SIN,35775#2198,0.0338394061850121,-0.00937105570816127,0.0770498680781855,0.124806804894409
