description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0141474997773135	-0.0169980161836923	-0.0112969833709347	0.00145437182971897	2.31876756353282e-22	1.53896603191673e-18	-9.72675287597464	271066	-0.0186791101353253
High light scatter reticulocyte count	30300	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259553	0.0183628438196857	0.0145542117616107	0.0221714758777608	0.00194321532850453	3.4226658108903e-21	1.13581164934395e-17	9.44894386234743	259553	0.0185437358495258
Reticulocyte count	30250	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259553	0.017937847104503	0.0141475745533348	0.0217281196556711	0.00193384806101813	1.77630825821951e-20	3.9297859699343e-17	9.27499292796535	259553	0.0182024679326781
Hair/balding pattern	2395-1	Maternity and sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors	CAT-SIN	MULTINOMIAL-LOGISTIC	39452/123519	-999	-999	-999	-999	1.79300421204057e-19	2.78211539785312e-16	-9.0252409087193	123519	-0.0256715612864105
High light scatter reticulocyte percentage	30290	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259553	0.0176305946692483	0.0137948662269622	0.0214663231115344	0.00195704026836301	2.09591336285454e-19	2.78211539785312e-16	9.00813443610931	259553	0.0176789157832982
Reticulocyte percentage	30240	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259553	0.0171443551909624	0.0133071004331263	0.0209816099487985	0.00195781901509613	2.01854004954074e-18	2.23284171813365e-15	8.75624984939173	259553	0.0171847277283065
Heel bone mineral density (BMD)	3148	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156637	-0.0194057177138227	-0.0242028186165522	-0.0146086168110932	0.002447545434798	2.22886760996316e-15	2.11328490390364e-12	-7.92789771851833	156637	-0.0200274897189902
Heel bone mineral density (BMD) T-score, automated	78	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0192419455916503	-0.0240402890888354	-0.0144436020944651	0.00244817942321077	3.8730650044527e-15	2.86750882128175e-12	-7.85896950642432	156711	-0.0198487456751403
Heel quantitative ultrasound index (QUI), direct entry	3147	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0192407371429682	-0.0240390824036217	-0.0144423918823147	0.00244818032295605	3.8884404688166e-15	2.86750882128175e-12	-7.85847315058459	156711	-0.0198474925643156
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.011736102887663	-0.0146916520691343	-0.00878055370619176	0.00150796096498929	7.11862799456558e-15	4.72463339999318e-12	-7.78235587742932	271066	-0.0149460576299115
Speed of sound through heel	3146	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0189923531795286	-0.0238362063880718	-0.0141484999709855	0.00247139909036638	1.53977637482488e-14	9.29045072701157e-12	-7.68418200005149	156711	-0.0194074675678027
