varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271224	-0.0400036577076919	-0.0428495598915421	-0.0371577555238417	7.4227945871407e-167	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
50	CONTINUOUS	271221	-0.0341881425809153	-0.0368285487252356	-0.0315477364365951	6.49608719103793e-142	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271224	-0.0339146933078531	-0.03686719954794	-0.0309621870677663	3.86324219396775e-112	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20153	CONTINUOUS	158339	-0.0195329357701278	-0.0216118610662158	-0.0174540104740399	1.18740816801119e-75	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.023378538860842	-0.0264005988759507	-0.0203564788457333	6.70774200193177e-52	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	247511	-0.0217660336472633	-0.024608843834222	-0.0189232234603046	7.00158704056954e-51	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3063	CONTINUOUS	247511	-0.0215942532364939	-0.0244955149858026	-0.0186929914871852	3.49699166739526e-48	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20150	CONTINUOUS	203826	-0.0231216885208113	-0.026232809888339	-0.0200105671532837	4.85549352182083e-48	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
1697	CAT-SIN	267453	-0.047795436452949	-0.055070560055851	-0.040520312850047	5.95903300516072e-38	ORDERED-LOGISTIC	Comparative height size at age 10		100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	100033	UK Biobank Assessment Centre > Touchscreen > Early life factors
30000	CONTINUOUS	264186	0.0242458389166593	0.0204458981765836	0.028045779656735	7.10689482747012e-36	LINEAR	White blood cell (leukocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
4079	INTEGER	256245	0.0240484626382897	0.0202370259165874	0.027859899359992	4.05729994236063e-35	LINEAR	"Diastolic blood pressure, automated reading"		100000	UK Biobank Assessment Centre	100006	Physical measures	100011	Blood pressure	100011	UK Biobank Assessment Centre > Physical measures > Blood pressure
23129	CONTINUOUS	266667	-0.0140378958342352	-0.0163990960915957	-0.0116766955768748	2.26755284211802e-31	LINEAR	Trunk fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23130	CONTINUOUS	266641	-0.0139038177186794	-0.0162565643402182	-0.0115510710971406	5.13164622733798e-31	LINEAR	Trunk predicted mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
6150#100	CAT-MUL	84940/186496(271436)	-0.0489678266103952	-0.0574019284410552	-0.0405350836667871	5.23721876629765e-30	LOGISTIC-BINARY	Vascular/heart problems diagnosed by doctor		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
131286	DATE	158549/113330(271879)	0.045712226129988	0.0376653711190671	0.0537603837137482	8.64560204464356e-29	LOGISTIC-BINARY	Date I10 first reported (essential (primary) hypertension)		2409	Health-related outcomes		First occurrences		First occurrences	2409	Health-related outcomes > First occurrences > Circulatory system disorders
26414	CONTINUOUS	230475	0.0228544170322783	0.0188017800477699	0.0269070540167866	2.15364015420091e-28	LINEAR	Education score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
30140	CONTINUOUS	263726	0.0214349516879297	0.017628429438947	0.0252414739369123	2.57494329843765e-28	LINEAR	Neutrophill count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
738	CAT-SIN	231879	-0.0410971837890334	-0.048430224797949	-0.0337641427801178	4.47702625912116e-28	ORDERED-LOGISTIC	Average total household income before tax		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100066	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
23101	CONTINUOUS	266852	-0.0129165854151522	-0.0152768765129987	-0.0105562943173057	7.79426708263764e-27	LINEAR	Whole body fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
6150#4	CAT-MUL	194350/77086(271436)	0.0465494766353828	0.0379649790779512	0.0551352311272315	2.22756699662315e-26	LOGISTIC-BINARY	Vascular/heart problems diagnosed by doctor: High blood pressure		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
23102	CONTINUOUS	266876	-0.0127841126607326	-0.015149285789041	-0.0104189395324243	3.21745094551074e-26	LINEAR	Whole body water mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
3064	INTEGER	247511	-0.0165549328154881	-0.0197497868825837	-0.0133600787483924	3.1473439155155e-24	LINEAR	Peak expiratory flow (PEF)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30300	CONTINUOUS	259880	0.0195541764227869	0.0157457759119084	0.0233625769336653	8.09472550478136e-24	LINEAR	High light scatter reticulocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
2139	INTEGER	237148	-0.0199658477219536	-0.0238662914059454	-0.0160654040379618	1.10518774864022e-23	LINEAR	Age first had sexual intercourse		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100056	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors
30250	CONTINUOUS	259979	0.0187310684242311	0.0149416889230992	0.0225204479253631	3.41271453288368e-22	LINEAR	Reticulocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
6138#1	CAT-MUL	189463/79894(269357)	-0.0412935757480594	-0.0496516549398568	-0.0329368184597971	3.52226229223951e-22	LOGISTIC-BINARY	Qualifications: College or University degree		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100063	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education
30290	CONTINUOUS	259880	0.0189107050482116	0.015075154593273	0.0227462555031501	4.35000207422991e-22	LINEAR	High light scatter reticulocyte percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
130814	DATE	202591/69288(271879)	0.0444142044776721	0.0353688149600841	0.0534608362331766	6.38447862627145e-22	LOGISTIC-BINARY	Date E78 first reported (disorders of lipoprotein metabolism and other lipidaemias)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
46	INTEGER	270706	-0.0127271507706474	-0.0153376924306133	-0.0101166091106816	1.24034177294845e-21	LINEAR	Hand grip strength (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100019	Hand grip strength	100019	UK Biobank Assessment Centre > Physical measures > Hand grip strength
