varName,varType,n,beta,lower,upper,pvalue
"20246-0",CAT-SIN,85751/98947,-999,-999,-999,0.017176335560862
"20246-0#3",CAT-SIN,85751#9678,0.0300861833538497,0.00885037521459826,0.0513219914931011,0.00548950087030575
"20246-0#1",CAT-SIN,85751#3518,0.0141574725140851,-0.0194850383966828,0.0477999834248531,0.409488636430715
"20255-1",CAT-SIN,150331/217051,-999,-999,-999,0.0250482015423008
"20255-1#3",CAT-SIN,150331#21901,-0.020022072454333,-0.0344056258119572,-0.00563851909670877,0.00636631269944421
"20255-1#2",CAT-SIN,150331#44819,-0.00402745936055242,-0.01470965876929,0.00665474004818518,0.459933718666542
"20405-0",CAT-SIN,67455/73845,-999,-999,-999,0.506113960663388
"20405-0#1",CAT-SIN,67455#3370,0.00986696291001263,-0.025077026460067,0.0448109522800923,0.579972137500833
"20405-0#2",CAT-SIN,67455#3020,-0.0186890879818158,-0.0555154774213888,0.0181373014577571,0.319898975483674
"20411-0",CAT-SIN,70841/73929,-999,-999,-999,0.198332582878523
"20411-0#1",CAT-SIN,70841#2759,-0.00101484240063187,-0.0395699366537564,0.0375402518524926,0.958855444559662
"20411-0#2",CAT-SIN,70841#329,0.0996781672922764,-0.00906453026014564,0.208420864844698,0.0724013541217297
"20526-0",CAT-SIN,66866/73869,-999,-999,-999,0.276229201177741
"20526-0#1",CAT-SIN,66866#6791,0.00765063931608428,-0.0175841345351737,0.0328854131673422,0.552365767362783
"20526-0#2",CAT-SIN,66866#212,-0.102045890210736,-0.237290443838978,0.0331986634175059,0.139180682977488
"20527-0",CAT-SIN,71461/73906,-999,-999,-999,0.526047335227098
"20527-0#1",CAT-SIN,71461#2410,-0.0156957844422512,-0.056750645455006,0.0253590765705036,0.453665181517102
"20527-0#2",CAT-SIN,71461#35,-0.142112236072253,-0.473355034172471,0.189130562027964,0.400416144151158
"20528-0",CAT-SIN,60259/73629,-999,-999,-999,0.101905771095583
"20528-0#1",CAT-SIN,60259#11535,0.0214809857134582,0.00131338383809017,0.0416485875888263,0.0368336066754031
"20528-0#2",CAT-SIN,60259#1835,0.0146817790450262,-0.032013742736518,0.0613773008265704,0.537734580228159
"20529-0",CAT-SIN,60656/73825,-999,-999,-999,0.965326293870767
"20529-0#1",CAT-SIN,60656#12860,0.00286276720312025,-0.0165806885859825,0.0223062229922231,0.772905630815447
"20529-0#2",CAT-SIN,60656#309,-0.000276880401355369,-0.112409010715748,0.111855249913038,0.996138566144906
"20530-0",CAT-SIN,64236/73838,-999,-999,-999,0.296307489552873
"20530-0#1",CAT-SIN,64236#9217,0.016974633349044,-0.00519464243127234,0.0391439091293603,0.133430396864252
"20530-0#2",CAT-SIN,64236#385,0.0242885617714432,-0.0763356353108132,0.1249127588537,0.636146100122771
"20531-0",CAT-SIN,62636/73075,-999,-999,-999,0.784340176719895
"20531-0#1",CAT-SIN,62636#10372,0.00494527314476425,-0.0162844545360421,0.0261750008255706,0.647990288785605
"20531-0#2",CAT-SIN,62636#67,-0.061597651980649,-0.302763660023342,0.179568356062044,0.616648354902495
"20536-0",CAT-SIN,14318/35626,-999,-999,-999,0.681025549455589
"20536-0#2",CAT-SIN,14318#12829,0.012884940823351,-0.0116453131188245,0.0374151947655266,0.303242414744689
"20536-0#1",CAT-SIN,14318#6137,0.0106395905244644,-0.0198674223006424,0.0411466033495712,0.494256351773597
"20536-0#3",CAT-SIN,14318#2342,0.020043811357793,-0.0239953156300956,0.0640829383456817,0.372365583623134
"21069-4",CAT-SIN,529/1543,-999,-999,-999,0.275667459592292
"21069-4#1",CAT-SIN,529#379,0.0539800846609025,-0.0757191308182443,0.183679300140049,0.414656866967479
"21069-4#3",CAT-SIN,529#181,0.0199777324861261,-0.147690499342871,0.187645964315123,0.815349534211545
"21069-4#2",CAT-SIN,529#127,0.0572717442714252,-0.132148235712845,0.246691724255695,0.553447903871925
"21069-4#0",CAT-SIN,529#327,0.154236968405671,0.0173860795020712,0.291087857309271,0.0271770351028555
"21070-1",CAT-SIN,5383/10345,-999,-999,-999,0.61466449666748
"21070-1#0",CAT-SIN,5383#2320,-0.0242637004277311,-0.0729796920373893,0.024452291181927,0.328971181101328
"21070-1#2",CAT-SIN,5383#2642,-0.0105065204743706,-0.0570265046186226,0.0360134636698814,0.658013769776032
"21072-3",CAT-SIN,249/613,-999,-999,-999,0.750001080462183
"21072-3#0",CAT-SIN,249#77,-0.088892728372436,-0.350445458867084,0.172660002122212,0.505331857465676
"21072-3#2",CAT-SIN,249#124,0.00245732654230979,-0.220448186968066,0.225362840052685,0.982761621093666
"21072-3#4",CAT-SIN,249#153,-0.0703193556471955,-0.275339968288298,0.134701256993907,0.501429840066867
"21072-3#1",CAT-SIN,249#10,-0.39178137104852,-1.09174673022743,0.308183988130393,0.272631788311741
