description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0400036577076919	-0.0428495598915421	-0.0371577555238417	0.00145201759129163	7.4227945871407e-167	4.93467384153114e-163	-27.531245050951	271224	-0.0527906964680896
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271221	-0.0341881425809153	-0.0368285487252356	-0.0315477364365951	0.00134717074657873	6.49608719103793e-142	2.15929938230101e-138	-25.3627782622818	271221	-0.048643224379175
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0339146933078531	-0.03686719954794	-0.0309621870677663	0.00150640841534632	3.86324219396775e-112	8.56094470183253e-109	-22.5031824615392	271224	-0.0431694416139195
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0195329357701278	-0.0216118610662158	-0.0174540104740399	0.00106069566200514	1.18740816801119e-75	1.9734723752346e-72	-18.4054741377026	158339	-0.0462052914584783
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.023378538860842	-0.0264005988759507	-0.0203564788457333	0.00154189568734238	6.70774200193177e-52	8.91861376576848e-49	-15.1580035965269	203826	-0.0335559624329489
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0217660336472633	-0.024608843834222	-0.0189232234603046	0.00145044001286882	7.00158704056954e-51	7.75775844095105e-48	-15.0031501407391	247511	-0.0301432145730138
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0215942532364939	-0.0244955149858026	-0.0186929914871852	0.00148026278655806	3.49699166739526e-48	3.3211429435491e-45	-14.5850434706824	247511	-0.0293039173951059
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0231216885208113	-0.026232809888339	-0.0200105671532837	0.00158733598783844	4.85549352182083e-48	4.03491511663311e-45	-14.5626277008716	203826	-0.0322393495974776
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.047795436452949	-0.055070560055851	-0.040520312850047	0.00371186596299077	5.95903300516072e-38	4.40173904647872e-35	-12.878357395572	267453	-0.0248945192807936
White blood cell (leukocyte) count	30000	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	264186	0.0242458389166593	0.0204458981765836	0.028045779656735	0.00193878090110285	7.10689482747012e-36	4.72466368130214e-33	12.5039088656683	264186	0.0243200280327444
Diastolic blood pressure, automated reading	4079	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256245	0.0240484626382897	0.0202370259165874	0.027859899359992	0.0019446463056293	4.05729994236063e-35	2.45208454698304e-32	12.3646986606718	256245	0.0244190076339449
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266667	-0.0140378958342352	-0.0163990960915957	-0.0116766955768748	0.00120471614579926	2.26755284211802e-31	1.25622427453338e-28	-11.6510099767823	266667	-0.0225564138602412
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266641	-0.0139038177186794	-0.0162565643402182	-0.0115510710971406	0.00120040298704311	5.13164622733798e-31	2.62424493225715e-28	-11.5812101613552	266641	-0.0224224417829574
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0489678266103952	-0.0574019284410552	-0.0405350836667871	0.00430284558984543	5.23721876629765e-30	2.48693073988191e-27	-11.3803780802916	271436	-0.0218384082958293
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.045712226129988	0.0376653711190671	0.0537603837137482	0.00410594600758905	8.64560204464356e-29	3.83173082618603e-26	11.1332188510763	271879	0.0213469354576831
Education score (England)	26414	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0228544170322783	0.0188017800477699	0.0269070540167866	0.00206770992552671	2.15364015420091e-28	8.94837484070478e-26	11.0515909313394	230475	0.0230144037926267
Neutrophill count	30140	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263726	0.0214349516879297	0.017628429438947	0.0252414739369123	0.00194213887551405	2.57494329843765e-28	1.00695429694197e-25	11.0355419784727	263726	0.0214841704013302
Average total household income before tax	738	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	CAT-SIN	ORDERED-LOGISTIC	231879	-0.0410971837890334	-0.048430224797949	-0.0337641427801178	0.00374141620292908	4.47702625912116e-28	1.65351503170208e-25	-10.9857103434595	231879	-0.0228079534285605
Whole body fat-free mass	23101	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266852	-0.0129165854151522	-0.0152768765129987	-0.0105562943173057	0.00120425228038075	7.79426708263764e-27	2.72717302975658e-24	-10.7246963278095	266852	-0.0207566768714415
Vascular/heart problems diagnosed by doctor: High blood pressure	6150#4	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	194350/77086(271436)	0.0465494766353828	0.0379649790779512	0.0551352311272315	0.00438024682716547	2.22756699662315e-26	7.40443269677535e-24	10.6271755511313	271436	0.0203936706201281
Whole body water mass	23102	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266876	-0.0127841126607326	-0.015149285789041	-0.0104189395324243	0.0012067431580195	3.21745094551074e-26	1.01855304217883e-23	-10.5928214761846	266876	-0.0205006315173943
Peak expiratory flow (PEF)	3064	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	INTEGER	LINEAR	247511	-0.0165549328154881	-0.0197497868825837	-0.0133600787483924	0.00163005753794266	3.1473439155155e-24	9.51070106833957e-22	-10.1550234869858	247511	-0.0204077431194665
