varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
50	CONTINUOUS	271221	-0.0253113934747274	-0.0279528611744517	-0.0226699257750031	1.21016883194823e-78	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20015	CONTINUOUS	271224	-0.0244583538528667	-0.027306405235232	-0.0216103024705014	1.53841154960048e-63	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20153	CONTINUOUS	158339	-0.0154645686757108	-0.0175472471870504	-0.0133818901643713	5.96125928271142e-48	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
51	CONTINUOUS	271224	-0.0214554225215274	-0.0244092270048775	-0.0185016180381773	5.64459294373722e-46	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3063	CONTINUOUS	247511	-0.0178888849417517	-0.020789060384426	-0.0149887094990774	1.22631361147317e-33	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20150	CONTINUOUS	203826	-0.0189298230218618	-0.0220420295542167	-0.015817616489507	9.38371433874222e-33	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.0183144333509423	-0.0213376872027335	-0.0152911794991512	1.67091777662093e-32	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	247511	-0.0167519653868414	-0.0195938549113975	-0.0139100758622853	7.22870288885987e-31	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
4079	INTEGER	256245	0.021748864362183	0.0179362489932385	0.0255614797311275	5.15582047755769e-29	LINEAR	"Diastolic blood pressure, automated reading"		100000	UK Biobank Assessment Centre	100006	Physical measures	100011	Blood pressure	100011	UK Biobank Assessment Centre > Physical measures > Blood pressure
30000	CONTINUOUS	264186	0.0189435382642765	0.0151432139972879	0.0227438625312651	1.52927771387927e-22	LINEAR	White blood cell (leukocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
3064	INTEGER	247511	-0.0147302203706948	-0.0179235865252752	-0.0115368542161144	1.5649233534568e-19	LINEAR	Peak expiratory flow (PEF)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30830	CONTINUOUS	236069	-0.0169587601960073	-0.0206498682808691	-0.0132676521111456	2.17048221564297e-19	LINEAR	SHBG		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
