varName,varType,n,beta,lower,upper,pvalue
"22653",INTEGER,1212,-0.0092431279404863,-0.0639193298573817,0.0454330739764091,0.740195430232631
"22663",INTEGER,45601,-0.00190941637329056,-0.0104368451535624,0.00661801240698126,0.660753224895738
"22664",INTEGER,26417,0.00159357748502102,-0.00936512639238505,0.0125522813624271,0.775627706987698
"23000",INTEGER,5301,0.00954249506050121,-0.0174001762382947,0.0364851663592971,0.487502882639911
"23001",INTEGER,5301,0.0163027698229178,-0.0110043002630828,0.0436098399089185,0.241893314827262
"23002",INTEGER,5301,-0.00741270337696702,-0.0344002498224788,0.0195748430685447,0.590275924559943
"23003",INTEGER,5301,0.016245296257237,-0.0110525477109664,0.0435431402254404,0.243397591398241
"23004",INTEGER,5301,0.0230712818698693,-0.00422867457419881,0.0503712383139374,0.0976291175986459
"23005",INTEGER,5301,0.00550967099998156,-0.0214284942589307,0.0324478362588938,0.688462959811531
"23006",INTEGER,5301,-0.00696446820722477,-0.0339156217009967,0.0199866852865472,0.612462398864706
"23007",INTEGER,5301,-0.0124320057656754,-0.0393752504329544,0.0145112389016036,0.365738131185526
"23008",INTEGER,5301,0.000444822125408407,-0.0265223877536797,0.0274120320044965,0.974204631592017
"23009",INTEGER,5301,-0.00207460340341101,-0.0291317767256698,0.0249825699188478,0.880522411473366
"23010",INTEGER,5301,0.00328230853361705,-0.0239757804466272,0.0305403975138613,0.81339140344314
"23011",INTEGER,5301,-0.0114301033033042,-0.0387372486577489,0.0158770420511405,0.41192203920371
"23012",INTEGER,5301,0.00262012631333444,-0.0245336404199758,0.0297738930466447,0.84997113422845
"23013",INTEGER,5301,-0.0039096597369926,-0.0307706515050326,0.0229513320310474,0.775393940948721
"23014",INTEGER,5301,0.0245513560900203,-0.00268796295043771,0.0517906751304783,0.077292578137268
"23015",INTEGER,5301,0.0133618372918586,-0.0138662598769496,0.0405899344606669,0.336069842019302
"23017",INTEGER,5301,0.00404890359945505,-0.0232530442043177,0.0313508514032278,0.771268462409895
"23019",INTEGER,5301,0.00858367685126709,-0.0186416793449867,0.0358090330475209,0.536546754333984
"23020",INTEGER,5301,0.0142549259767546,-0.0129227303815979,0.041432582335107,0.303877298912406
"23021",INTEGER,5301,0.00226021056459597,-0.0248163110665795,0.0293367321957715,0.870016626460989
"23022",INTEGER,5301,0.014166213595235,-0.0128531337163017,0.0411855609067718,0.304071055732788
"23023",INTEGER,5301,0.0108781470461733,-0.0163303931311745,0.0380866872235211,0.433201096782021
"23024",INTEGER,5301,-0.00922169332169118,-0.0365188496389021,0.0180754629955197,0.507821472098725
"23025",INTEGER,5301,0.0113863845426352,-0.0158695683293812,0.0386423374146516,0.412836115768219
"23026",INTEGER,5301,0.0183207658555438,-0.00877010962631967,0.0454116413374073,0.184973240649552
"23027",INTEGER,5301,-0.00156011848255173,-0.0287973939983579,0.0256771570332545,0.910597656102482
"23028",INTEGER,5301,-0.0215885796453241,-0.0487974979757012,0.00562033868505309,0.119895148922968
"23029",INTEGER,5301,0.00677978218061239,-0.0204705047792234,0.0340300691404482,0.625751194687693
"23031",INTEGER,5301,0.0183492902103192,-0.00884389839888528,0.0455424788195236,0.185946462412706
"23032",INTEGER,5301,-0.00599417941407217,-0.0332910737419559,0.0213027149138116,0.666856086260692
"23033",INTEGER,5301,0.0159942066915903,-0.0112264165099091,0.0432148298930896,0.249417089264852
"23034",INTEGER,5301,0.00426901739636891,-0.0230021491909638,0.0315401839837016,0.758945096861231
"23036",INTEGER,5301,0.00633773616265211,-0.0208961034055503,0.0335715757308545,0.648251656331714
"23037",INTEGER,5301,-0.00918951587974452,-0.0365201847689133,0.0181411530094243,0.50982264757087
"23039",INTEGER,2697,0.00246232588643844,-0.0360607392147089,0.0409853909875858,0.900268547328969
"23040",INTEGER,5301,0.00488733597236657,-0.0221948476675562,0.0319695196122893,0.723516173222894
"23041",INTEGER,5301,0.0275620264610723,0.000536076312036272,0.0545879766101084,0.0456271266221096
"23042",INTEGER,5301,-0.00536368337389095,-0.0323087873894301,0.0215814206416482,0.696375454216274
"23043",INTEGER,5301,0.00980718755006193,-0.0172966951267865,0.0369110702269103,0.478138650160282
"23044",INTEGER,5301,0.00479885839566795,-0.0222881316219379,0.0318858484132738,0.728367794163566
"23098",CONTINUOUS,266878,-0.00368801824515469,-0.00702460970128266,-0.000351426789026727,0.0302809672244995
"23099",CONTINUOUS,266720,0.00774105187057605,0.0048933680339082,0.0105887357072439,9.94202851606434e-08
"23100",CONTINUOUS,266435,0.0044185661751933,0.000751281703658234,0.00808585064672837,0.0182021867425962
"23101",CONTINUOUS,266852,-0.00881724065967851,-0.0111774403388974,-0.00645704098045963,2.44853394799099e-13
"23102",CONTINUOUS,266876,-0.0086543624618376,-0.0110194811924727,-0.00628924373120254,7.4172751284824e-13
"23104",CONTINUOUS,266876,0.0122362684054503,0.00847804818813654,0.015994488622764,1.75747800837165e-10
"23106",CONTINUOUS,266853,-0.0028503171146421,-0.00573907249446497,3.84382651807706e-05,0.053127323149125
"23107",CONTINUOUS,266866,-0.00195487723906919,-0.00538181101884139,0.00147205654070302,0.263543773443808
"23108",CONTINUOUS,266863,-0.000149678180444708,-0.00360323463345055,0.00330387827256114,0.932304530622377
