varName,varType,n,beta,lower,upper,pvalue
"100920-2102",CAT-SIN,66889/108672,-999,-999,-999,0.00544590854869086
"100920-2102#2104",CAT-SIN,66889#5768,0.0408746516029553,0.0139645222104769,0.0677847809954337,0.00291034978508042
"100920-2102#2107",CAT-SIN,66889#659,0.0230889375816154,-0.0535681116974364,0.0997459868606671,0.554964794227535
"100920-2102#2106",CAT-SIN,66889#1291,0.0289538685198546,-0.0260568048654211,0.0839645419051302,0.302263554323607
"100920-2102#0",CAT-SIN,66889#6037,0.0274124431358269,0.00108396358458093,0.0537409226870729,0.0412849126888266
"100920-2102#2103",CAT-SIN,66889#22409,0.0219723354409296,0.00678204113893668,0.0371626297429225,0.00458209476124871
"100920-2102#2199",CAT-SIN,66889#836,0.0680514415822955,-9.43175381575012e-05,0.136197200702748,0.0503179318932714
"100920-2102#2105",CAT-SIN,66889#3198,-0.0218921976044782,-0.0574167768826748,0.0136323816737184,0.227109775901804
"100920-2102#2109",CAT-SIN,66889#485,-0.0103408374899285,-0.0995564224041675,0.0788747474243105,0.820286633417288
"100920-2102#2108",CAT-SIN,66889#598,-0.0215353578222069,-0.10191879748585,0.0588480818414364,0.599520753747636
"100920-2102#222",CAT-SIN,66889#238,-0.0344724989941048,-0.161543882477347,0.0925988844891368,0.594928330312498
"100920-2102#2110",CAT-SIN,66889#264,-0.0704962217439033,-0.191519565392453,0.0505271219046461,0.253586628682773
