description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271221	-0.0253113934747274	-0.0279528611744517	-0.0226699257750031	0.00134771236643115	1.21016883194823e-78	8.04520239479183e-75	-18.7749697413704	271221	-0.0360277508416145
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0244583538528667	-0.027306405235232	-0.0216103024705014	0.00145311414129564	1.53841154960048e-63	5.113679990872e-60	-16.8273475487486	271224	-0.0322943554482688
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0154645686757108	-0.0175472471870504	-0.0133818901643713	0.00106261060293324	5.96125928271142e-48	1.32101505704885e-44	-14.5485976492297	158339	-0.0365375853703743
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0214554225215274	-0.0244092270048775	-0.0185016180381773	0.0015070707965296	5.64459294373722e-46	9.38131347249126e-43	-14.2338977294212	271224	-0.0273211662993264
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0178888849417517	-0.020789060384426	-0.0149887094990774	0.00147970853829484	1.22631361147317e-33	1.63050657781473e-30	-12.0877278854736	247511	-0.0242896370441406
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0189298230218618	-0.0220420295542167	-0.015817616489507	0.00158788965353626	9.38371433874222e-33	1.03971554873264e-29	-11.9193505606258	203826	-0.0263920805500415
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0183144333509423	-0.0213376872027335	-0.0152911794991512	0.00154250479888314	1.67091777662093e-32	1.58689448271085e-29	-11.8711811191822	203826	-0.026285496586335
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0167519653868414	-0.0195938549113975	-0.0139100758622853	0.00144997027852173	7.22870288885987e-31	6.00705210064255e-28	-11.5518039283284	247511	-0.0232133205211419
Diastolic blood pressure, automated reading	4079	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256245	0.021748864362183	0.0179362489932385	0.0255614797311275	0.00194524766731324	5.15582047755769e-29	3.80843272608928e-26	11.1791903527161	256245	0.0220789525038767
White blood cell (leukocyte) count	30000	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	264186	0.0189435382642765	0.0151432139972879	0.0227438625312651	0.00193897658169491	1.52927771387927e-22	1.01666382418694e-19	9.76901756034831	264186	0.0190028704017601
Peak expiratory flow (PEF)	3064	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	INTEGER	LINEAR	247511	-0.0147302203706948	-0.0179235865252752	-0.0115368542161144	0.00162929838495466	1.5649233534568e-19	9.45782768525528e-17	-9.04012529876757	247511	-0.0181680060230919
SHBG	30830	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood biochemistry	CONTINUOUS	LINEAR	236069	-0.0169587601960073	-0.0206498682808691	-0.0132676521111456	0.00188325301585985	2.17048221564297e-19	1.20244714746621e-16	-9.00429886797687	236069	-0.0185292437515678
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.0324844949124284	-0.0397525999040523	-0.0252163899208045	0.00370828497306776	1.94001330599615e-18	9.92092958327877e-16	-8.76072338795827	267453	-0.0169377434067467
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266667	-0.0103914861248805	-0.0127524975865194	-0.00803047466324153	0.00120461981968153	6.36512291867974e-18	3.02252408309878e-15	-8.6257908910164	266667	-0.0167014945896986
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266641	-0.0103129063610303	-0.0126654664952045	-0.00796034622685608	0.00120030783868015	8.59751719899502e-18	3.81041962259459e-15	-8.59132086140753	266641	-0.0166355820568016
Neutrophill count	30140	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263726	0.0164149497095624	0.0126080573653408	0.0202218420537841	0.00194232770308533	2.89728146586118e-17	1.18475854073119e-14	8.45063280169808	263726	0.0164533983003266
Vascular/heart problems diagnosed by doctor: High blood pressure	6150#4	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	194350/77086(271436)	0.0369784047034838	0.0283971892242188	0.0455607263215765	0.00437853379774871	3.02961720704427e-17	1.18475854073119e-14	8.44541711862333	271436	0.0162080933105601
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0360297641093626	-0.0444593974765527	-0.027601212080866	0.00430063652410501	5.3923358869438e-17	1.99156938757791e-14	-8.37780615518175	271436	-0.0160783708403921
Education score (England)	26414	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0169822598240508	0.0129268364067775	0.0210376832413241	0.0020691316010202	2.27033024417506e-16	7.94376603330305e-14	8.20686794958117	230475	0.0170924362577444
Health score (England)	26413	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0163855465210757	0.0124117737229169	0.0203593193192345	0.00202747235638176	6.41210132034816e-16	2.13138247888373e-13	8.0812218980098	230475	0.0168308280476096
Employment score (England)	26412	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0164250178942032	0.012408441538424	0.0204415942499823	0.00204931130748391	1.10701727295148e-15	3.50450039551497e-13	8.01437139237775	230475	0.0166916368963656
Age first had sexual intercourse	2139	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	INTEGER	LINEAR	237148	-0.0159001618385763	-0.0197959305275981	-0.0120043931495545	0.00198767361020464	1.25560608069792e-15	3.79421328385444e-13	-7.9988754854647	237148	-0.0164233767670751
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.0327179920196074	0.024675020548704	0.0407619258051938	0.00410387777106652	1.55512134216173e-15	4.49497681856138e-13	7.97248736950721	271879	0.0152882172543377
Average total household income before tax	738	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	CAT-SIN	ORDERED-LOGISTIC	231879	-0.0291904515547951	-0.0365157988236608	-0.0218651042859293	0.00373749075322157	5.68770282923915e-15	1.57549368369924e-12	-7.81068716451731	231879	-0.016218223585243
Leg fat percentage (left)	23115	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266848	0.00912750549612	0.00680851038220439	0.0114465006100356	0.00118318251366226	1.2196714402292e-14	3.24335029385749e-12	7.71396582746249	266848	0.0149313454973581
Qualifications	6138#100	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education	CAT-MUL	LOGISTIC-BINARY	218203/51154(269357)	0.038856613356153	0.0288345849948881	0.0488799741074749	0.00511371363726637	2.99477264486909e-14	7.65740328580373e-12	7.59854562942796	269357	0.0146393371557393
Qualifications: College or University degree	6138#1	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education	CAT-MUL	LOGISTIC-BINARY	189463/79894(269357)	-0.032357404896392	-0.0407113949143115	-0.0240043581993581	0.00426207747865175	3.15094449160444e-14	7.75832554821715e-12	-7.59196322815334	269357	-0.0146266582337829
Hand grip strength (left)	46	Physical measures	UK Biobank Assessment Centre > Physical measures > Hand grip strength	INTEGER	LINEAR	270706	-0.00986437840234204	-0.0124752147472502	-0.00725354205743385	0.00133208383700013	1.31274390721833e-13	3.11682910542409e-11	-7.40487466784356	270706	-0.0142307043510373
Whole body fat-free mass	23101	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266852	-0.00881724065967851	-0.0111774403388974	-0.00645704098045963	0.00120420563736673	2.44853394799099e-13	5.61305299525659e-11	-7.32169762211345	266852	-0.0141721117227146
