varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271224	-0.0323371257961185	-0.035184530842204	-0.029489720750033	1.16247722584692e-109	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
50	CONTINUOUS	271221	-0.0246160932224913	-0.0272580718871567	-0.0219741145578259	1.85330265595756e-74	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271224	-0.0266120936573737	-0.0295657874850321	-0.0236583998297152	9.51194120648144e-70	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3148	CONTINUOUS	156637	-0.0321217673757562	-0.0369251780078377	-0.0273183567436747	3.15152631029635e-39	LINEAR	Heel bone mineral density (BMD)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
78	CONTINUOUS	156711	-0.031878900057177	-0.0366834408107616	-0.0270743593035924	1.20361735834024e-38	LINEAR	"Heel bone mineral density (BMD) T-score, automated"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3147	CONTINUOUS	156711	-0.0318778555773596	-0.0366823981487627	-0.0270733130059566	1.21041496626198e-38	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3146	CONTINUOUS	156711	-0.0315336748791835	-0.036383846310556	-0.0266835034478111	3.56217496911353e-37	LINEAR	Speed of sound through heel		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
20153	CONTINUOUS	158339	-0.0129616490218018	-0.0150406891680102	-0.0108826088755934	2.53869014982048e-34	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3144	CONTINUOUS	156699	-0.0293557852624689	-0.0340726761645523	-0.0246388943603855	3.30076462898186e-34	LINEAR	"Heel Broadband ultrasound attenuation, direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
20151	CONTINUOUS	203826	-0.0186623576450889	-0.0216846999568816	-0.0156400153332962	1.05266894149025e-33	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	247511	-0.0171034630189335	-0.0199482678907851	-0.0142586581470819	4.83102499955344e-32	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3063	CONTINUOUS	247511	-0.0172747899433761	-0.0201780315328535	-0.0143715483538987	2.02684586700989e-31	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
4124	CONTINUOUS	91567	-0.0365605785139463	-0.042778179139818	-0.0303429778880746	1.03554323452125e-30	LINEAR	Heel bone mineral density (BMD) (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4105	CONTINUOUS	91535	-0.036635808961867	-0.0428757773806055	-0.0303958405431285	1.27099185665735e-30	LINEAR	Heel bone mineral density (BMD) (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
20150	CONTINUOUS	203826	-0.0182259942921826	-0.0213373829667229	-0.0151146056176423	1.6755572324197e-30	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
4106	CONTINUOUS	91598	-0.0362628232239427	-0.0425033716338228	-0.0300222748140626	4.95969111626022e-30	LINEAR	"Heel bone mineral density (BMD) T-score, automated (left)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4104	CONTINUOUS	91598	-0.0362620128649026	-0.042502557648751	-0.0300214680810542	4.97380017589745e-30	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry (left)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4103	CONTINUOUS	91598	-0.0366410041080655	-0.0429481089943539	-0.0303338992217771	5.11333612163898e-30	LINEAR	Speed of sound through heel (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4125	CONTINUOUS	91616	-0.0360485725867173	-0.0422672123214235	-0.0298299328520111	6.78682214870875e-30	LINEAR	"Heel bone mineral density (BMD) T-score, automated (right)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
4123	CONTINUOUS	91616	-0.0360481687236731	-0.0422668129475324	-0.0298295244998138	6.79734293223639e-30	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry (right)"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
