varName,varType,n,beta,lower,upper,pvalue
"30640",CONTINUOUS,258396,0.00433536436281867,0.000487167088186696,0.00818356163745064,0.0272382971999728
"30650",CONTINUOUS,258711,-0.000120413578975147,-0.00381783067152248,0.00357700351357219,0.949105370700308
"30660",CONTINUOUS,220729,0.000768102377239472,-0.0032366006577033,0.00477280541218224,0.706974266089111
"30670",CONTINUOUS,259482,-0.0072714071677909,-0.0109488394982928,-0.00359397483728903,0.000106447142428704
"30680",CONTINUOUS,238223,0.00317107926231804,-0.000826431745985494,0.00716859027062157,0.120000841770757
"30690",CONTINUOUS,259644,0.00328641648629338,-0.000486511042526915,0.00705934401511368,0.0877788858180562
"30700",CONTINUOUS,259517,-0.00203278131551604,-0.00513850645352866,0.00107294382249657,0.199543831689483
"30710",CONTINUOUS,259096,0.00337587627543851,-0.000435462781189885,0.0071872153320669,0.0825584254397123
"30720",CONTINUOUS,259614,0.00293041685901348,-0.000560212354712179,0.00642104607273914,0.0998851965270017
"30730",CONTINUOUS,259507,0.00825429173458464,0.0046760715874651,0.0118325118817042,6.14895007163912e-06
"30740",CONTINUOUS,238076,0.00337232765268066,-0.000590239391958727,0.00733489469732004,0.0953114052655321
"30750",CONTINUOUS,259803,0.00715764004493373,0.00348061253556895,0.0108346675542985,0.000136076170752091
"30760",CONTINUOUS,238212,-0.00558961043153522,-0.00922728402764478,-0.00195193683542565,0.0025983779832728
"30770",CONTINUOUS,258251,-0.0134382820856362,-0.017156394352911,-0.00972016981836146,1.40525867587189e-12
"30780",CONTINUOUS,259178,0.00329514273964908,-0.000532531044556851,0.007122816523855,0.0915490293906278
"30790",CONTINUOUS,206618,-0.00217407396450067,-0.00648583403154722,0.00213768610254588,0.323027437792899
"30800",CONTINUOUS,39741,-0.00235285640206531,-0.0104901341221241,0.00578442131799344,0.570899591851206
"30810",CONTINUOUS,237880,0.00174362853106546,-0.0021531665117641,0.00564042357389501,0.380490693371201
"30820",CONTINUOUS,23644,-0.000973236607876746,-0.0137882791979328,0.0118418059821793,0.88166788900084
"30830",CONTINUOUS,236069,0.00102418562839743,-0.00266464854393884,0.00471301980073371,0.58632046669379
"30840",CONTINUOUS,258585,0.00133914812926035,-0.00232638586596876,0.00500468212448945,0.473963013743182
"30850",CONTINUOUS,234926,0.00553412592538713,0.00309571920192545,0.0079725326488488,8.65957512000971e-06
"30860",CONTINUOUS,238062,0.0021568709046533,-0.00185377971079887,0.00616752152010546,0.291862864532053
"30870",CONTINUOUS,259427,0.0123551385717111,0.0086113515809696,0.0160989255624526,9.93215350257157e-11
"30880",CONTINUOUS,259312,0.00330240441197159,2.03517118772421e-05,0.00658445711206593,0.0485962000226202
"30890",CONTINUOUS,248004,-0.00417609313425159,-0.00808903061305061,-0.000263155655452576,0.0364585805435861
"30897",CONTINUOUS,258235,-0.000576725280411657,-0.00440782509496922,0.0032543745341459,0.767955906349373
"40007",CONTINUOUS,28596,-0.00142568153566556,-0.00806796903662613,0.005216605965295,0.67397815429774
"40008",CONTINUOUS,72171,-0.0026813533873651,-0.00834242503227011,0.00297971825753991,0.353230216958683
