varName,varType,n,beta,lower,upper,pvalue
"6019-1",CAT-SIN,40542/46892,-999,-999,-999,0.840327019157105
"6019-1#2",CAT-SIN,40542#5776,0.00450125347228786,-0.0231812343569099,0.0321837413014856,0.749957142678394
"6019-1#7",CAT-SIN,40542#227,0.0518588913214702,-0.078142992162979,0.181860774805919,0.434304601220816
"6019-1#6",CAT-SIN,40542#347,0.0208187338649455,-0.0844442519012015,0.126081719631092,0.698283695370344
"6020-1",CAT-SIN,42658/46339,-999,-999,-999,0.00102426251832413
"6020-1#33",CAT-SIN,42658#2843,0.0126514446698513,-0.0254810156229251,0.0507839049626277,0.515518154471322
"6020-1#32",CAT-SIN,42658#202,-0.000790762219835063,-0.138857149290742,0.137275624851072,0.991043527782872
"6020-1#31",CAT-SIN,42658#515,0.18551615519095,0.0987130612011584,0.272319249180742,2.8037387923785e-05
"6020-1#34",CAT-SIN,42658#121,0.074773784696494,-0.103111934805637,0.252659504198625,0.410015928572923
"6070-1",CAT-SIN,40987/46844,-999,-999,-999,0.873746386915729
"6070-1#6",CAT-SIN,40987#4116,0.00840753332588119,-0.0235259857009279,0.0403410523526902,0.605837640528919
"6070-1#7",CAT-SIN,40987#1741,-0.00141119973640212,-0.0492290742055198,0.0464066747327155,0.953874163778163
"6072-1",CAT-SIN,40746/46841,-999,-999,-999,0.597812680853918
"6072-1#6",CAT-SIN,40746#4252,0.0162434808557463,-0.0152319490965133,0.0477189108080059,0.311788731078762
"6072-1#7",CAT-SIN,40746#1843,0.00232948526424988,-0.0442107598107454,0.0488697303392452,0.921851024758251
"6119-3",CAT-SIN,965/1279,-999,-999,-999,0.182083096475344
"6119-3#2",CAT-SIN,965#141,-0.0231751620237445,-0.210927252646011,0.164576928598523,0.808835973741527
"6119-3#1",CAT-SIN,965#173,-0.160469449359261,-0.331391205490519,0.0104523067719967,0.0657525113826851
