description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0323371257961185	-0.035184530842204	-0.029489720750033	0.00145278437182799	1.16247722584692e-109	7.72698612020448e-106	-22.248646666406	271224	-0.0426820422827196
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271221	-0.0246160932224913	-0.0272580718871567	-0.0219741145578259	0.00134797306762012	1.85330265595756e-74	6.15945137707495e-71	-18.2560161756405	271221	-0.035033157647928
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0266120936573737	-0.0295657874850321	-0.0236583998297152	0.00150701433850663	9.51194120648144e-70	2.1075291066494e-66	-17.6538087849383	271224	-0.0338786880488662
Heel bone mineral density (BMD)	3148	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156637	-0.0321217673757562	-0.0369251780078377	-0.0273183567436747	0.00245076474362294	3.15152631029635e-39	5.23704884613496e-36	-13.1033226937976	156637	-0.0330901802552959
Heel bone mineral density (BMD) T-score, automated	78	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.031878900057177	-0.0366834408107616	-0.0270743593035924	0.00245134134682178	1.20361735834024e-38	1.34093804679056e-35	-13.0012487329659	156711	-0.0328249444747341
Heel quantitative ultrasound index (QUI), direct entry	3147	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0318778555773596	-0.0366823981487627	-0.0270733130059566	0.00245134227429722	1.21041496626198e-38	1.34093804679056e-35	-13.00081807364	156711	-0.0328238583377104
Speed of sound through heel	3146	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0315336748791835	-0.036383846310556	-0.0266835034478111	0.00247462273267774	3.56217496911353e-37	3.38253957424252e-34	-12.7395997713685	156711	-0.0321650358788805
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0129616490218018	-0.0150406891680102	-0.0108826088755934	0.00106075426008213	2.53869014982048e-34	2.10933417823209e-31	-12.2164705739329	158339	-0.0306866845702316
Heel Broadband ultrasound attenuation, direct entry	3144	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156699	-0.0293557852624689	-0.0340726761645523	-0.0246388943603855	0.00240662121308842	3.30076462898186e-34	2.43779805431582e-31	-12.1951054457813	156699	-0.0307928029535734
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0186623576450889	-0.0216846999568816	-0.0156400153332962	0.0015420397189094	1.05266894149025e-33	6.99709045408569e-31	-12.1002680432576	203826	-0.0267923864945004
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0171034630189335	-0.0199482678907851	-0.0142586581470819	0.0014514577279435	4.83102499955344e-32	2.91925665200288e-29	-11.7820387303955	247511	-0.0236757199637653
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0172747899433761	-0.0201780315328535	-0.0143715483538987	0.00148127292765469	2.02684586700989e-31	1.12270370650123e-28	-11.6605684858964	247511	-0.0234317631804497
Heel bone mineral density (BMD) (right)	4124	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	91567	-0.0365605785139463	-0.042778179139818	-0.0303429778880746	0.00317230350910289	1.03554323452125e-30	5.29481221527904e-28	-11.5208747527881	91567	-0.0380457510332889
Heel bone mineral density (BMD) (left)	4105	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	91535	-0.036635808961867	-0.0428757773806055	-0.0303958405431285	0.00318371585802524	1.27099185665735e-30	6.03448776514386e-28	-11.5032098344045	91535	-0.0379941299210693
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0182259942921826	-0.0213373829667229	-0.0151146056176423	0.00158747237147342	1.6755572324197e-30	7.42495261592916e-28	-11.4793394388957	203826	-0.0254184400647414
Heel bone mineral density (BMD) T-score, automated (left)	4106	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	91598	-0.0362628232239427	-0.0425033716338228	-0.0300222748140626	0.00318401177731058	4.95969111626022e-30	1.88824140002968e-27	-11.3851252868618	91598	-0.0375917447906252
Heel quantitative ultrasound index (QUI), direct entry (left)	4104	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	91598	-0.0362620128649026	-0.042502557648751	-0.0300214680810542	0.00318400992726041	4.97380017589745e-30	1.88824140002968e-27	-11.3848776558252	91598	-0.0375909283105094
Speed of sound through heel (left)	4103	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	91598	-0.0366410041080655	-0.0429481089943539	-0.0303338992217771	0.00321796978721958	5.11333612163898e-30	1.88824140002968e-27	-11.3824655046442	91598	-0.0375829750487638
Heel bone mineral density (BMD) T-score, automated (right)	4125	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	91616	-0.0360485725867173	-0.0422672123214235	-0.0298299328520111	0.00317283367641346	6.78682214870875e-30	2.25909692352876e-27	-11.3577524921172	91616	-0.0374978126627337
Heel quantitative ultrasound index (QUI), direct entry (right)	4123	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	91616	-0.0360481687236731	-0.0422668129475324	-0.0298295244998138	0.00317283596683979	6.79734293223639e-30	2.25909692352876e-27	-11.3576171441979	91616	-0.0374973664375838
