varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
50	CONTINUOUS	271221	-0.0306025410726494	-0.0332437183591457	-0.0279613637861532	4.60190568071112e-114	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20015	CONTINUOUS	271224	-0.0313055753607687	-0.0341530508092008	-0.0284580999123366	6.71375369213483e-103	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271224	-0.0273758638387232	-0.0303293625034568	-0.0244223651739896	1.04385455242365e-73	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20153	CONTINUOUS	158339	-0.0162270400374964	-0.0183097181563326	-0.0141443619186603	1.30037567799817e-52	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
1697	CAT-SIN	267453	-0.049559485021327	-0.0568379770757776	-0.0422809929668763	1.22462664653257e-40	ORDERED-LOGISTIC	Comparative height size at age 10		100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	100033	UK Biobank Assessment Centre > Touchscreen > Early life factors
3062	CONTINUOUS	247511	-0.0174013710504028	-0.0202445356660012	-0.0145582064348044	3.81483117744726e-33	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.0175322802592363	-0.0205548579762209	-0.0145097025422518	6.11164073297133e-30	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
23129	CONTINUOUS	266667	-0.0130820438728132	-0.015443972898181	-0.0107201148474455	1.89810971532595e-27	LINEAR	Trunk fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23130	CONTINUOUS	266641	-0.0129887114887235	-0.0153422053636715	-0.0106352176137755	2.9003951257781e-27	LINEAR	Trunk predicted mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23101	CONTINUOUS	266852	-0.0120050698217562	-0.0143661168613734	-0.00964402278213905	2.17275001835141e-23	LINEAR	Whole body fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23102	CONTINUOUS	266876	-0.0119006970829877	-0.0142666590690319	-0.00953473509694339	6.34990539352423e-23	LINEAR	Whole body water mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
3063	CONTINUOUS	247511	-0.0140875684683814	-0.0169894321031111	-0.0111857048336516	1.83238776653284e-21	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
