varName,varType,n,beta,lower,upper,pvalue
"24014",CAT-SIN,249662/18385(268047),0.00594319566475526,-0.00904147502141716,0.0209276742201993,0.436941640372431
"30004",CAT-SIN,95338/168848(264186),-0.00890331384120582,-0.0169963624211106,-0.000810477745498087,0.0310657193595548
"30014",CAT-SIN,95337/168851(264188),-0.00890630891363571,-0.0169993876999583,-0.000813442765639794,0.0310097781811388
"30024",CAT-SIN,95337/168851(264188),-0.00890630891363571,-0.0169993876999583,-0.000813442765639794,0.0310097781811388
"30034",CAT-SIN,95337/168851(264188),-0.00890630891363571,-0.0169993876999583,-0.000813442765639794,0.0310097781811388
"30044",CAT-SIN,95338/168850(264188),-0.00889859777559914,-0.0169916513592521,-0.00080575660510084,0.0311550746072937
"30054",CAT-SIN,95336/168851(264187),-0.00891941783219581,-0.0170125400304972,-0.000826508660268629,0.0307641229951031
"30064",CAT-SIN,95338/168849(264187),-0.00889310844749741,-0.0169861680201271,-0.000800261174180041,0.0312593621617888
"30074",CAT-SIN,95338/168850(264188),-0.00889859777559914,-0.0169916513592521,-0.00080575660510084,0.0311550746072937
"30084",CAT-SIN,95337/168848(264185),-0.00890204226582539,-0.0169951335000019,-0.00080916363703777,0.0310906481013724
"30094",CAT-SIN,95257/168845(264102),-0.00894335342406923,-0.0170388671360933,-0.000848053303410034,0.03036721423278
"30104",CAT-SIN,95337/168844(264181),-0.00889321477706629,-0.0169864107381418,-0.00080023131273906,0.0312601875115462
"30114",CAT-SIN,95257/168844(264101),-0.00893672828108791,-0.0170322598851899,-0.000841410125521417,0.030490562057909
"30124",CAT-SIN,95340/168386(263726),-0.00889972897401053,-0.0169964404324222,-0.000803228758984502,0.0312098782107282
"30134",CAT-SIN,95340/168386(263726),-0.00889972897401053,-0.0169964404324222,-0.000803228758984502,0.0312098782107282
"30144",CAT-SIN,95340/168386(263726),-0.00889972897401053,-0.0169964404324222,-0.000803228758984502,0.0312098782107282
"30154",CAT-SIN,95340/168386(263726),-0.00889972897401053,-0.0169964404324222,-0.000803228758984502,0.0312098782107282
"30164",CAT-SIN,95340/168386(263726),-0.00889972897401053,-0.0169964404324222,-0.000803228758984502,0.0312098782107282
"30174",CAT-SIN,95259/168380(263639),-0.00893268576750847,-0.0170318008995047,-0.000833782638743798,0.030639552432187
"30184",CAT-SIN,95339/168389(263728),-0.00890271607058511,-0.0169994576305258,-0.000806185908005552,0.0311538880150192
"30194",CAT-SIN,95339/168389(263728),-0.00890271607058511,-0.0169994576305258,-0.000806185908005552,0.0311538880150192
"30204",CAT-SIN,95339/168389(263728),-0.00890271607058511,-0.0169994576305258,-0.000806185908005552,0.0311538880150192
"30214",CAT-SIN,95339/168389(263728),-0.00890271607058511,-0.0169994576305258,-0.000806185908005552,0.0311538880150192
"30224",CAT-SIN,95339/168389(263728),-0.00890271607058511,-0.0169994576305258,-0.000806185908005552,0.0311538880150192
"30234",CAT-SIN,95259/168381(263640),-0.00893781269149041,-0.0170369237698734,-0.000838913721676415,0.0305439042391099
"30244",CAT-SIN,94968/165011(259979),-0.00809985095204244,-0.016237412386387,3.7513423708349e-05,0.0510674261229154
"30254",CAT-SIN,94968/165011(259979),-0.00809985095204244,-0.016237412386387,3.7513423708349e-05,0.0510674261229154
"30264",CAT-SIN,94968/165011(259979),-0.00809985095204244,-0.016237412386387,3.7513423708349e-05,0.0510674261229154
"30274",CAT-SIN,94869/165011(259880),-0.00814618906113348,-0.0162866978487614,-5.87894385113545e-06,0.0498366408443845
"30284",CAT-SIN,94869/165011(259880),-0.00814618906113348,-0.0162866978487614,-5.87894385113545e-06,0.0498366408443845
"30294",CAT-SIN,94869/165011(259880),-0.00814618906113348,-0.0162866978487614,-5.87894385113545e-06,0.0498366408443845
"30304",CAT-SIN,94869/165011(259880),-0.00814618906113348,-0.0162866978487614,-5.87894385113545e-06,0.0498366408443845
