description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271221	-0.0306025410726494	-0.0332437183591457	-0.0279613637861532	0.00134756419369413	4.60190568071112e-114	3.05842651540061e-110	-22.6988191024558	271221	-0.0435442769973468
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0313055753607687	-0.0341530508092008	-0.0284580999123366	0.00145282029205262	6.71375369213483e-103	2.2309803518964e-99	-21.5390020966908	271224	-0.0413230154583991
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0273758638387232	-0.0303293625034568	-0.0244223651739896	0.00150691476375608	1.04385455242365e-73	2.31248578513586e-70	-18.161370776903	271224	-0.0348515625076859
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0162270400374964	-0.0183097181563326	-0.0141443619186603	0.00106261040267273	1.30037567799817e-52	2.16057418899396e-49	-15.2653952193404	158339	-0.0383351789852811
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.049559485021327	-0.0568379770757776	-0.0422809929668763	0.00371358459229989	1.22462664653257e-40	1.62777373857109e-37	-13.3475173395056	267453	-0.0258008361821975
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0174013710504028	-0.0202445356660012	-0.0145582064348044	0.00145062084713031	3.81483117744726e-33	4.22556133421908e-30	-11.9941127199852	247511	-0.0241016321195482
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0175322802592363	-0.0205548579762209	-0.0145097025422518	0.00154215982580612	6.11164073297133e-30	5.80256633018964e-27	-11.3669050216091	203826	-0.0251696375923656
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266667	-0.0130820438728132	-0.015443972898181	-0.0107201148474455	0.00120508797304356	1.89810971532595e-27	1.57685464600703e-24	-10.8545153726901	266667	-0.0210151022866267
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266641	-0.0129887114887235	-0.0153422053636715	-0.0106352176137755	0.00120078424578822	2.9003951257781e-27	2.14178066732458e-24	-10.8157095411816	266641	-0.0209410249391682
Whole body fat-free mass	23101	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266852	-0.0120050698217562	-0.0143661168613734	-0.00964402278213905	0.0012046379720448	2.17275001835141e-23	1.44400966219635e-20	-9.96481637053923	266852	-0.0192865660456859
Whole body water mass	23102	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266876	-0.0119006970829877	-0.0142666590690319	-0.00953473509694339	0.00120714564385196	6.34990539352423e-23	3.836497385942e-20	-9.85768089558738	266876	-0.0190784272309658
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0140875684683814	-0.0169894321031111	-0.0111857048336516	0.00148056987659941	1.83238776653284e-21	1.0148374246981e-18	-9.51413052398309	247511	-0.0191202782075867
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0148045035852619	-0.0179163455798729	-0.0116926615906508	0.00158770366147381	1.12537938693224e-20	5.75328569657821e-18	-9.32352500148716	203826	-0.0206471393576117
Arm fat-free mass (right)	23121	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266806	-0.00990517775414936	-0.012257279004649	-0.00755307650364975	0.00120007371005422	1.54065854730757e-16	7.31372621814722e-14	-8.25331067776349	266806	-0.015976314198088
Leg predicted mass (left)	23118	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266833	-0.0101435996495361	-0.0125665003040297	-0.00772069899504248	0.00123619651871419	2.30584858441914e-16	1.02164464613664e-13	-8.20500314078027	266833	-0.0158820233387638
Leg fat percentage (left)	23115	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266848	0.00969199366323449	0.00737197036388718	0.0120120169625818	0.00118370710770573	2.67049232780914e-16	1.06409538751326e-13	8.18734616948753	266848	0.0158474088802919
Leg fat-free mass (left)	23117	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266836	-0.0101871927973693	-0.0126264383511633	-0.0077479472435753	0.00124453590628933	2.72188106947417e-16	1.06409538751326e-13	-8.18505111042655	266836	-0.0158433238341025
Leg predicted mass (right)	23114	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266853	-0.0100453064768049	-0.0124562321248672	-0.00763438082874261	0.00123008670928618	3.19154937602853e-16	1.1783909529492e-13	-8.16585935949237	266853	-0.0158056814218817
Leg fat-free mass (right)	23113	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266853	-0.0100899141783176	-0.0125167602118887	-0.00766306814474647	0.0012382095042122	3.69025691200984e-16	1.29081302301144e-13	-8.14831643144105	266853	-0.0157717341208893
Arm predicted mass (right)	23122	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266802	-0.00966670438650889	-0.0120113364258804	-0.00732207234713736	0.00119626281802404	6.46141448212201e-16	2.14712803240914e-13	-8.08028771445592	266802	-0.0156415857090654
