varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271224	-0.014347381459002	-0.0171967423128243	-0.0114980206051798	5.72087841280603e-23	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
30300	CONTINUOUS	259880	0.018530664038705	0.0147245301408369	0.0223367979365732	1.40723773875673e-21	LINEAR	High light scatter reticulocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30250	CONTINUOUS	259979	0.0180541793602725	0.0142669483173085	0.0218414104032365	9.39695505494028e-21	LINEAR	Reticulocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30290	CONTINUOUS	259880	0.0177679257014677	0.0139346533621688	0.0216011980407667	1.04552793785763e-19	LINEAR	High light scatter reticulocyte percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
2395-1	CAT-SIN	39474/123587	-999	-999	-999	1.4029998405742e-19	MULTINOMIAL-LOGISTIC	Hair/balding pattern		100000	UK Biobank Assessment Centre	100025	Touchscreen	100068	Sex-specific factors	100070	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
30240	CONTINUOUS	259979	0.0172330380293108	0.0133988557212904	0.0210672203373313	1.26730249264364e-18	LINEAR	Reticulocyte percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
51	CONTINUOUS	271224	-0.0119562526842517	-0.0149111643271269	-0.0090013410413766	2.1908623148672e-15	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
3148	CONTINUOUS	156637	-0.0194057177138227	-0.0242028186165522	-0.0146086168110932	2.22886760996311e-15	LINEAR	Heel bone mineral density (BMD)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
78	CONTINUOUS	156711	-0.0192419455916503	-0.0240402890888354	-0.0144436020944651	3.87306500445262e-15	LINEAR	"Heel bone mineral density (BMD) T-score, automated"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3147	CONTINUOUS	156711	-0.0192407371429682	-0.0240390824036217	-0.0144423918823147	3.8884404688166e-15	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3146	CONTINUOUS	156711	-0.0189923531795287	-0.0238362063880718	-0.0141484999709855	1.53977637482485e-14	LINEAR	Speed of sound through heel		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
