description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.014347381459002	-0.0171967423128243	-0.0114980206051798	0.00145378225125443	5.72087841280603e-23	3.80381205667473e-19	-9.86815210466702	271224	-0.0189450356401079
High light scatter reticulocyte count	30300	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259880	0.018530664038705	0.0147245301408369	0.0223367979365732	0.00194194073354942	1.40723773875673e-21	4.67836186249675e-18	9.54154223638934	259880	0.018713618042776
Reticulocyte count	30250	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259979	0.0180541793602725	0.0142669483173085	0.0218414104032365	0.00193229624260302	9.39695505494028e-21	2.08267847200993e-17	9.34263091614227	259979	0.0183201419941075
High light scatter reticulocyte percentage	30290	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259880	0.0177679257014677	0.0139346533621688	0.0216011980407667	0.00195578713156737	1.04552793785763e-19	1.73792881470385e-16	9.08410763299075	259880	0.0178167535210577
Hair/balding pattern	2395-1	Maternity and sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors	CAT-SIN	MULTINOMIAL-LOGISTIC	39474/123587	-999	-999	-999	-999	1.4029998405742e-19	1.86570918799557e-16	-9.05205703710504	123587	-0.0257407072187839
Reticulocyte percentage	30240	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	259979	0.0172330380293108	0.0133988557212904	0.0210672203373313	0.00195625140985446	1.26730249264364e-18	1.40438237893126e-15	8.80858959734162	259979	0.0172732521728233
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0119562526842517	-0.0149111643271269	-0.0090013410413766	0.00150763568421824	2.1908623148672e-15	1.85246759233059e-12	-7.93003380997129	271224	-0.0152251731372658
Heel bone mineral density (BMD)	3148	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156637	-0.0194057177138227	-0.0242028186165522	-0.0146086168110932	0.002447545434798	2.22886760996311e-15	1.85246759233059e-12	-7.92789771851833	156637	-0.0200274897189902
Heel bone mineral density (BMD) T-score, automated	78	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0192419455916503	-0.0240402890888354	-0.0144436020944651	0.00244817942321077	3.87306500445262e-15	2.58542406771616e-12	-7.85896950642432	156711	-0.0198487456751403
Heel quantitative ultrasound index (QUI), direct entry	3147	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0192407371429682	-0.0240390824036217	-0.0144423918823147	0.00244818032295605	3.8884404688166e-15	2.58542406771616e-12	-7.85847315058459	156711	-0.0198474925643156
