varName,varType,n,beta,lower,upper,pvalue
"1647-1",CAT-SIN,227049/271838,-999,-999,-999,0.257719330946176
"1647-1#3",CAT-SIN,227049#24641,-0.0111707933491966,-0.0280385274254619,0.00569694072706861,0.194286646151748
"1647-1#6",CAT-SIN,227049#4497,-0.0173071179442842,-0.0469473692884446,0.0123331333998762,0.252443464667614
"1647-1#2",CAT-SIN,227049#14122,0.00494819472250289,-0.0171520377528599,0.0270484271978657,0.660783460917068
"1647-1#4",CAT-SIN,227049#1378,-0.0364923211322904,-0.0903078578858433,0.0173232156212625,0.183830885989371
"1647-1#5",CAT-SIN,227049#151,0.112847976661008,-0.046912384404566,0.272608337726582,0.166225040518046
"1747-3",CAT-SIN,111964/271299,-999,-999,-999,0.71827728320859
"1747-3#2",CAT-SIN,111964#12268,-0.000116084720263631,-0.0187834953792497,0.0185513259387224,0.990275475434702
"1747-3#4",CAT-SIN,111964#100430,-0.000371562918414951,-0.00890828107942203,0.00816515524259213,0.932016570267802
"1747-3#1",CAT-SIN,111964#31371,-0.00409244140427804,-0.0166244349956121,0.00843955218705605,0.522143451945939
"1747-3#5",CAT-SIN,111964#11668,0.0142296683730499,-0.00514738707057777,0.0336067238166775,0.150062011442627
"1747-3#6",CAT-SIN,111964#3598,-0.0044724638923052,-0.0377504406242281,0.0288055128396177,0.792231890434951
"2247-0",CAT-SIN,192065/261324,-999,-999,-999,0.0225137770083352
"2247-0#1",CAT-SIN,192065#69181,0.0123035616715527,0.00345523919811614,0.0211518841449893,0.0064238587046459
"2247-0#99",CAT-SIN,192065#78,-0.0416594065696681,-0.263979093648918,0.180660280509582,0.713419021560009
"2395-1",CAT-SIN,39474/123587,-999,-999,-999,0.00313774369677915
"2395-1#4",CAT-SIN,39474#22672,-0.0283269266703252,-0.044815760175693,-0.0118380931649575,0.000759597165878256
"2395-1#2",CAT-SIN,39474#28239,-0.00810514418952745,-0.023438858645242,0.00722857026618715,0.300200240206872
"2395-1#3",CAT-SIN,39474#33202,-0.0200438042944387,-0.0348251982360102,-0.0052624103528673,0.00786660416426654
"2654-7",CAT-SIN,49274/146079,-999,-999,-999,0.00109330060121215
"2654-7#8",CAT-SIN,49274#14923,0.0218537682720397,0.00351997268610479,0.0401875638579745,0.019477452090775
"2654-7#6",CAT-SIN,49274#35216,-0.0133799715206855,-0.0270565690391632,0.000296625997792319,0.0551801340847204
"2654-7#2",CAT-SIN,49274#22436,-0.00759001983088011,-0.0234477826700772,0.00826774300831694,0.348193080455586
"2654-7#4",CAT-SIN,49274#18801,0.0200294875148418,0.00316484772535496,0.0368941273043285,0.0199240943336745
"2654-7#9",CAT-SIN,49274#5253,0.0017572081433854,-0.0267202162199533,0.0302346325067241,0.903738420978278
"2654-7#5",CAT-SIN,49274#176,-0.022248391764942,-0.169997159296283,0.125500375766399,0.767889647002927
"2664-5",CAT-SIN,53279/102776,-999,-999,-999,0.0421760424945415
"2664-5#1",CAT-SIN,53279#7769,0.0111019479472103,-0.0127492950580023,0.034953190952423,0.361612377827049
