varName,varType,n,beta,lower,upper,pvalue
"1588",INTEGER,192037,0.0112219105129175,0.00173888583291724,0.0207049351929177,0.0203725508177706
"1598",INTEGER,191337,0.00415254856985431,-0.00490271529279419,0.0132078124325028,0.368713174124149
"1608",INTEGER,191962,-0.0236272092027907,-0.0385249738476771,-0.00872944455790431,0.00187940601539002
"1628",CAT-SIN,251379,0.00685857873444268,-0.00052575173686624,0.0142429092057516,0.0686758777606573
"1687",CAT-SIN,267132,0.0117479799200239,0.0045158619069823,0.0189800979330655,0.00145291893142188
"1697",CAT-SIN,267453,-0.016298570836427,-0.0235663473217458,-0.00903079435110816,1.10492808910357e-05
"1717",CAT-SIN,268307,-0.00903891636307622,-0.0174099192826387,-0.000667913443513688,0.0343359783000141
"1727",CAT-SIN,266568,0.006372590938697,-0.00054044204364701,0.013285623921041,0.0707982194047682
"1737",INTEGER,202513,-0.00102267811456662,-0.00950394247440694,0.0074585862452737,0.813173916519406
"1757",CAT-SIN,248596,0.00982921720760231,0.000911409335269047,0.0187470250799356,0.0307463845459574
"1873",INTEGER,267707,-0.000913931293753348,-0.00789087325167561,0.00606301066416891,0.800658300723989
"1883",INTEGER,267753,0.00239130684919558,-0.00463001136945383,0.00941262506784499,0.504783053545401
"2050",CAT-SIN,259886,0.00659083307039976,-0.00254665518426754,0.0157283213250671,0.157428671480764
"2060",CAT-SIN,262840,0.0142473829022705,0.00477556562783884,0.0237192001767021,0.00319522936020692
"2070",CAT-SIN,261447,0.00512364323143238,-0.00357377450046311,0.0138210609633279,0.2482531315812
"2080",CAT-SIN,263547,0.002834581695098,-0.00447880276116591,0.0101479661513619,0.447433998448104
"2110",CAT-SIN,263781,-0.00590314557640837,-0.0131434277159763,0.00133713656315955,0.110037312598238
"2149",INTEGER,221145,-0.000886501233403853,-0.00874551646965302,0.00697251400284531,0.825019550461527
"2178",CAT-SIN,270826,0.012256158432212,0.0049108761500737,0.0196014407143504,0.0010763997017205
"2237",CAT-SIN,271734,0.00463001080702331,-0.00459774766569283,0.0138577692797395,0.325397170649668
"2267",CAT-SIN,270236,-0.0036690932394492,-0.0105970659664418,0.00325887948754341,0.29925689043879
"2277",INTEGER,257043,0.00274821224824637,-0.01597325847193,0.0214696829684228,0.773392436389055
"2296",CAT-SIN,271366,0.0116926292531287,0.00234879729932059,0.0210364612069367,0.0141782135312829
"2306",CAT-SIN,267277,-0.00301511839608147,-0.0103919468077215,0.00436171001555854,0.423070806707537
"2355",INTEGER,63768,0.000756956108956904,-0.0152568146818943,0.0167707268998082,0.926272122181535
"2375",CAT-SIN,120275,0.00495579656068553,-0.00947442311507078,0.0193860162364418,0.50081714740606
"2385",CAT-SIN,114962,-0.0059346885738005,-0.0254418220357105,0.0135724448881095,0.550970087979449
"2405",INTEGER,123479,0.00105345807837355,-0.0106217533215724,0.0127286694783195,0.859634424376926
"2624",CAT-SIN,107897,-0.00113480605657326,-0.0118435981166241,0.00957398600347754,0.835473240070188
"2634",CAT-SIN,108063,0.000916284130752148,-0.00964688917578883,0.0114794574372931,0.865015005016684
"2684",INTEGER,89512,0.000743272639778238,-0.0126911250052789,0.0141776702848354,0.913656268143851
"2704",INTEGER,113325,0.00149708185727787,-0.00987820089645828,0.012872364611014,0.796443871255542
"2714",INTEGER,143158,0.0022613726421214,-0.0073799832881406,0.0119027285723834,0.645715867594406
"2734",INTEGER,147319,0.0128661117839404,0.00351764658666186,0.022214576981219,0.00698212468692035
"2744",INTEGER,118768,-0.00807935935882701,-0.0183384495589419,0.00217973084128786,0.122688975981783
"2887",INTEGER,64080,0.010918800686631,-0.00455475601736921,0.0263923573906313,0.166642747450427
"2926",INTEGER,61552,0.00743008636590067,-0.00717612853547394,0.0220363012672753,0.318726166624933
"3061",INTEGER,247511,-7.62120164746682e-05,-0.00735433874567628,0.00720191471272694,0.983627363453167
"3077",CAT-SIN,271224,-0.011595972337644,-0.0211970514383316,-0.00199489323695634,0.0179227637659896
"3082",CAT-SIN,179619,0.07695139741014,-0.0407187871986947,0.194621582018975,0.199945442582264
"3088",CAT-SIN,271621,0.0149476986824403,0.00132970813210756,0.0285656892327731,0.031443299746511
"3137",INTEGER,247511,0.00402508804221783,-0.00500942707993283,0.0130596031643685,0.222078542910352
"3140",CAT-SIN,147298,0.0458290277604704,-0.110851007588051,0.202509063108992,0.566473981046639
"3426",CAT-SIN,24552,0.0143438499057514,-0.0093940923975343,0.038081792209037,0.23625662991456
"3456",INTEGER,20478,0.0331460971226103,0.00691886779237689,0.0593733264528438,0.0132369493796643
"3466",CAT-SIN,20539,-0.0153441697185138,-0.0401971903512679,0.00950885091424032,0.226231664252533
"3506",CAT-SIN,22249,-0.0184367161316198,-0.0434343068923217,0.00656087462908216,0.148275687509027
