description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0155323483873869	-0.0183814634489104	-0.0126832333258634	0.001453656844716	1.21035687484522e-26	8.04645250397102e-23	-10.6839307726195	271224	-0.0205105468185445
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0134851899968021	-0.0164398447973528	-0.0105305351962515	0.00150750463980797	3.72812604075474e-19	1.23922909594688e-15	-8.94474407893872	271224	-0.0171728119769951
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0306909484110282	-0.0391191585658967	-0.0222636317915966	0.00429995829190086	9.5025712194963e-13	2.10576978224038e-09	-7.13752591285659	271436	-0.0136985570573054
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271221	-0.00957085502934352	-0.0122140796227354	-0.00692763043595167	0.00134860875722273	1.27926739606985e-12	2.12614241226809e-09	-7.09653156490818	271221	-0.0136252903852573
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.0289239122398081	0.0208813702138499	0.0369672829177402	0.00410362456422004	1.80976407819767e-12	2.40626231837162e-09	7.04840794958927	271879	0.0135165271821302
Speed of sound through heel	3146	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0169156609897983	-0.0217564883036318	-0.0120748336759648	0.00246985523816628	7.46927012811516e-12	6.55046975366873e-09	-6.84837664244577	156711	-0.017297195303201
Vascular/heart problems diagnosed by doctor: High blood pressure	6150#4	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	194350/77086(271436)	0.0298680307914866	0.0212884090710772	0.0384485170869519	0.00437765901598995	8.9247159585856e-12	6.55046975366873e-09	6.82285752557759	271436	0.0130947418506097
Heel quantitative ultrasound index (QUI), direct entry	3147	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0166774167568766	-0.0214728127936973	-0.0118820207200559	0.00244667558926908	9.36789802978186e-12	6.55046975366873e-09	-6.81589457134974	156711	-0.0172151785203256
Heel bone mineral density (BMD) T-score, automated	78	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0166769627195343	-0.0214723571515692	-0.0118815682874993	0.00244667477048579	9.37984830890907e-12	6.55046975366873e-09	-6.81571131885009	156711	-0.0172147158092964
Heel bone mineral density (BMD)	3148	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156637	-0.016656671395641	-0.0214512135281778	-0.0118621292631043	0.00244623991581248	9.85329385329231e-12	6.55046975366873e-09	-6.80862940096511	156637	-0.0172008945371492
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.00982225597392058	-0.0129343307329604	-0.0067101812148808	0.00158782242101766	6.18156175546475e-10	3.73591114093906e-07	-6.18573029486197	203826	-0.0137000628535211
