varName,varType,n,beta,lower,upper,pvalue
"4292-3",CAT-SIN,75405/95694,-999,-999,-999,0.104987746469704
"4292-3#0",CAT-SIN,75405#20028,0.0188782418870057,0.00314486526489622,0.0346116185091152,0.0186862681122835
"4292-3#1",CAT-SIN,75405#221,0.0472674854702457,-0.0848152565594722,0.179350227499964,0.48305467891175
"4292-3#2",CAT-SIN,75405#40,-0.0674903607913376,-0.377966236749151,0.242985515166476,0.670070404713462
"4293-3",CAT-SIN,91690/95586,-999,-999,-999,0.964853492214862
"4293-3#2",CAT-SIN,91690#1627,0.00631118130612709,-0.0428589383960754,0.0554813010083295,0.801374061901043
"4293-3#1",CAT-SIN,91690#2269,9.54622950153488e-05,-0.0417007179313092,0.0418916425213399,0.996428242380581
"4294-1",CAT-SIN,91690/95710,-999,-999,-999,0.993628583401048
"4294-1#0",CAT-SIN,91690#3896,0.00269527188506309,-0.0295329212996637,0.0349234650697899,0.869799242319544
"4294-1#9",CAT-SIN,91690#124,0.0159557067171956,-0.160052946222899,0.191964359657291,0.85897700129779
"4803-0",CAT-SIN,66308/94191,-999,-999,-999,0.792573825253078
"4803-0#12",CAT-SIN,66308#2440,0.0152388412827868,-0.0252753935023093,0.0557530760678828,0.460993436680106
"4803-0#14",CAT-SIN,66308#10435,-0.00191028255046655,-0.0225660511516508,0.0187454860507177,0.856162726784142
"4803-0#11",CAT-SIN,66308#6441,-0.0107764681595325,-0.0365835344671884,0.0150305981481233,0.4131070039759
"4803-0#13",CAT-SIN,66308#8567,0.00641763376970806,-0.0161428873067565,0.0289781548461726,0.577160410617094
"4849-1",CAT-SIN,93548/95807,-999,-999,-999,0.13467062352878
"4849-1#0",CAT-SIN,93548#1095,0.0640178520169319,0.0043558985561264,0.123679805477737,0.0354605008245545
"4849-1#12",CAT-SIN,93548#582,-0.0416091598754591,-0.123240650898109,0.0400223311471908,0.317779290539428
"4849-1#11",CAT-SIN,93548#582,-0.012962683564061,-0.0945688298776264,0.0686434627495044,0.755550215748137
"4935-15",CAT-SIN,89334/92149,-999,-999,-999,0.728518837934595
"4935-15#17",CAT-SIN,89334#431,0.0256545549253333,-0.0690694685969585,0.120378578447625,0.595539147607208
"4935-15#16",CAT-SIN,89334#1201,-0.0139575264402292,-0.070905020390192,0.0429899675097336,0.630959560056059
"4935-15#13",CAT-SIN,89334#337,-0.0161143100960825,-0.123254076690371,0.0910254564982056,0.768156191095798
"4935-15#14",CAT-SIN,89334#846,0.0413013552982042,-0.0264175566600597,0.109020267256468,0.23194242581929
"4946-987",CAT-SIN,92515/93293,-999,-999,-999,0.0605071161252072
"4946-987#642",CAT-SIN,92515#142,0.171881604379949,0.00708820418127692,0.336675004578621,0.0409271508576778
"4946-987#253",CAT-SIN,92515#43,0.219165185541117,-0.0805205660713216,0.518850937153555,0.151756602306448
"4946-987#714",CAT-SIN,92515#593,0.0448085295517198,-0.0359872630614257,0.125604322164865,0.277047325372447
"4957-4",CAT-SIN,78507/92958,-999,-999,-999,2.83533026265382e-06
"4957-4#1",CAT-SIN,78507#10125,0.0387231296170865,0.0179923383707975,0.0594539208633754,0.000251208507743517
"4957-4#2",CAT-SIN,78507#4144,0.0700417088185875,0.03874302162598,0.101340396011195,1.15400154578893e-05
"4957-4#5",CAT-SIN,78507#123,0.0175872151912426,-0.159375355751321,0.194549786133807,0.84555837238802
"4957-4#3",CAT-SIN,78507#59,-0.106916408657388,-0.363072238839752,0.149239421524977,0.413319646808975
"4968-6",CAT-SIN,77918/84185,-999,-999,-999,0.216997320321748
"4968-6#8",CAT-SIN,77918#1289,0.0369074428014821,-0.0181659620710451,0.0919808476740093,0.189024662841763
"4968-6#5",CAT-SIN,77918#4309,0.0250272108453028,-0.00568394332576092,0.0557383650163665,0.110216950145315
"4968-6#7",CAT-SIN,77918#669,0.022812768703644,-0.053314213381895,0.0989397507891831,0.55697729235637
