description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0376212355847265	-0.0404677672414745	-0.0347747039279784	0.00145233875683489	9.09344721413802e-148	6.04441436323754e-144	-25.8879888226327	271224	-0.0496477930143941
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271221	-0.0329223785594827	-0.0355631700628136	-0.0302815870561519	0.00134736736193169	1.01711564910818e-131	3.38038385981104e-128	-24.4212514636464	271221	-0.0468415101677125
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271224	-0.0314196433465557	-0.0343727160515079	-0.0284665706416035	0.0015066974333435	1.69061666091315e-96	3.74584298169657e-93	-20.8450416069521	271224	-0.0399938030175842
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0180911961765961	-0.0201726164291223	-0.0160097759240699	0.00106196862235438	5.10609021577916e-65	8.48504541607102e-62	-17.027832324875	158339	-0.04275342204677
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.0193676702726416	-0.0222107777583721	-0.0165245627869111	0.00145059169870292	1.19705037730035e-40	1.59135877158309e-37	-13.3492141597632	247511	-0.0268227880135018
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0197630355766009	-0.0227870505985734	-0.0167390205546283	0.0015428931581527	1.50668242843938e-37	1.58683515827363e-34	-12.8065594459934	203826	-0.028355032625073
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	247511	-0.018950290234832	-0.0218518672861922	-0.0160487131834719	0.00148042365790771	1.67110668089595e-37	1.58683515827363e-34	-12.798517663937	247511	-0.0257170123475721
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266667	-0.0152201184122925	-0.01758173021703	-0.012858506607555	0.00120492612280919	1.44765708553095e-36	1.20282208094053e-33	-12.6297345801655	266667	-0.0244501407375513
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266641	-0.015048992534283	-0.0174021451673381	-0.0126958399012278	0.00120061013958242	4.94792539394525e-36	3.65431778817267e-33	-12.532653168769	266641	-0.0242634922542475
Diastolic blood pressure, automated reading	4079	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256245	0.0238630352314187	0.0200508240529511	0.0276752464098862	0.00194504144389274	1.36381994571783e-34	9.06531117918642e-32	12.2668960549879	256245	0.0242259713617347
