varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271066	-0.0153306862524349	-0.0181809004966346	-0.0124804720082351	5.57946869459439e-26	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271066	-0.0133438979837841	-0.0162991271170241	-0.0103886688505441	8.80555368548922e-19	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
6150#100	CAT-MUL	84940/186496(271436)	-0.0306909484110282	-0.0391191585658967	-0.0222636317915966	9.50257121949642e-13	LOGISTIC-BINARY	Vascular/heart problems diagnosed by doctor		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
50	CONTINUOUS	271211	-0.00957629557536379	-0.0122196177913785	-0.00693297335934911	1.24483675904898e-12	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
131286	DATE	158549/113330(271879)	0.0289239122398081	0.0208813702137884	0.0369672829178018	1.80976407819768e-12	LOGISTIC-BINARY	Date I10 first reported (essential (primary) hypertension)		2409	Health-related outcomes		First occurrences		First occurrences	2409	Health-related outcomes > First occurrences > Circulatory system disorders
6150#4	CAT-MUL	194404/77032(271436)	0.0300592705805653	0.0214785138705426	0.0386408975513226	6.61972353394027e-12	LOGISTIC-BINARY	Vascular/heart problems diagnosed by doctor: High blood pressure		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
3146	CONTINUOUS	156711	-0.0169156609897983	-0.0217564883036318	-0.0120748336759648	7.46927012811505e-12	LINEAR	Speed of sound through heel		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3147	CONTINUOUS	156711	-0.0166774167568766	-0.0214728127936973	-0.0118820207200559	9.36789802978179e-12	LINEAR	"Heel quantitative ultrasound index (QUI), direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
78	CONTINUOUS	156711	-0.0166769627195343	-0.0214723571515692	-0.0118815682874993	9.37984830890893e-12	LINEAR	"Heel bone mineral density (BMD) T-score, automated"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
3148	CONTINUOUS	156637	-0.016656671395641	-0.0214512135281778	-0.0118621292631043	9.85329385329231e-12	LINEAR	Heel bone mineral density (BMD)		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
20150	CONTINUOUS	203826	-0.00982225597392058	-0.0129343307329604	-0.0067101812148808	6.18156175546471e-10	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3144	CONTINUOUS	156699	-0.0146776986857023	-0.0193854804298002	-0.00996991694160443	9.94090164594904e-10	LINEAR	"Heel Broadband ultrasound attenuation, direct entry"		100000	UK Biobank Assessment Centre	100006	Physical measures	100018	Bone-densitometry of heel	100018	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
