varName,varType,n,beta,lower,upper,pvalue
"100920-2102",CAT-SIN,23618/38021,-999,-999,-999,0.251053386598411
"100920-2102#2104",CAT-SIN,23618#2151,0.0335323361322575,-0.0108278176137095,0.0778924898782246,0.138457758521536
"100920-2102#2106",CAT-SIN,23618#467,-0.00368038984992958,-0.0951775419592861,0.0878167622594269,0.937161660358589
"100920-2102#2103",CAT-SIN,23618#7885,-5.83994312944072e-05,-0.0256871012005463,0.0255703023379575,0.996436566001695
"100920-2102#0",CAT-SIN,23618#1836,0.0413690375502275,-0.00617237075181679,0.0889104458522719,0.088101401150573
"100920-2102#2107",CAT-SIN,23618#229,-0.0125773821382669,-0.142557888675875,0.117403124399341,0.849580914137143
"100920-2102#2108",CAT-SIN,23618#222,-0.0432910840159172,-0.175058836910815,0.0884766688789804,0.519622025872857
"100920-2102#222",CAT-SIN,23618#77,-0.264554927770425,-0.489261379076433,-0.0398484764644161,0.0210249813644767
"100920-2102#2109",CAT-SIN,23618#171,0.0504437562342067,-0.100232565623823,0.201120078092237,0.511720456261572
"100920-2102#2105",CAT-SIN,23618#1123,-0.0395615699136663,-0.0994671654390339,0.0203440256117013,0.195541990431556
"100920-2102#2199",CAT-SIN,23618#167,-0.0413884542732707,-0.193203445662383,0.110426537115842,0.593110618064409
"100920-2102#2110",CAT-SIN,23618#75,0.023332650985361,-0.20326345175339,0.249928753724111,0.840059066632736
