description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0153306862524349	-0.0181809004966346	-0.0124804720082351	0.00145421766250905	5.57946869459439e-26	3.70253542573284e-22	-10.5411794905417	271066	-0.0202425066533877
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0133438979837841	-0.0162991271170241	-0.0103886688505441	0.00150779767207483	8.80555368548922e-19	2.92168271284532e-15	-8.84931825203289	271066	-0.0169946086407243
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0306909484110282	-0.0391191585658967	-0.0222636317915966	0.00429995829190086	9.50257121949642e-13	2.06518418326226e-09	-7.13752591285659	271436	-0.0136985570573054
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271211	-0.00957629557536379	-0.0122196177913785	-0.00693297335934911	0.00134865856559859	1.24483675904898e-12	2.06518418326226e-09	-7.10030298514691	271211	-0.0136327814198966
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.0289239122398081	0.0208813702137884	0.0369672829178018	0.00410362456425144	1.80976407819768e-12	2.40191888458396e-09	7.04840794958926	271879	0.0135165271821301
Vascular/heart problems diagnosed by doctor: High blood pressure	6150#4	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	194404/77032(271436)	0.0300592705805653	0.0214785138705426	0.0386408975513226	0.00437823955341902	6.61972353394027e-12	6.53864580104478e-09	6.86563261622385	271436	0.0131768235613947
Speed of sound through heel	3146	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0169156609897983	-0.0217564883036318	-0.0120748336759648	0.00246985523816628	7.46927012811505e-12	6.53864580104478e-09	-6.84837664244577	156711	-0.017297195303201
Heel quantitative ultrasound index (QUI), direct entry	3147	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0166774167568766	-0.0214728127936973	-0.0118820207200559	0.00244667558926908	9.36789802978179e-12	6.53864580104478e-09	-6.81589457134974	156711	-0.0172151785203256
Heel bone mineral density (BMD) T-score, automated	78	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156711	-0.0166769627195343	-0.0214723571515692	-0.0118815682874993	0.00244667477048579	9.37984830890893e-12	6.53864580104478e-09	-6.81571131885009	156711	-0.0172147158092965
Heel bone mineral density (BMD)	3148	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156637	-0.016656671395641	-0.0214512135281778	-0.0118621292631043	0.00244623991581248	9.85329385329231e-12	6.53864580104478e-09	-6.80862940096511	156637	-0.0172008945371492
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.00982225597392058	-0.0129343307329604	-0.0067101812148808	0.00158782242101766	6.18156175546471e-10	3.72916761902398e-07	-6.18573029486198	203826	-0.0137000628535211
Heel Broadband ultrasound attenuation, direct entry	3144	Physical measures	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	CONTINUOUS	LINEAR	156699	-0.0146776986857023	-0.0193854804298002	-0.00996991694160443	0.00240197359810296	9.94090164594904e-10	5.49731861020982e-07	-6.11035619655875	156699	-0.0154342117012469
Hand grip strength (left)	46	Physical measures	UK Biobank Assessment Centre > Physical measures > Hand grip strength	INTEGER	LINEAR	270690	-0.00802167069163214	-0.010632339101573	-0.00541100228169124	0.00133199815431993	1.72164965800518e-09	8.6239294998258e-07	-6.02210328600929	270690	-0.0115740301047573
Neutrophill count	30140	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263361	0.0116905144519059	0.00788015882601553	0.0155008700777962	0.00194409471599781	1.81939440924595e-09	8.6239294998258e-07	6.01316165517519	263361	0.011716529376699
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.00635278039970074	-0.0084348834978434	-0.00427067730155807	0.0010623170193769	2.2338990599369e-09	9.70408703851359e-07	-5.97981592884272	158339	-0.0150261450037464
White blood cell (leukocyte) count	30000	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263827	0.0115903531298115	0.00778677622849612	0.0153939300311269	0.00194063611949889	2.33974371031069e-09	9.70408703851359e-07	5.97227035282321	263827	0.0116265839113813
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.00837598656945098	-0.0112816108583893	-0.00547036228051262	0.00148248861298347	1.60644504372659e-08	6.27080547657038e-06	-5.64978942023072	246968	-0.0113680405200641
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.00836192321012593	-0.0113851063886406	-0.00533874003161126	0.00154246874042643	5.92798569305897e-08	2.18545072550774e-05	-5.42095990241992	203826	-0.0120065222307199
Education score (England)	26414	Sociodemographics	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation	CONTINUOUS	LINEAR	230475	0.0109325361782652	0.0068849900402438	0.0149800823162866	0.00206511250714193	1.19814165812561e-07	4.18466739122187e-05	5.29377907841009	230475	0.0110262893151743
Systolic blood pressure, automated reading	4080	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256015	0.00975203835893426	0.00612953329857253	0.013374543419296	0.00184825082957421	1.31863371544024e-07	4.37522666783072e-05	5.27623722165588	256015	0.0104272477590008
Age first had sexual intercourse	2139	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	INTEGER	LINEAR	237025	-0.0101141146111253	-0.014016683620989	-0.00621154560126159	0.00199114322540959	3.78561266065939e-07	0.000119625360076837	-5.0794338706856	237025	-0.0104326930414842
Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar	6144#4	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	CAT-MUL	LOGISTIC-BINARY	218755/52256(271011)	0.0243972102378877	0.0147528075025402	0.034042283119299	0.00492087501834517	7.12492415421881e-07	0.000214913621306346	4.95792722208913	271011	0.00952332478417267
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0068761280745766	-0.00972374479451158	-0.00402851135464161	0.00145289237067447	2.21631610563085e-06	0.000639455377259405	-4.73262785554182	246968	-0.00952278719234061
Never eat eggs, dairy, wheat, sugar: I eat all of the above	6144#5	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	CAT-MUL	LOGISTIC-BINARY	63253/207758(271011)	-0.0215826785082913	-0.0305744444225825	-0.0125914998560467	0.00458757015648833	2.5434118766159e-06	0.000703253383884296	-4.70461843291456	271011	-0.00903680300645102
