varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
20015	CONTINUOUS	271066	-0.0372206500190217	-0.0400682835906344	-0.034373016447409	1.42116610587327e-144	LINEAR	Sitting height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
50	CONTINUOUS	271211	-0.0329379706208848	-0.0355788169532137	-0.0302971242885559	7.76236524044789e-132	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	CONTINUOUS	271066	-0.0312128320185642	-0.0341664423840981	-0.0282592216530303	3.17645135591363e-95	LINEAR	Seated height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
20153	CONTINUOUS	158339	-0.0180911961765961	-0.0201726164291223	-0.0160097759240699	5.10609021577872e-65	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3062	CONTINUOUS	246968	-0.0193529459553758	-0.0221990406427214	-0.0165068512680301	1.65480807697715e-40	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	CONTINUOUS	203826	-0.0197630355766009	-0.0227870505985734	-0.0167390205546283	1.50668242843938e-37	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3063	CONTINUOUS	246968	-0.0189599051093967	-0.0218641140026972	-0.0160556962160962	1.78480825109378e-37	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
23129	CONTINUOUS	266562	-0.0152204501547011	-0.0175825974085974	-0.0128583029008049	1.49604740777659e-36	LINEAR	Trunk fat-free mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23130	CONTINUOUS	266533	-0.0150374357467627	-0.0173911388325861	-0.0126837326609393	5.7959860797412e-36	LINEAR	Trunk predicted mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
4079	INTEGER	256017	0.0238464381289237	0.0200327808219283	0.0276600954359192	1.60466492323502e-34	LINEAR	"Diastolic blood pressure, automated reading"		100000	UK Biobank Assessment Centre	100006	Physical measures	100011	Blood pressure	100011	UK Biobank Assessment Centre > Physical measures > Blood pressure
