varName,varType,n,beta,lower,upper,pvalue
"130000",DATE,271866/13(271879),0.646183740139793,0.103783816249641,1.18818598462052,0.0194490747995878
"130002",DATE,271829/50(271879),0.026439123230892,-0.251061675417207,0.303479487954809,0.851740881526085
"130004",DATE,271456/423(271879),0.0544989360699078,-0.0408741337046218,0.149830430826786,0.262613297652381
"130006",DATE,271768/111(271879),0.0297258304892684,-0.156333389753693,0.215645402859828,0.754087799175949
"130008",DATE,266968/4911(271879),0.00800906674177771,-0.0202423153516766,0.0362568330364384,0.578433893268784
"130010",DATE,271652/227(271879),-0.0165006453186594,-0.146710964647797,0.113622159006902,0.803780068218593
"130012",DATE,271826/53(271879),0.0669794822604134,-0.202414640495216,0.336036909252198,0.625810694800648
"130014",DATE,271593/286(271879),-0.0157607614866775,-0.131812539651522,0.100218502260248,0.790010008839905
"130016",DATE,268578/3301(271879),-0.00394027007470329,-0.038278150721581,0.030391816196843,0.822036640161798
"130018",DATE,256357/15522(271879),0.00881330367491992,-0.00741880411718193,0.0250445358694846,0.287204787461387
"130020",DATE,270484/1395(271879),-0.015150710559828,-0.0678999747119413,0.0375838248862086,0.573417722974559
"130022",DATE,271533/346(271879),0.0028906614128657,-0.102801622552115,0.108530601783845,0.957239001666892
"130024",DATE,271867/12(271879),0.201686659955574,-0.364519354002982,0.765370331891374,0.484079832495575
"130026",DATE,271797/82(271879),0.00187687693319428,-0.214691721892724,0.218209983920193,0.986439998238446
"130028",DATE,271866/13(271879),0.174368870061384,-0.369606086259774,0.716767393985196,0.529213934548886
"130036",DATE,271862/17(271879),-0.264728260898541,-0.742915297837274,0.211725557067803,0.277051104841341
"130044",DATE,271860/19(271879),0.0772448508863489,-0.373056717193626,0.526214344293608,0.736320487132156
"130046",DATE,271836/43(271879),-0.142252753616758,-0.44157512334282,0.15668234938951,0.351290738290881
"130050",DATE,271787/92(271879),0.00808597086676653,-0.196366637986088,0.212298878119871,0.938176129190605
"130052",DATE,271864/15(271879),0.065440189685668,-0.441729363247166,0.57029053119499,0.79986366906518
"130058",DATE,271806/73(271879),-0.0572554146064395,-0.286960214961911,0.172231678566667,0.624994149844877
"130060",DATE,271816/63(271879),-0.0185414150032327,-0.26621598849378,0.228724200224973,0.883251472100166
"130062",DATE,270727/1152(271879),-0.0369784003196897,-0.0948973113011427,0.0209221328548161,0.210730454101739
"130064",DATE,271262/617(271879),-0.0729369860336618,-0.15205561568258,0.00614503671577981,0.0707223836940186
"130066",DATE,271805/74(271879),0.121134597801529,-0.106466328260052,0.34849402173447,0.296601823332214
"130068",DATE,271300/579(271879),-0.0294905529804095,-0.111138339855814,0.0521169861341988,0.47887887856025
"130070",DATE,260590/11289(271879),0.0233235285008804,0.00434336990777839,0.0423026810865336,0.0160144713128992
"130072",DATE,271753/126(271879),0.0803514579135638,-0.0943439239496256,0.254889189872633,0.367065554761133
"130078",DATE,271686/193(271879),-0.0390917248406444,-0.180340092424563,0.102058962702015,0.587381280326064
"130080",DATE,271754/125(271879),0.111638394288396,-0.0636443648858916,0.286745942056719,0.211683145559067
"130082",DATE,269856/2023(271879),0.0288922473782935,-0.0149105081555966,0.0726853193829095,0.196031743050534
"130088",DATE,271868/11(271879),-0.244317911486258,-0.839696717425237,0.344491225616292,0.418560280253766
"130090",DATE,271867/12(271879),-0.0875022462972602,-0.65571150587415,0.478233413063097,0.762278995262885
"130092",DATE,271750/129(271879),-0.000431830489532526,-0.173239602752683,0.172219720220994,0.996090331277789
"130096",DATE,271849/30(271879),-0.613913783830873,-0.973352992472904,-0.255289368353611,0.000803492727467239
"130102",DATE,271834/45(271879),-0.0275689998465862,-0.319337097007141,0.264196344909001,0.853064783315692
"130104",DATE,271655/224(271879),-0.0467556523395778,-0.177610289795251,0.0840410114535914,0.48362778495033
"130106",DATE,270844/1035(271879),-0.0280392722029507,-0.0891067443651286,0.0330120686223795,0.368096032803096
"130112",DATE,271865/14(271879),-0.0104442820773648,-0.535347501394981,0.51331509786313,0.968855869168198
