varName,varType,n,beta,lower,upper,pvalue
"4979-4",CAT-SIN,41251/69829,-999,-999,-999,0.00546551075388794
"4979-4#5",CAT-SIN,41251#3587,0.0393391139987901,0.00507036812041728,0.073607859877163,0.0244515973347554
"4979-4#1",CAT-SIN,41251#8271,0.0326131537542376,0.00885941635422389,0.0563668911542513,0.00712444928855627
"4979-4#3",CAT-SIN,41251#10340,0.0276317502219939,0.00590464713912335,0.0493588533048645,0.0126807373536748
"4979-4#2",CAT-SIN,41251#6380,0.00458454546453403,-0.0220216653278902,0.0311907562569582,0.735571525109304
"4990-69",CAT-SIN,51415/67440,-999,-999,-999,0.0156685734085213
"4990-69#70",CAT-SIN,51415#14851,0.0153231179998141,-0.00306155066492645,0.0337077866645546,0.1023478430476
"4990-69#68",CAT-SIN,51415#375,-0.129522454720849,-0.231602584266637,-0.0274423251750604,0.0128874842637543
"4990-69#71",CAT-SIN,51415#369,0.0717519511826851,-0.0309392344053248,0.174443136770695,0.170856232411769
"4990-69#72",CAT-SIN,51415#430,0.0587126100481208,-0.036555875801341,0.153981095897583,0.227086549012217
"5001-3",CAT-SIN,54827/62891,-999,-999,-999,0.842927226420567
"5001-3#1",CAT-SIN,54827#5638,0.0117881400939407,-0.0157427408533805,0.0393190210412619,0.401348635239137
"5001-3#2",CAT-SIN,54827#1096,0.0146949252105898,-0.0453819913947135,0.074771841815893,0.631646393829643
"5001-3#4",CAT-SIN,54827#586,0.0224826389015258,-0.0591300818244343,0.104095359627486,0.589245255278308
"5001-3#5",CAT-SIN,54827#744,0.0199426082146005,-0.05271807249539,0.092603288924591,0.59062125342548
"5012-26",CAT-SIN,35775/47120,-999,-999,-999,0.209074607776849
"5012-26#25",CAT-SIN,35775#5462,0.0296645843473751,0.00087662140567471,0.0584525472890754,0.0434200381067553
"5012-26#27",CAT-SIN,35775#2351,-0.00567362238488094,-0.0477089631956361,0.0363617184258743,0.791362628242877
"5012-26#28",CAT-SIN,35775#1334,0.00325993956615052,-0.0518143825786296,0.0583342617109306,0.907641853105084
"5012-26#29",CAT-SIN,35775#2198,0.031207611370696,-0.0122206267068928,0.0746358494482848,0.159002684198598
