description	varName	custom_category	Path	varType	resType	n	beta	lower	upper	se	pvalue	fdr	z	ntotal	rho
Sitting height	20015	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0372206500190217	-0.0400682835906344	-0.034373016447409	0.00145290096862722	1.42116610587327e-144	9.43227944468089e-141	-25.6027640777555	271066	-0.0491163911971716
Standing height	50	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271211	-0.0329379706208848	-0.0355788169532137	-0.0302971242885559	0.00134739533642432	7.76236524044789e-132	2.57594090504263e-128	-24.4322974626883	271211	-0.046863512629513
Seated height	51	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	CONTINUOUS	LINEAR	271066	-0.0312128320185642	-0.0341664423840981	-0.0282592216530303	0.00150697175500754	3.17645135591363e-95	7.02736921639959e-92	-20.7041721985449	271066	-0.0397355128422545
Forced expiratory volume in 1-second (FEV1), predicted	20153	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	158339	-0.0180911961765961	-0.0201726164291223	-0.0160097759240699	0.00106196862235438	5.10609021577872e-65	8.47228019053084e-62	-17.0278323248751	158339	-0.04275342204677
Forced vital capacity (FVC)	3062	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0193529459553758	-0.0221990406427214	-0.0165068512680301	0.00145211580916552	1.65480807697715e-40	2.19659224137947e-37	-13.3250685115102	246968	-0.0268037034146111
Forced vital capacity (FVC), Best measure	20151	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0197630355766009	-0.0227870505985734	-0.0167390205546283	0.0015428931581527	1.50668242843938e-37	1.66664187959203e-34	-12.8065594459934	203826	-0.028355032625073
Forced expiratory volume in 1-second (FEV1)	3063	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	246968	-0.0189599051093967	-0.0218641140026972	-0.0160556962160962	0.00148176645908217	1.78480825109378e-37	1.6922531946442e-34	-12.7934043293443	246968	-0.0257349708166291
Trunk fat-free mass	23129	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266562	-0.0152204501547011	-0.0175825974085974	-0.0128583029008049	0.00120519931617548	1.49604740777659e-36	1.24115833067665e-33	-12.6271469519169	266562	-0.0244499455031525
Trunk predicted mass	23130	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266533	-0.0150374357467627	-0.0173911388325861	-0.0126837326609393	0.00120089098799218	5.7959860797412e-36	4.27421773458248e-33	-12.5201030341662	266533	-0.0242441167553075
Diastolic blood pressure, automated reading	4079	Physical measures	UK Biobank Assessment Centre > Physical measures > Blood pressure	INTEGER	LINEAR	256017	0.0238464381289237	0.0200327808219283	0.0276600954359192	0.00194577927812812	1.60466492323502e-34	1.06501610955108e-31	12.2537182099592	256017	0.0242107288031458
Comparative height size at age 10	1697	Family history and early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors	CAT-SIN	ORDERED-LOGISTIC	267453	-0.0450150218972017	-0.0522887565653335	-0.03774128722907	0.0037111573097802	7.20689607471933e-34	4.34837902253747e-31	-12.1313304208344	267453	-0.0234512967843774
Forced expiratory volume in 1-second (FEV1), Best measure	20150	Physical measures	UK Biobank Assessment Centre > Physical measures > Spirometry	CONTINUOUS	LINEAR	203826	-0.0191156769652745	-0.0222288226170739	-0.0160025313134751	0.00158836880491453	2.39195312593437e-33	1.32294940806887e-30	-12.0327043352134	203826	-0.0266428935730795
Whole body fat-free mass	23101	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266754	-0.014109621589367	-0.0164708193790503	-0.0117484237996837	0.00120471488675717	1.12563709063705e-31	5.74681028504469e-29	-11.710537533508	266754	-0.0226679049000066
Vascular/heart problems diagnosed by doctor	6150#100	Medical history and conditions	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	CAT-MUL	LOGISTIC-BINARY	84940/186496(271436)	-0.0503086785809039	-0.0587444649199413	-0.0418743025854823	0.00430369192177221	1.43894240694586e-31	6.82161482492834e-29	-11.6896998506382	271436	-0.0224316874456183
Date I10 first reported (essential (primary) hypertension)	131286	First occurrences	Health-related outcomes > First occurrences > Circulatory system disorders	DATE	LOGISTIC-BINARY	158549/113330(271879)	0.0476207754317116	0.0395719709686763	0.0556709509067798	0.00410695810359022	4.35906578966504e-31	1.92874130973379e-28	11.5951881612832	271879	0.0222322905271129
Whole body water mass	23102	Physical measures	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures	CONTINUOUS	LINEAR	266777	-0.0139268297253818	-0.0162929261583964	-0.0115607332923672	0.00120721424050547	8.79489251281655e-31	3.64823135047271e-28	-11.5349395547084	266777	-0.0223272113247463
White blood cell (leukocyte) count	30000	Blood and urine assays	Biological samples > Assay results > Blood assays > Blood count	CONTINUOUS	LINEAR	263827	0.0220969095478236	0.0182944759839486	0.0258993431116986	0.001940052773351	4.77180169786444e-30	1.86296752168978e-27	11.3884913136289	263827	0.022166723138933
